Date,Site_Name,Site_Number,Otter_time,Surveyors,Data_Enterer,Lat,Long,Swell,Aspect,Cloud_Cover,Rock_type,Rugosity_sm,LT_time,LT_height,Transect_Num,Rugosity_lg_R,Rugosity_lg_T,Transect_max_length,Transect_max_relht,Adj_max,Transect_min_length,Transect_min_relht,Adj_min
05/30/2018,Sonora,1975.01,1968,"Ashley, sarah, Justin, Stacey",Ashley,55.604233,-133.6392,1,94,98,GreyWacke,2,803,-0.54,1,19.1,17.5,18.1,4.14,0,0,0.85,0
05/30/2018,Sonora,1975.01,1968,"Ashley, sarah, Justin, Stacey",Ashley,55.604233,-133.6392,1,94,98,GreyWacke,2,803,-0.54,2,17.1,15.8,17.5,4.07,0,0.45,0.75,0
05/30/2018,Sonora,1975.01,1968,"Ashley, sarah, Justin, Stacey",Ashley,55.604233,-133.6392,1,94,98,GreyWacke,2,803,-0.54,3,13.6,12.95,13.9,4.06,0,0.2,0.75,0
06/30/2018,Princesa,1975.02,1968,"Ashley, Sarah, Megan, Erin",Ashley,55.65932,-133.67401,1,225,75,NA,3,853,-0.45,1,10,9,9,4.23,0,0.35,1.16,0
06/30/2018,Princesa,1975.02,1968,"Ashley, Sarah, Megan, Erin",Ashley,55.65932,-133.67401,1,225,75,NA,3,853,-0.45,2,8.4,7.4,7.9,4.21,0,0.48,0.96,0
06/30/2018,Princesa,1975.02,1968,"Ashley, Sarah, Megan, Erin",Ashley,55.65932,-133.67401,1,225,75,NA,3,853,-0.45,3,6.1,5.5,5.9,4.13,0,0.33,1.2,0
08/13/2018,HecetaPlatform,1975.03,1975,"Ashley, Sarah, Lia, Kenichi, Kei, Cynthia",Ashley,55.7051,-133.58238,1,90,100,GreyWacke,3,845,-0.8,1,13.6,11.6,12.9,3.84,0,0.2,0.29,0
08/13/2018,HecetaPlatform,1975.03,1975,"Ashley, Sarah, Lia, Kenichi, Kei, Cynthia",Ashley,55.7051,-133.58238,1,90,100,GreyWacke,3,845,-0.8,2,10.3,9,10.1,3.77,0,0.4,0.2,-0.31
08/13/2018,HecetaPlatform,1975.03,1975,"Ashley, Sarah, Lia, Kenichi, Kei, Cynthia",Ashley,55.7051,-133.58238,1,90,100,GreyWacke,3,845,-0.8,3,9.7,8.7,14.5,3.76,0,0.8,0.1,-0.31
05/31/2018,NEEsquibel,1988.01,1968,"Ashley, Sarah, Liz, Talia",Ashley,55.650367,-133.549167,0,12,75,NA,NA,838,-0.5,1,17.8,14,14.7,4.23,0,0,1.33,0
05/31/2018,NEEsquibel,1988.01,1968,"Ashley, Sarah, Liz, Talia",Ashley,55.650367,-133.549167,0,12,75,NA,NA,838,-0.5,2,12.8,12,12,4.2,0,0.8,1.14,0
05/31/2018,NEEsquibel,1988.01,1968,"Ashley, Sarah, Liz, Talia",Ashley,55.650367,-133.549167,0,12,75,NA,NA,838,-0.5,3,10.2,9.3,9.8,4.13,0,0.63,1.1,0
06/15/2018,BearHarbor,1988.02,1988,"Ashley, Sarah, Ginny, Sydney, Talia, Nicole",Ashley,56.235233,-134.082283,0.5,70,50,NA,1,851,-0.95,1,16.95,16,16,5.48,-0.21,0.3,1,0
06/15/2018,BearHarbor,1988.02,1988,"Ashley, Sarah, Ginny, Sydney, Talia, Nicole",Ashley,56.235233,-134.082283,0.5,70,50,NA,1,851,-0.95,2,16,15.7,18.9,5.49,-0.21,0,1.17,0
06/15/2018,BearHarbor,1988.02,1988,"Ashley, Sarah, Ginny, Sydney, Talia, Nicole",Ashley,56.235233,-134.082283,0.5,70,50,NA,1,851,-0.95,3,14.7,14,15,5.4,-0.21,0.4,0.95,0
06/16/2018,CosmosPass,1988.03,1988,"Ashley, ginny, Sarah, Talia",Ashley,55.90955,-133.70125,0.25,114,0.75,Karst,5,915,-0.98,1,29.1,27,27.1,5.06,-0.21,1,1,0
06/16/2018,CosmosPass,1988.03,1988,"Ashley, ginny, Sarah, Talia",Ashley,55.90955,-133.70125,0.25,114,0.75,Karst,5,915,-0.98,2,21.4,19.8,19.95,5.2,-0.21,0.15,1,0
06/16/2018,CosmosPass,1988.03,1988,"Ashley, ginny, Sarah, Talia",Ashley,55.90955,-133.70125,0.25,114,0.75,Karst,5,915,-0.98,3,20.1,19,21.5,5,-0.21,0,0.92,0
06/28/2018,Anguilla,1988.04,1968,"Ashley, Sarah, Adri, Marissa",Ashley,55.68443,-133.58409,0,53,100,GreyWacke,2,745,-0.49,1,1,1,9.1,4.21,0,0.2,1.4,0
06/28/2018,Anguilla,1988.04,1968,"Ashley, Sarah, Adri, Marissa",Ashley,55.68443,-133.58409,0,53,100,GreyWacke,2,745,-0.49,2,1,1,10.9,4.26,0,0.1,0.92,0
06/28/2018,Anguilla,1988.04,1968,"Ashley, Sarah, Adri, Marissa",Ashley,55.68443,-133.58409,0,53,100,GreyWacke,2,745,-0.49,3,1,1,12.9,4.22,0,0.5,1.23,0
06/29/2018,SanLorenzo,1988.05,1968,"Ashley, Sarah, Megan, Ivan",Ashley,55.60237,-133.60901,0.5,32,100,NA,3,819,-0.49,1,7,6.8,7,3.45,0,0.1,0.45,0
06/29/2018,SanLorenzo,1988.05,1968,"Ashley, Sarah, Megan, Ivan",Ashley,55.60237,-133.60901,0.5,32,100,NA,3,819,-0.49,2,13.6,12.7,12.8,3.54,0,0,0.11,0
06/29/2018,SanLorenzo,1988.05,1968,"Ashley, Sarah, Megan, Ivan",Ashley,55.60237,-133.60901,0.5,32,100,NA,3,819,-0.49,3,8.7,8.345,8.3,3.46,0,0,0.14,0
07/13/2018,PtDesconocida,1988.06,1988,"Ashley, Sarah, Lia, Tommy, Helena",Ashley,55.69777,-133.55077,0.5,190,20,GreyWacke,3,735,-1.04,1,8.2,8,11.4,4.2,0,0.2,0.58,0
07/13/2018,PtDesconocida,1988.06,1988,"Ashley, Sarah, Lia, Tommy, Helena",Ashley,55.69777,-133.55077,0.5,190,20,GreyWacke,3,735,-1.04,2,14.4,13,14.6,4.19,0,0,0.84,0
07/13/2018,PtDesconocida,1988.06,1988,"Ashley, Sarah, Lia, Tommy, Helena",Ashley,55.69777,-133.55077,0.5,190,20,GreyWacke,3,735,-1.04,3,11.6,11,12.5,4.31,0,0.1,0.39,0
05/20/2018,Kasaan,2003.01,2003,"Ashley, Mel, Sarah",Ashley,55.926883,-133.28875,0,246,100,Karst,5,1130,-0.47,1,16.1,NA,15.45,4.03,0,1.07,0.82,0
05/20/2018,Kasaan,2003.01,2003,"Ashley, Mel, Sarah",Ashley,55.926883,-133.28875,0,246,100,Karst,5,1130,-0.47,2,13.49,NA,13.85,4.56,0,0.5,0.85,0
05/20/2018,Kasaan,2003.01,2003,"Ashley, Mel, Sarah",Ashley,55.926883,-133.28875,0,246,100,Karst,5,1130,-0.47,3,12.38,NA,12.5,4.07,0,0.73,0.76,0
06/01/2018,Teal,2003.02,2003,"Ashley, sarah, Justin, Lia",Ashley,55.92405,-133.359533,0.25,180,100,NA,2,917,-0.41,1,9.1,9,9.4,3.87,0,0.5,0.98,0
