"","place_name","collection_date","YYYYMMDD","processed_date","quadrat","shoot_foil_mass_g","shoot_fw_g","shoot_dw_foil_mass_g","pad_pre_mass_g","pad_dw_mass_g","idotea_count","idotea_foil_mass_g","idotea_fw_mass_g","idotea_dw_foil_mass_g","limpet_count","limpet_foil_mass_g","limpet_fw_mass_g","limpet_dw_foil_mass_g","caprellid_count","caprellid_foil_mass_g","caprellid_fw_mass_g","caprellid_dw_foil_mass_g","amphipod_count","amphipod_foil_mass_g","amphipod_fw_mass_g","amphipod_dw_foil_mass_g","gastropod_count","gastropod_foil_mass_g","gastropod_fw_mass_g","gastropod_dw_foil_mass_g","notes"
"1","Guktu","7/5/2019",20190705,"7/5/2019",1,2.157,6.466,3.343,1.065,1.069,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,"",0,"3 clams, 1 shrimp, no grazers"
"2","Guktu","7/5/2019",20190705,"7/5/2019",2,2.037,16.369,5.048,1.033,1.035,0,0,0,0,1,1.326,0.032,1.335,4,1.47,"0.011",1.471,0,0,0,0,0,0,"",0,"1 clam, 1 mussel, 1 cresten gunnel"
"3","Guktu","7/5/2019",20190705,"7/5/2019",3,2.147,13.704,4.484,1.025,1.051,0,0,0,0,1,1.261,0.03,1.266,0,0,"",0,0,0,0,0,4,0.945,"0.116",0.991,"4 clams, 1 hermit crab"
"4","Guktu","7/5/2019",20190705,"7/5/2019",4,1.935,12.858,3.523,1.056,1.102,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,"",0,"no grazers"
"5","Guktu","7/5/2019",20190705,"7/5/2019",5,2.198,3.717,2.975,1.024,1.033,0,0,0,0,1,0.828,0.024,0.833,0,0,"",0,0,0,0,0,1,0.758,"0.001",0.759,""
"6","Guktu","7/5/2019",20190705,"7/5/2019",6,1.939,10.696,4.081,1.034,1.065,0,0,0,0,4,1.323,0.154,1.356,0,0,"",0,0,0,0,0,1,0.778,"0.001",0.778,""
"7","Guktu","7/5/2019",20190705,"7/5/2019",7,1.996,12.325,4.03,1.035,1.046,2,1.316,0.543,1.44,4,0.875,0.127,0.909,0,0,"",0,0,0,0,0,1,1.178,"0.025",1.187,"1 shrimp"
"8","Guktu","7/5/2019",20190705,"7/5/2019",8,1.864,12.389,4.171,1.035,1.051,1,0.625,0.002,0.625,4,0.948,0.075,0.976,0,0,"",0,2,1.36,0.003,1.361,17,0.622,"0.084",0.655,""
"9","Natzuhini","7/6/2019",20190706,"7/6/2019",1,2.228,17.332,4.238,1.033,1.031,0,0,0,0,0,0,0,0,1,0,">0.0001",0,6,0.588,0.014,0.59,1,0.607,"0.005",0.609,""
"10","Natzuhini","7/6/2019",20190706,"7/6/2019",2,2.189,22.73,6.611,1.032,1.077,1,0.746,0.001,0.746,0,0,0,0,1,0.816,"0.001",0.816,1,0.765,0.003,0.766,2,0.728,"0.053",0.762,""
"11","Natzuhini","7/6/2019",20190706,"7/6/2019",3,2.404,20.73,4.831,1.038,1.048,3,0.815,0.392,0.879,1,0.642,0.058,0.659,0,0,"",0,0,0,0,0,0,0,"",0,""
"12","Natzuhini","7/6/2019",20190706,"7/6/2019",4,2.4,20.895,5.5,1.075,1.081,0,0,0,0,1,0.654,0.042,0.665,0,0,"",0,1,0.656,0.003,0.656,2,0.521,"0.038",0.535,""
"13","Natzuhini","7/6/2019",20190706,"7/6/2019",5,2.245,15.236,4.328,1.065,1.058,0,0,0,0,2,0.495,0.058,0.517,0,0,"",0,0,0,0,0,0,0,"",0,""
"14","Natzuhini","7/6/2019",20190706,"7/6/2019",6,1.861,11.778,3.689,1.06,1.081,5,0.516,0.036,0.518,0,0,0,0,1,0.726,"0.006",0.726,5,0.76,0.02,0.759,4,0.659,"0.023",0.666,""
"15","Natzuhini","7/6/2019",20190706,"7/6/2019",7,1.808,15.268,3.948,1.097,1.104,0,0,0,0,0,0,0,0,0,0,"",0,5,1.021,0.008,1.021,0,0,"",0,""
"16","Natzuhini","7/6/2019",20190706,"7/6/2019",8,1.965,5.629,2.872,1.071,1.077,4,0.502,0.026,0.504,0,0,0,0,0,0,"",0,6,0.682,0.011,0.682,4,0.52,"0.107",0.583,"1 clam"
"17","North Fish Egg","7/4/2019",20190704,"7/4/2019",1,2.083,2.586,2.63,1.066,1.068,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,7,0.93,"0.015",0.937,""
"18","North Fish Egg","7/4/2019",20190704,"7/4/2019",2,2.115,16.485,4.697,1.017,1.02,0,0,0,0,0,0,0,0,5,0.84,"0.0048",0.841,4,0.829,0.00477,0.83,45,0.932,"0.149",0.967,"1 jellyfish, 3 polychaetes"
"19","North Fish Egg","7/4/2019",20190704,"7/4/2019",3,1.884,2.111,2.21,1.027,1.029,2,1.267,0.536,1.341,1,0.749,0.0329,0.758,0,0,"",0,2,1.05,0.00066,1.051,0,0,"",0,"idotea gravid"
"20","North Fish Egg","7/4/2019",20190704,"7/4/2019",4,2.492,22.145,5.795,1.037,1.049,4,1.012,0.183,1.029,0,0,0,0,1,0.305,"0.00067",0.305,7,0.95,0.014,0.952,0,0,"",0,"2 shrimp, 1 juv. fish, 2 polychaetes"
"21","North Fish Egg","7/4/2019",20190704,"7/4/2019",5,1.999,12.465,3.717,1.061,1.065,2,0.928,0.269,0.973,3,1.387,0.136,1.415,0,0,"",0,2,0.43,0.007,0.431,1,0.46,"0.006",0.462,"1 unsegmented worm"
"22","North Fish Egg","7/4/2019",20190704,"7/4/2019",6,2.141,12.8,3.957,1.078,1.079,5,0.7025,0.111,0.712,1,0.811,0.067,0.819,2,0.597,"0.606",0.599,0,0,0,0,0,0,"",0,"2 polychaetes"
"23","North Fish Egg","7/4/2019",20190704,"7/4/2019",7,2.708,24.61,5.523,1.052,1.054,3,0.602,0.025,0.604,1,0.816,0.033,0.829,0,0,"",0,3,0.55,0.0067,0.551,0,0,"",0,"1 juv. fish"
"24","North Fish Egg","7/4/2019",20190704,"7/4/2019",8,1.917,15.221,3.985,1.066,1.077,7,1.312,0.245,1.338,2,1.19,0.141,1.22,0,0,"",0,1,1.324,0.003,1.325,0,0,"",0,""
