site,date,YYYYMMDD,primary_observer,secondary_observer,start_time,end_time,depth_m,quadrat,macroalgae_cover_0.25msq,diatom_cover_0.25msq,eelgrass_shoots_0.25msq,flowering_shoots_0.25msq,primary_sediment,secondary_sediment,notes
Guktu,7/2/2019,20190702,Wendel,Lia,540,635,-0.52,1,0,0,69,0,M,SM,
Guktu,7/2/2019,20190702,Wendel,Lia,540,635,-0.52,2,0,0,48,0,M,M,
Guktu,7/2/2019,20190702,Wendel,Lia,540,635,-0.52,3,0,0,36,2,M,M,
Guktu,7/2/2019,20190702,Wendel,Lia,540,635,-0.52,4,0,20,50,0,M,M,
Guktu,7/2/2019,20190702,Wendel,Lia,540,635,-0.52,5,0,0,59,0,M,M,
Guktu,7/2/2019,20190702,Wendel,Lia,540,635,-0.52,6,0,0,64,0,M,M,
Guktu,7/2/2019,20190702,Wendel,Lia,540,635,-0.52,7,0,0,58,0,M,M,
Guktu,7/2/2019,20190702,Wendel,Lia,540,635,-0.52,8,0,0,76,0,M,M,
Natzuhini,7/4/2019,20190704,Wendel,Lia,700,750,-0.6,1,25,50,26,0,C,M,
Natzuhini,7/4/2019,20190704,Wendel,Lia,700,750,-0.6,2,12,70,35,0,C,M,
Natzuhini,7/4/2019,20190704,Wendel,Lia,700,750,-0.6,3,0,100,66,0,C,M,
Natzuhini,7/4/2019,20190704,Wendel,Lia,700,750,-0.6,4,50,50,15,0,C,M,
Natzuhini,7/4/2019,20190704,Wendel,Lia,700,750,-0.6,5,10,90,43,0,C,M,
Natzuhini,7/4/2019,20190704,Wendel,Lia,700,750,-0.6,6,4,96,52,0,C,M,
Natzuhini,7/4/2019,20190704,Wendel,Lia,700,750,-0.6,7,5,70,38,0,C,M,
Natzuhini,7/4/2019,20190704,Wendel,Lia,700,750,-0.6,8,2,85,43,0,C,M,
North Fish Egg,7/1/2019,20190701,Wendel ,Ginny,515,600,-0.3,1,0,0,251,1,SM,SM,
North Fish Egg,7/1/2019,20190701,Wendel ,Ginny,515,600,-0.3,2,0,0,212,0,SM,SM,
North Fish Egg,7/1/2019,20190701,Wendel ,Ginny,515,600,-0.3,3,0,0,128,0,SM,SM,
North Fish Egg,7/1/2019,20190701,Wendel ,Ginny,515,600,-0.3,4,0,1,131,0,SM,SM,
North Fish Egg,7/1/2019,20190701,Wendel ,Ginny,515,600,-0.3,5,0,2,122,2,SM,SM,
North Fish Egg,7/1/2019,20190701,Wendel ,Ginny,515,600,-0.3,6,0,1,86,0,SM,SM,
North Fish Egg,7/1/2019,20190701,Wendel ,Ginny,515,600,-0.3,7,0,1,118,1,SM,SM,
North Fish Egg,7/1/2019,20190701,Wendel ,Ginny,515,600,-0.3,8,0,0,158,3,SM,SM,
Nossuk,7/3/2019,20190703,Wendel,Lia,620,720,-0.6,1,0,100,66,0,M,M,
Nossuk,7/3/2019,20190703,Wendel,Lia,620,720,-0.6,2,0,100,58,0,M,M,
Nossuk,7/3/2019,20190703,Wendel,Lia,620,720,-0.6,3,0,90,38,2,M,M,
Nossuk,7/3/2019,20190703,Wendel,Lia,620,720,-0.6,4,0,90,61,0,M,M,
Nossuk,7/3/2019,20190703,Wendel,Lia,620,720,-0.6,5,0,100,46,1,M,M,
Nossuk,7/3/2019,20190703,Wendel,Lia,620,720,-0.6,6,0,75,82,0,M,M,
Nossuk,7/3/2019,20190703,Wendel,Lia,620,720,-0.6,7,0,100,64,0,M,M,
Nossuk,7/3/2019,20190703,Wendel,Lia,620,720,-0.6,8,0,95,67,2,M,M,
Refugio,7/5/2019,20190705,Wendel,Lia,750,840,-0.6,1,50,80,52,0,SM,SM,
Refugio,7/5/2019,20190705,Wendel,Lia,750,840,-0.6,2,25,50,88,0,MS,S,
Refugio,7/5/2019,20190705,Wendel,Lia,750,840,-0.6,3,30,50,86,0,SM,SM,
Refugio,7/5/2019,20190705,Wendel,Lia,750,840,-0.6,4,10,90,130,0,SM,SM,
Refugio,7/5/2019,20190705,Wendel,Lia,750,840,-0.6,5,12,95,110,0,SM,SM,
Refugio,7/5/2019,20190705,Wendel,Lia,750,840,-0.6,6,5,50,106,0,SM,C,
Refugio,7/5/2019,20190705,Wendel,Lia,750,840,-0.6,7,15,98,139,0,SM,C,occasional cobble
Refugio,7/5/2019,20190705,Wendel,Lia,750,840,-0.6,8,8,90,146,0,MS,MS,
Shinaku,7/6/19,20190706,Wendel,Alex,850,935,-0.43,1,0,100,66,1,M,M,
Shinaku,7/6/19,20190706,Wendel,Alex,850,935,-0.43,2,0,95,52,0,M,M,
Shinaku,7/6/19,20190706,Wendel,Alex,850,935,-0.43,3,0,100,32,0,M,M,
Shinaku,7/6/19,20190706,Wendel,Alex,850,935,-0.43,4,0,100,45,1,M,M,
Shinaku,7/6/19,20190706,Wendel,Alex,850,935,-0.43,5,0,100,39,0,M,M,
Shinaku,7/6/19,20190706,Wendel,Alex,850,935,-0.43,6,0,100,53,1,M,M,
Shinaku,7/6/19,20190706,Wendel,Alex,850,935,-0.43,7,0,100,78,0,M,M,
Shinaku,7/6/19,20190706,Wendel,Alex,850,935,-0.43,8,0,100,43,0,M,M,
