site,date,YYYYMMDD,primary_observer,secondary_observer,tertiary_obsever,start_time,end_time,depth_m,quadrat,macroalgae_cover_0.25msq,diatom_cover_0.25msq,eelgrass_shoots_0.25msq,flowering_shoots_0.25msq,primary_sediment,secondary_sediment,notes
Guktu,07/12/2022,20220712,,,,541,,,12,0,,98,2,M,M,
Guktu,07/12/2022,20220712,,,,541,,,24,0,,54,0,M,M,
Guktu,07/12/2022,20220712,,,,541,,,36,0,,44,0,M,M,
Guktu,07/12/2022,20220712,,,,541,,,48,0,,82,0,M,M,
Guktu,07/12/2022,20220712,,,,541,,,60,0,,48,0,M,M,
Guktu,07/12/2022,20220712,,,,541,,,72,0,,91,1,M,M,
Guktu,07/12/2022,20220712,,,,541,,,84,0,,54,1,M,M,
Guktu,07/12/2022,20220712,,,,541,,,96,0,,58,1,M,M,
Nossuk,07/13/2022,20220713,,,,,,,12,0,,88,1,M,M,
Nossuk,07/13/2022,20220713,,,,,,,24,0,,49,0,M,M,
Nossuk,07/13/2022,20220713,,,,,,,36,0,,46,0,M,M,
Nossuk,07/13/2022,20220713,,,,,,,48,0,,58,1,M,M,
Nossuk,07/13/2022,20220713,,,,,,,60,0,,73,0,M,M,
Nossuk,07/13/2022,20220713,,,,,,,72,0,,72,0,M,M,
Nossuk,07/13/2022,20220713,,,,,,,84,0,,49,0,M,M,
Nossuk,07/13/2022,20220713,,,,,,,96,0,,91,0,M,M,
Shinaku,7/14/2022,20220714,,,,,,,12,0,,46,0,M,M,
Shinaku,7/14/2022,20220714,,,,,,,24,0,,64,0,M,SM,
Shinaku,7/14/2022,20220714,,,,,,,36,0,,46,2,M,M,
Shinaku,7/14/2022,20220714,,,,,,,48,0,,64,0,M,M,
Shinaku,7/14/2022,20220714,,,,,,,60,0,,69,2,M,M,
Shinaku,7/14/2022,20220714,,,,,,,72,0,,40,0,M,M,
Shinaku,7/14/2022,20220714,,,,,,,84,0,,62,1,M,M,
Shinaku,7/14/2022,20220714,,,,,,,96,0,,62,0,M,M,
Natzuhini,07/15/2022,20220715,Ginny,Carter,Elyse,,,,12,0,,30,0,C,M,
Natzuhini,07/15/2022,20220715,Ginny,Carter,Elyse,,,,24,0,,26,0,C,M,
Natzuhini,07/15/2022,20220715,Ginny,Carter,Elyse,,,,36,0,,56,0,C,M,
Natzuhini,07/15/2022,20220715,Ginny,Carter,Elyse,,,,48,0,,47,0,C,M,
Natzuhini,07/15/2022,20220715,Ginny,Carter,Elyse,,,,60,0,,56,0,C,M,
Natzuhini,07/15/2022,20220715,Ginny,Carter,Elyse,,,,72,0,,36,0,C,M,
Natzuhini,07/15/2022,20220715,Ginny,Carter,Elyse,,,,84,0,,46,0,C,M,
Natzuhini,07/15/2022,20220715,Ginny,Carter,Elyse,,,,96,0,,60,0,C,M,
Refugio,07/16/2022,20220716,,,,,,,12,0,,80,1,M,MS,
Refugio,07/16/2022,20220716,,,,,,,24,0,,113,0,M,MS,
Refugio,07/16/2022,20220716,,,,,,,36,0,,118,0,M,MS,
Refugio,07/16/2022,20220716,,,,,,,48,0,,88,0,M,MS,
Refugio,07/16/2022,20220716,,,,,,,60,0,,118,1,M,MS,
Refugio,07/16/2022,20220716,,,,,,,72,20,,71,0,M,MS,
Refugio,07/16/2022,20220716,,,,,,,84,0,,62,0,M,MS,
Refugio,07/16/2022,20220716,,,,,,,96,5,,93,0,M,MS,
North Fish Egg Island,07/17/2022,20220717,,,,,,,12,0,,189,1,MS,MS,
North Fish Egg Island,07/17/2022,20220717,,,,,,,24,0,,133,2,MS,MS,
North Fish Egg Island,07/17/2022,20220717,,,,,,,36,0,,177,1,MS,MS,
North Fish Egg Island,07/17/2022,20220717,,,,,,,48,0,,160,0,MS,MS,
North Fish Egg Island,07/17/2022,20220717,,,,,,,60,0,,134,2,MS,MS,
North Fish Egg Island,07/17/2022,20220717,,,,,,,72,0,,163,2,MS,M,
North Fish Egg Island,07/17/2022,20220717,,,,,,,84,0,,245,0,MS,MS,
North Fish Egg Island,07/17/2022,20220717,,,,,,,96,0,,185,2,MS,MS,
