"site","bay_code","bay_sample","longitude","latitude","shoot_dens","shoot_dens_se","macro_dens","macro_dens_se","diatom_dens","diatom_dens_se","flower_dens","flower_dens_se","shoot_area","shoot_area_se","shoot_max","shoot_max_se","epi_mass","epi_mass_se","shoot_mass","shoot_mass_se","rhi_mass","rhi_mass_se","node1","node1_se","node2","node2_se","node3","node3_se","node4","node4_se","node5","node5_se","exshoot_mass","exshoot_mass_se","exepi_mass","exepi_mass_se","abvgnd_mass","abvgnd_mass_se","blwgnd_mass","blwgnd_mass_se","epiphmass_shootarea","epiphmass_shootarea_se","epiphmass_shootmax","epiphmass_shootmax_se","epiphmass_shootmass","epiphmass_shootmass_se","grazer_mass","grazer_mass_se","crus_mass","crus_mass_se","gast_mass","gast_mass_se","grazermass_shootmass","grazermass_shootmass_se","grazermass_shootmax","grazermass_shootmax_se","crusmass_shootmass","crusmass_shootmass_se","gastmass_shootmass","gastmass_shootmass_se"
"2017_H_01","SALA","A",-133.377184,55.672389,226.5,14.2214626533279,0.625,0.625,NA,NA,0,0,0.147825963093431,0.00981447714718322,21.6775,1.10235097794279,0.0070025,0.000596542867577129,0.04945,0.0049793588227516,0.046415963093431,0.00396726771697443,0.51,0.0290320020470023,0.44,0.0485504156227612,0.34,0.029277002188456,0.2725,0.0135949045076245,0.240625,0.0191897829028143,0.2217375,0.0568260344557342,NA,NA,11.09021,1.12087696084679,10.3947389775113,0.888183346288338,0.0499891831180225,0.00629599191209772,0.000330539837587097,3.68114868183525e-05,0.149941349715292,0.0186371310340978,2.0955150786309,1.19496686527377,0,0,0,0,12.0177115388961,8.28675280593146,0.105665683526761,0.0656828471674063,0,0,0,0
"2017_H_02","NOSK","A",-133.342,55.7073,245,20.3505001693535,0,0,44.75,11.7241356671977,0,0,0.566478929352301,0.0807806670983958,46.985,2.17813731037718,0.011245,0.000508509727396779,0.18315,0.0206005301596134,0.0835714293523014,0.00628970958722539,1.13,0.0698978847012861,1.295,0.157105515043689,0.761875,0.0842240713598468,0.548333333333333,0.0779066392834683,0.357083333333333,0.0474767591430814,1.4231625,0.299008835235862,NA,NA,46.13512,7.86322844045262,20.4727069396882,2.47689577484132,0.0239996279107674,0.00465379684463274,0.000243585701252523,1.73541076248089e-05,0.0671494678662051,0.00818006034715337,9.3746486492674,3.12292613737466,0,0,0,0,6.35737951732059,2.51382465346456,0.200850823773924,0.0663535983518348,0,0,0,0
"2017_H_03","CHUS","A",-133.171,55.80692,220.5,25.4045833884923,0,0,100,0,6,1.30930734141595,1.00121666666667,0.106810221762788,78.8425,4.27303912840231,0.00219999999999999,0.00106562523565142,0.43073,0.0438237839860634,0.0806416666666666,0.0109106561243352,1.26,0.0574456264653803,1.89458333333333,0.100668277935702,1.53541666666667,0.112442114737614,0.95,0.0984250984251476,0.466666666666667,0.0889756521002609,2.269175,0.31912141260364,NA,NA,95.5658,13.0704923699585,17.85511,2.70906566853645,0.00173105854444679,0.000713067888938366,2.4917806414821e-05,1.13674217468649e-05,0.00404510154338462,0.0017747835244016,8.8393,2.44196606804845,0,0,0.1147625,0.0375030376745862,3.61104562997722,1.10633963735501,0.107252260314579,0.0274553075375531,0,0,0.039980099616153,0.0112510482234548
"2017_H_04","KAGK","A",-133.29,55.73361,180.5,17.22850627801,0,0,91.25,4.88711863693,0,0,1.33827513868224,0.208468094054687,82.9225,4.45937445565118,0.00720749999999999,0.00164127971630154,0.414075,0.0491791466767892,0.0944551386822397,0.00617437472859371,1.3175,0.113605677675018,1.52166666666667,0.0565088839763622,1.16979166666667,0.0464497910147878,0.610416666666667,0.0539084964737795,0.55,0.0968245836551854,3.9841125,0.77738701256138,0.0337,NA,74.62484,10.8116536910555,16.9353364873779,1.68994011066803,0.00781293949752307,0.00295626742070046,9.2156673276202e-05,2.33106978353781e-05,0.0206350039274487,0.00593679856096545,25.583725,14.5362169910654,0,0,0.0195875,0.0176465945470264,9.71596941155194,5.41704738803108,0.306790079348178,0.166395819513857,0,0,0.00423212016188259,0.00280843203645161
"2017_H_05","NAUK","A",-133.190722,55.862405,205,12.5527458578364,0,0,100,0,2.5,1.0522085616183,0.778332613636364,0.0700991583819454,92.3125,2.69161379499894,0.014115,0.00047783365306349,0.4093125,0.0386159883500345,0.0719651136363636,0.00180657012866823,1.44,0.108430359480834,1.60125,0.124648613252271,1.30190476190476,0.115626528303928,1.19444444444444,0.0745976863904961,1,0,1.3053625,0.24939594733898,NA,NA,83.53737,8.26719077818111,14.7467522727273,0.95522392465115,0.0191273437106619,0.00180124979779141,0.000154074959585671,7.60409099649895e-06,0.0363577980711993,0.0033950252773557,2.0307125,0.289589725447609,0,0,0.0545375,0.0277087205039187,1.19057823131124,0.0690382385901682,0.0219061079061184,0.00287768661634315,0,0,0.0308889165428795,0.0158704204078833
"2017_H_06","GUKT","A",-133.312022,55.739816,186,28.2337184434296,0,0,96.5,2.03540097839643,2,1.0690449676497,1.34955,0.232153176803592,92.665,5.43992088965587,0.03219,0.00219051526880256,0.51724,0.0537399766069384,0.087455,0.00509247589236176,1.5625,0.150163601258285,1.80875,0.118795104216101,1.36395833333333,0.0765410056481813,0.82,0.125374439181198,0.7,0.15,3.5366125,1.00982551718416,0.0304000000000001,NA,101.21096,20.6219999251895,16.26161,2.53175638626908,0.0268233506871816,0.0026563991577616,0.000351654189857211,2.49693808622469e-05,0.0657489911726187,0.00625451751486788,17.2790875,9.08391252219386,0,0,0,0,6.5566708811769,4.97174379309884,0.165864552823496,0.0826539874742956,0,0,0,0
"2017_H_07","BLAQ","A",-133.38664,55.62082,401,34.7377933339797,0.375,0.375,15,2.11288563682129,1.5,0.7319250547114,0.751591277223648,0.0636725542612348,66.0525,5.3789708754158,0.010155,0.00111537789880509,0.38801,0.033959205148026,0.122538777223648,0.00932518170802766,1.03,0.119043809462855,1.2475,0.13314532876308,1.07375,0.0989717722704267,0.845,0.0479800305682826,0.761111111111111,0.0202986954516057,1.098275,0.20836924621416,NA,NA,155.92882,19.9513024983748,48.3587242966536,4.20260631380962,0.0143925185545108,0.00224112410071172,0.000160800787548851,2.24773563317545e-05,0.0282026584456005,0.0048191981856083,6.67435192725896,5.03740954684716,0,0,0.01165,0.00782238089440439,4.13815978493571,2.96840233731185,0.115573695039346,0.0915063730407199,0,0,0.0126529230204754,0.00891457072202055
"2017_L_01","SODA","A",-132.995,55.26366,143.5,21.4800571959866,0,0,15.875,2.3256143581551,0,0,0.124691670718099,0.0140350398008035,-Inf,NA,0.00767666666666667,0.000494275564167731,0.04980625,0.00365532240980777,0.0512945873847655,0.00178876427256616,0.47125,0.0436478399072787,0.36375,0.0530477379348074,0.30125,0.0747002940326973,0.23,0.0546416899968722,0.176190476190476,0.0131132632078241,0.13125,0.0364290994359494,NA,NA,6.858815,0.852645296539373,7.2776018374007,0.990400764669375,0.0732331067455859,0.0153396119355706,0.000286373164641683,5.44508300025573e-05,0.153323350437291,0.00942416096063411,0.643562908496732,0.417051345526658,0,0,0,0,3.3113413305741,1.9756088411329,0.028094606488218,0.0193251919780462,0,0,0,0
"2017_L_02","GOAT","A",-132.900113,55.192784,232,24.2015347801392,13.375,3.73658314124396,20,2.29128784747792,0.5,0.5,0.37107805166625,0.0456357999764379,28.085,1.85089071221707,0.0032725,0.00122530426250556,0.11701,0.0148454471135092,0.10191305166625,0.00717678473483555,0.8325,0.0535773806217299,1.13,0.0810643483377777,0.741875,0.0503198475114087,0.574791666666667,0.0280260605409402,0.380208333333333,0.0406707617717598,0.7286375,0.135616860437121,NA,NA,26.4319,3.77304915213147,23.9100043619937,3.53895385418801,0.00981827864187548,0.00454710972978822,0.00011375973213024,4.06950788668329e-05,0.0305661969512558,0.0129285790266554,10.2089073038176,4.04681832143818,0,0,0,0,10.5056492771124,2.84301764427244,0.346939018075453,0.133628756977299,0,0,0,0
"2017_L_03","NPAS","A",-132.924121,55.229358,93,10.4129040823668,0,0,96.25,2.63052140404576,0,0,0.431519288748732,0.0477301956065529,44.4725,2.87568361437763,0.0220225,0.00697292359006301,0.1611325,0.0201063955487871,0.0723117887487316,0.0038202500075577,1.235,0.0891026695126791,1.015,0.113247516529061,0.622083333333333,0.0728145543514264,0.427708333333333,0.0562589829687894,0.366666666666667,0.0586936152932368,0.8523375,0.138359158581544,NA,NA,14.07962,1.49698875237687,6.48743787543988,0.510018198720415,0.0514252937838318,0.0148778225815902,0.000513407612387478,0.000178805828671348,0.154489924265643,0.0579092835056921,30.0720266865079,5.66776284525738,0,0,0.0116875,0.0105779325130197,37.3227670956219,10.9594100835626,0.665577730754252,0.115610897956758,0,0,0.0101286532406129,0.00894773413838938
