bay_code,bay_sample,place_name,collection_date,YYYYMMDD,processed_date,quadrat,pad_pre_mass_g,pad_dw_mass_g,shoot_fw_g,shoot_foil_mass_g,shoot_dw_foil_mass_g,idotea_count,idotea_foil_mass_g,idotea_fw_mass_g,idotea_dw_foil_mass_g,limpet_count,limpet_foil_mass_g,limpet_fw_mass_g,limpet_dw_foil_mass_g,caprellid_count,caprellid_foil_mass_g,caprellid_fw_mass_g,caprellid_dw_foil_mass_g,amphipod_count,amphipod_foil_mass_g,amphipod_fw_mass_g,amphipod_dw_foil_mass_g,gastropod_count,gastropod_foil_mass_g,gastropod_fw_mass_g,gastropod_dw_foil_mass_g,notes,
GUKT,A,Guktu Bay,08/04/2020,20200804,08/05/2020,1,0.5083,0.615,26.138,3.142,7.306,5,0.591,0.022,0.593,0,0,0,0,0,0,0,0,11,0.475,0.0774,0.479,0,0,0,0,1 polychaeta,
GUKT,A,Guktu Bay,08/04/2020,20200804,08/05/2020,2,0.5422,0.567,14.439,3.851,5.989,11,0.545,0.6337,0.633,3,0.472,0.232,0.533,0,0,0,0,9,0.625,0.0316,0.626,3,0.668,0.023,0.671,"2 shrimp > 20 mm, 1 telmessus @ 11 mm",
GUKT,A,Guktu Bay,08/04/2020,20200804,08/05/2020,3,0.5545,0.917,71.081,4.214,13.662,1,0.625,0.003,0.626,1,0.571,0.609,0.579,0,0,0,0,2,0.618,0.028,0.62,2,0.582,0.032,0.587,0,
GUKT,A,Guktu Bay,08/04/2020,20200804,08/05/2020,4,0.5523,0.583,20.348,3.448,6.51,7,0.691,0.425,0.767,4,0.626,0.183,0.694,0,0,0,0,5,0.599,0.0753,0.601,0,0,0,0,0,
GUKT,A,Guktu Bay,08/04/2020,20200804,08/05/2020,5,0.5378,0.73,51.472,4.44,12.194,6,0.57,1.721,1.117,0,0,0,0,0,0,0,0,2,0.519,0.03,0.521,3,0.405,0.068,0.419,2 polychaeta,
GUKT,A,Guktu Bay,08/04/2020,20200804,08/05/2020,6,0.5238,0.572,34.162,4.663,9.743,8,0.516,1.162,0.627,3,0.608,0.222,0.65,0,0,0,0,5,0.495,0.02,0.495,1,0.606,0.014,0.608,"3 polychaeta, 1 leptochelia",
GUKT,A,Guktu Bay,08/04/2020,20200804,08/05/2020,7,0.5177,0.582,15.586,4.33,7.345,2,0.563,0.013,0.565,2,0.629,0.19,0.672,0,0,0,0,13,0.608,0.054,0.611,1,0.58,0.004,0.581,3 polychaeta,
GUKT,A,Guktu Bay,08/04/2020,20200804,08/05/2020,8,0.5146,0.558,40.127,4.246,15.385,2,0.589,0.02,0.589,1,0.654,0.069,0.675,0,0,0,0,2,0.562,0.009,0.563,4,0.601,0.054,0.608,2 polychaeta,
NOSK,A,Nossuk Bay,08/02/2020,20200802,08/03/2020,1,0.5667,0.577,41.191,4.669,10.431,13,0.53,0.321,0.599,0,0,0,0,0,0,0,0,4,0.489,0.002,0.49,4,0.555,0.013,0.558,1 polychaeta,
NOSK,A,Nossuk Bay,08/02/2020,20200802,08/03/2020,2,0.5548,0.571,7.158,4.457,5.904,0,0,0,0,2,0.598,0.076,0.61,0,0,0,0,6,0.664,0.035,0.667,3,0.544,0.046,0.55,4 leptochelia,
