site,bay_code,bay_sample,date,YYYYMMDD,number,quadrat,shoot_FW_mass_g,shoot_foil_g,shoot_foil_DW_g
Guktu,GUKT,A,07/12/2022,20220712,1,12,96.5577,3.5874,49.00643
Guktu,GUKT,A,07/12/2022,20220712,2,24,95.3795,4.6,88.3083
Guktu,GUKT,A,07/12/2022,20220712,3,36,67.8436,2.02397,26.0631
Guktu,GUKT,A,07/12/2022,20220712,4,48,79.6146,2.71282,13.8783
Guktu,GUKT,A,07/12/2022,20220712,5,60,64.2258,3.8218,13.0432
Guktu,GUKT,A,07/12/2022,20220712,6,72,96.3275,3.3385,72.0129
Guktu,GUKT,A,07/12/2022,20220712,7,84,53.7049,3.3186,85.8416
Guktu,GUKT,A,07/12/2022,20220712,8,96,53.3848,4.13888,30.3753
Nossuk Bay,NOSK,E,07/13/2022,20220713,1,12,61.0003,2.30602,15.8012
Nossuk Bay,NOSK,E,07/13/2022,20220713,2,24,35.2529,3.3642,8.0106
Nossuk Bay,NOSK,E,07/13/2022,20220713,3,36,46.4148,3.9401,31.4241
Nossuk Bay,NOSK,E,07/13/2022,20220713,4,48,37.2138,3.6518,7.4867
Nossuk Bay,NOSK,E,07/13/2022,20220713,5,60,66.1774,4.1796,29.5166
Nossuk Bay,NOSK,E,07/13/2022,20220713,6,72,48.0406,2.132,22.1365
Nossuk Bay,NOSK,E,07/13/2022,20220713,7,84,68.7394,3.465,57.4176
Nossuk Bay,NOSK,E,07/13/2022,20220713,8,96,63.8132,3.447,47.2418
Shinaku,SHIN,A,07/14/2022,20220714,1,12,11.8334,3.46308,2.78488
Shinaku,SHIN,A,07/14/2022,20220714,2,24,25.7491,3.60243,6.73662
Shinaku,SHIN,A,07/14/2022,20220714,3,36,24.0075,3.55551,4.25872
Shinaku,SHIN,A,07/14/2022,20220714,4,48,22.8611,3.47237,4.30932
Shinaku,SHIN,A,07/14/2022,20220714,5,60,30.0331,1.92078,6.45801
Shinaku,SHIN,A,07/14/2022,20220714,6,72,10.9145,3.31237,2.95748
Shinaku,SHIN,A,07/14/2022,20220714,7,84,12.4688,3.097,1.77998
Shinaku,SHIN,A,07/14/2022,20220714,8,96,24.5934,2.66114,4.99192
Natzuhini,NATZ,C,07/15/2022,20220715,1,12,14.48116,3.9807,9.51631
Natzuhini,NATZ,C,07/15/2022,20220715,2,24,6.6222,3.93971,4.11784
Natzuhini,NATZ,C,07/15/2022,20220715,3,36,15.67706,4.7195,7.73513
Natzuhini,NATZ,C,07/15/2022,20220715,4,48,22.38545,2.58696,5.50599
Natzuhini,NATZ,C,07/15/2022,20220715,5,60,29.18316,4.73076,7.53448
Natzuhini,NATZ,C,07/15/2022,20220715,6,72,31.39166,2.1625,12.99599
Natzuhini,NATZ,C,07/15/2022,20220715,7,84,17.21886,4.2187,4.61873
Natzuhini,NATZ,C,07/15/2022,20220715,8,96,11.15211,4.46922,5.31937
Port Refugio,REFU,A,07/16/2022,20220716,1,12,9.22951,2.86614,6.22355
Port Refugio,REFU,A,07/16/2022,20220716,2,24,8.50084,3.23047,4.40122
Port Refugio,REFU,A,07/16/2022,20220716,3,36,10.79868,2.80234,4.21511
Port Refugio,REFU,A,07/16/2022,20220716,4,48,5.00395,3.58413,4.25344
Port Refugio,REFU,A,07/16/2022,20220716,5,60,11.21907,4.41998,8.17054
Port Refugio,REFU,A,07/16/2022,20220716,6,72,6.05062,4.36917,5.24823
Port Refugio,REFU,A,07/16/2022,20220716,7,84,6.6306,3.99846,5.68696
Port Refugio,REFU,A,07/16/2022,20220716,8,96,5.40585,3.54002,5.05472
North Fish Egg Island,NFEI,A,07/17/2022,20220717,1,12,13.81209,4.53211,5.97838
North Fish Egg Island,NFEI,A,07/17/2022,20220717,2,24,10.36156,3.72762,5.28754
North Fish Egg Island,NFEI,A,07/17/2022,20220717,3,36,11.45181,4.14544,5.59761
North Fish Egg Island,NFEI,A,07/17/2022,20220717,4,48,10.67418,4.15716,4.9829
North Fish Egg Island,NFEI,A,07/17/2022,20220717,5,60,15.6914,4.89131,6.08255
North Fish Egg Island,NFEI,A,07/17/2022,20220717,6,72,8.62535,3.94005,5.34567
North Fish Egg Island,NFEI,A,07/17/2022,20220717,7,84,8.245,4.22678,5.5019
North Fish Egg Island,NFEI,A,07/17/2022,20220717,8,96,6.6056,4.22892,4.26568
