"","site","place_name","bay_code","bay_sample","latitude.x","latitude.y","longitude.x","longitude.y"
"1","2018_L_01","North Pass","NPAS","A",55.229743,55.229358,-132.924047,-132.924121
"2","2018_L_01","North Pass","NPAS","A",55.229743,55.229358,-132.924047,-132.924121
"3","2018_L_01","North Pass","NPAS","A",55.229743,55.229358,-132.924047,-132.924121
"4","2018_L_01","North Pass","NPAS","A",55.229743,55.229358,-132.924047,-132.924121
"5","2018_L_01","North Pass","NPAS","A",55.229743,55.229358,-132.924047,-132.924121
"6","2018_L_01","North Pass","NPAS","A",55.229743,55.229358,-132.924047,-132.924121
"7","2018_L_01","North Pass","NPAS","A",55.229743,55.229358,-132.924047,-132.924121
"8","2018_L_01","North Pass","NPAS","A",55.229743,55.229358,-132.924047,-132.924121
"9","2018_L_02","Natzuhini Bay","NATZ","A",55.249258,55.25051,-132.881141,-132.883
"10","2018_L_02","Natzuhini Bay","NATZ","A",55.249258,55.25051,-132.881141,-132.883
"11","2018_L_02","Natzuhini Bay","NATZ","A",55.249258,55.25051,-132.881141,-132.883
"12","2018_L_02","Natzuhini Bay","NATZ","A",55.249258,55.25051,-132.881141,-132.883
"13","2018_L_02","Natzuhini Bay","NATZ","A",55.249258,55.25051,-132.881141,-132.883
"14","2018_L_02","Natzuhini Bay","NATZ","A",55.249258,55.25051,-132.881141,-132.883
"15","2018_L_02","Natzuhini Bay","NATZ","A",55.249258,55.25051,-132.881141,-132.883
"16","2018_L_02","Natzuhini Bay","NATZ","A",55.249258,55.25051,-132.881141,-132.883
"17","2018_L_03","Sukkwan","SUKK","A",55.189095,55.189095,-132.84324,-132.84324
"18","2018_L_03","Sukkwan","SUKK","A",55.189095,55.189095,-132.84324,-132.84324
"19","2018_L_03","Sukkwan","SUKK","A",55.189095,55.189095,-132.84324,-132.84324
"20","2018_L_03","Sukkwan","SUKK","A",55.189095,55.189095,-132.84324,-132.84324
"21","2018_L_03","Sukkwan","SUKK","A",55.189095,55.189095,-132.84324,-132.84324
"22","2018_L_03","Sukkwan","SUKK","A",55.189095,55.189095,-132.84324,-132.84324
"23","2018_L_03","Sukkwan","SUKK","A",55.189095,55.189095,-132.84324,-132.84324
"24","2018_L_03","Sukkwan","SUKK","A",55.189095,55.189095,-132.84324,-132.84324
"25","2018_H_01","Kaguk Cove","KAGK","A",55.735283,55.73361,-133.295189,-133.29
"26","2018_H_01","Kaguk Cove","KAGK","A",55.735283,55.73361,-133.295189,-133.29
"27","2018_H_01","Kaguk Cove","KAGK","A",55.735283,55.73361,-133.295189,-133.29
"28","2018_H_01","Kaguk Cove","KAGK","A",55.735283,55.73361,-133.295189,-133.29
"29","2018_H_01","Kaguk Cove","KAGK","A",55.735283,55.73361,-133.295189,-133.29
"30","2018_H_01","Kaguk Cove","KAGK","A",55.735283,55.73361,-133.295189,-133.29
"31","2018_H_01","Kaguk Cove","KAGK","A",55.735283,55.73361,-133.295189,-133.29
"32","2018_H_01","Kaguk Cove","KAGK","A",55.735283,55.73361,-133.295189,-133.29
"33","2018_H_02","Guktu Bay","GUKT","A",55.738953,55.739816,-133.313514,-133.312022
"34","2018_H_02","Guktu Bay","GUKT","A",55.738953,55.739816,-133.313514,-133.312022
"35","2018_H_02","Guktu Bay","GUKT","A",55.738953,55.739816,-133.313514,-133.312022
"36","2018_H_02","Guktu Bay","GUKT","A",55.738953,55.739816,-133.313514,-133.312022
"37","2018_H_02","Guktu Bay","GUKT","A",55.738953,55.739816,-133.313514,-133.312022
"38","2018_H_02","Guktu Bay","GUKT","A",55.738953,55.739816,-133.313514,-133.312022
"39","2018_H_02","Guktu Bay","GUKT","A",55.738953,55.739816,-133.313514,-133.312022
"40","2018_H_02","Guktu Bay","GUKT","A",55.738953,55.739816,-133.313514,-133.312022
"41","2018_H_03","Nossuk Bay","NOSK","A",55.706493,55.7073,-133.341566,-133.342
"42","2018_H_03","Nossuk Bay","NOSK","A",55.706493,55.7073,-133.341566,-133.342
"43","2018_H_03","Nossuk Bay","NOSK","A",55.706493,55.7073,-133.341566,-133.342
"44","2018_H_03","Nossuk Bay","NOSK","A",55.706493,55.7073,-133.341566,-133.342
"45","2018_H_03","Nossuk Bay","NOSK","A",55.706493,55.7073,-133.341566,-133.342
"46","2018_H_03","Nossuk Bay","NOSK","A",55.706493,55.7073,-133.341566,-133.342
"47","2018_H_03","Nossuk Bay","NOSK","A",55.706493,55.7073,-133.341566,-133.342
"48","2018_H_03","Nossuk Bay","NOSK","A",55.706493,55.7073,-133.341566,-133.342
"49","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"50","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"51","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"52","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"53","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"54","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"55","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"56","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"57","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"58","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"59","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"60","Nossuk Photographers point","Nossuk Bay","NOSK","B",55.723781,55.723677,-133.324104,-133.324157
"61","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"62","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"63","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"64","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"65","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"66","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"67","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"68","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"69","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"70","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"71","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
"72","North Fish Egg","North Fish Egg Island","NFEI","A",55.496406,55.49709,-133.169758,-133.17
