"","site","bay_code","bay_sample","place_name","date","YYYYMMDD","latitude","longitude","primary_observer","secondary_observer","start_time","end_time","depth_m","quadrat","macroalgae_cover","diatom_cover","eelgrass_shoots","flowering_shoots","primary_sediment","secondary_sediment","notes"
"1","Guktu","GUKT","A","Guktu Bay","7/2/2019",20190702,55.739816,-133.312022,"WR","LD",540,635,-0.52,1,0,0,69,0,"M","SM",""
"2","Guktu","GUKT","A","Guktu Bay","7/2/2019",20190702,55.739816,-133.312022,"WR","LD",540,635,-0.52,2,0,0,48,0,"M","M",""
"3","Guktu","GUKT","A","Guktu Bay","7/2/2019",20190702,55.739816,-133.312022,"WR","LD",540,635,-0.52,3,0,0,36,2,"M","M",""
"4","Guktu","GUKT","A","Guktu Bay","7/2/2019",20190702,55.739816,-133.312022,"WR","LD",540,635,-0.52,4,0,20,50,0,"M","M",""
"5","Guktu","GUKT","A","Guktu Bay","7/2/2019",20190702,55.739816,-133.312022,"WR","LD",540,635,-0.52,5,0,0,59,0,"M","M",""
"6","Guktu","GUKT","A","Guktu Bay","7/2/2019",20190702,55.739816,-133.312022,"WR","LD",540,635,-0.52,6,0,0,64,0,"M","M",""
"7","Guktu","GUKT","A","Guktu Bay","7/2/2019",20190702,55.739816,-133.312022,"WR","LD",540,635,-0.52,7,0,0,58,0,"M","M",""
"8","Guktu","GUKT","A","Guktu Bay","7/2/2019",20190702,55.739816,-133.312022,"WR","LD",540,635,-0.52,8,0,0,76,0,"M","M",""
"9","Natzuhini","NATZ","C","Natzuhini Bay","7/4/2019",20190704,55.247155,-132.879137,"WR","LD",700,750,-0.6,1,25,50,26,0,"C","M",""
"10","Natzuhini","NATZ","C","Natzuhini Bay","7/4/2019",20190704,55.247155,-132.879137,"WR","LD",700,750,-0.6,2,12,70,35,0,"C","M",""
"11","Natzuhini","NATZ","C","Natzuhini Bay","7/4/2019",20190704,55.247155,-132.879137,"WR","LD",700,750,-0.6,3,0,100,66,0,"C","M",""
"12","Natzuhini","NATZ","C","Natzuhini Bay","7/4/2019",20190704,55.247155,-132.879137,"WR","LD",700,750,-0.6,4,50,50,15,0,"C","M",""
"13","Natzuhini","NATZ","C","Natzuhini Bay","7/4/2019",20190704,55.247155,-132.879137,"WR","LD",700,750,-0.6,5,10,90,43,0,"C","M",""
"14","Natzuhini","NATZ","C","Natzuhini Bay","7/4/2019",20190704,55.247155,-132.879137,"WR","LD",700,750,-0.6,6,4,96,52,0,"C","M",""
"15","Natzuhini","NATZ","C","Natzuhini Bay","7/4/2019",20190704,55.247155,-132.879137,"WR","LD",700,750,-0.6,7,5,70,38,0,"C","M",""
"16","Natzuhini","NATZ","C","Natzuhini Bay","7/4/2019",20190704,55.247155,-132.879137,"WR","LD",700,750,-0.6,8,2,85,43,0,"C","M",""
"17","North Fish Egg","NFEI","A","North Fish Egg Island","7/1/2019",20190701,55.49709,-133.17,"WR","GE",515,600,-0.3,1,0,0,251,1,"SM","SM",""
"18","North Fish Egg","NFEI","A","North Fish Egg Island","7/1/2019",20190701,55.49709,-133.17,"WR","GE",515,600,-0.3,2,0,0,212,0,"SM","SM",""
"19","North Fish Egg","NFEI","A","North Fish Egg Island","7/1/2019",20190701,55.49709,-133.17,"WR","GE",515,600,-0.3,3,0,0,128,0,"SM","SM",""
"20","North Fish Egg","NFEI","A","North Fish Egg Island","7/1/2019",20190701,55.49709,-133.17,"WR","GE",515,600,-0.3,4,0,1,131,0,"SM","SM",""
"21","North Fish Egg","NFEI","A","North Fish Egg Island","7/1/2019",20190701,55.49709,-133.17,"WR","GE",515,600,-0.3,5,0,2,122,2,"SM","SM",""
"22","North Fish Egg","NFEI","A","North Fish Egg Island","7/1/2019",20190701,55.49709,-133.17,"WR","GE",515,600,-0.3,6,0,1,86,0,"SM","SM",""
"23","North Fish Egg","NFEI","A","North Fish Egg Island","7/1/2019",20190701,55.49709,-133.17,"WR","GE",515,600,-0.3,7,0,1,118,1,"SM","SM",""
"24","North Fish Egg","NFEI","A","North Fish Egg Island","7/1/2019",20190701,55.49709,-133.17,"WR","GE",515,600,-0.3,8,0,0,158,3,"SM","SM",""
"25","Nossuk Bay","NOSK","E","Nossuk Bay","7/3/2019",20190703,55.70802,-133.34102,"WR","LD",620,720,-0.6,1,0,100,66,0,"M","M",""
"26","Nossuk Bay","NOSK","E","Nossuk Bay","7/3/2019",20190703,55.70802,-133.34102,"WR","LD",620,720,-0.6,2,0,100,58,0,"M","M",""
"27","Nossuk Bay","NOSK","E","Nossuk Bay","7/3/2019",20190703,55.70802,-133.34102,"WR","LD",620,720,-0.6,3,0,90,38,2,"M","M",""
"28","Nossuk Bay","NOSK","E","Nossuk Bay","7/3/2019",20190703,55.70802,-133.34102,"WR","LD",620,720,-0.6,4,0,90,61,0,"M","M",""
"29","Nossuk Bay","NOSK","E","Nossuk Bay","7/3/2019",20190703,55.70802,-133.34102,"WR","LD",620,720,-0.6,5,0,100,46,1,"M","M",""
"30","Nossuk Bay","NOSK","E","Nossuk Bay","7/3/2019",20190703,55.70802,-133.34102,"WR","LD",620,720,-0.6,6,0,75,82,0,"M","M",""
"31","Nossuk Bay","NOSK","E","Nossuk Bay","7/3/2019",20190703,55.70802,-133.34102,"WR","LD",620,720,-0.6,7,0,100,64,0,"M","M",""
"32","Nossuk Bay","NOSK","E","Nossuk Bay","7/3/2019",20190703,55.70802,-133.34102,"WR","LD",620,720,-0.6,8,0,95,67,2,"M","M",""
"33","Port Refugio","REFU","A","Port Refugio","7/5/2019",20190705,55.282137,-133.334028,"WR","LD",750,840,-0.6,1,50,80,52,0,"SM","SM",""
"34","Port Refugio","REFU","A","Port Refugio","7/5/2019",20190705,55.282137,-133.334028,"WR","LD",750,840,-0.6,2,25,50,88,0,"MS","S",""
"35","Port Refugio","REFU","A","Port Refugio","7/5/2019",20190705,55.282137,-133.334028,"WR","LD",750,840,-0.6,3,30,50,86,0,"SM","SM",""
"36","Port Refugio","REFU","A","Port Refugio","7/5/2019",20190705,55.282137,-133.334028,"WR","LD",750,840,-0.6,4,10,90,130,0,"SM","SM",""
"37","Port Refugio","REFU","A","Port Refugio","7/5/2019",20190705,55.282137,-133.334028,"WR","LD",750,840,-0.6,5,12,95,110,0,"SM","SM",""
"38","Port Refugio","REFU","A","Port Refugio","7/5/2019",20190705,55.282137,-133.334028,"WR","LD",750,840,-0.6,6,5,50,106,0,"SM","C",""
"39","Port Refugio","REFU","A","Port Refugio","7/5/2019",20190705,55.282137,-133.334028,"WR","LD",750,840,-0.6,7,15,98,139,0,"SM","C","occasional cobble"
"40","Port Refugio","REFU","A","Port Refugio","7/5/2019",20190705,55.282137,-133.334028,"WR","LD",750,840,-0.6,8,8,90,146,0,"MS","MS",""
"41","Shinaku Inlet","SHIN","A","Shinaku Inlet","7/6/19",20190706,55.59929,-133.16,"WR","AW",850,935,-0.43,1,0,100,66,1,"M","M",""
"42","Shinaku Inlet","SHIN","A","Shinaku Inlet","7/6/19",20190706,55.59929,-133.16,"WR","AW",850,935,-0.43,2,0,95,52,0,"M","M",""
"43","Shinaku Inlet","SHIN","A","Shinaku Inlet","7/6/19",20190706,55.59929,-133.16,"WR","AW",850,935,-0.43,3,0,100,32,0,"M","M",""
"44","Shinaku Inlet","SHIN","A","Shinaku Inlet","7/6/19",20190706,55.59929,-133.16,"WR","AW",850,935,-0.43,4,0,100,45,1,"M","M",""
"45","Shinaku Inlet","SHIN","A","Shinaku Inlet","7/6/19",20190706,55.59929,-133.16,"WR","AW",850,935,-0.43,5,0,100,39,0,"M","M",""
"46","Shinaku Inlet","SHIN","A","Shinaku Inlet","7/6/19",20190706,55.59929,-133.16,"WR","AW",850,935,-0.43,6,0,100,53,1,"M","M",""
"47","Shinaku Inlet","SHIN","A","Shinaku Inlet","7/6/19",20190706,55.59929,-133.16,"WR","AW",850,935,-0.43,7,0,100,78,0,"M","M",""
"48","Shinaku Inlet","SHIN","A","Shinaku Inlet","7/6/19",20190706,55.59929,-133.16,"WR","AW",850,935,-0.43,8,0,100,43,0,"M","M",""
