site,bay_code,bay_sample,date,YYYYMMDD,primary_observer,secondary_observer,start_time,end_time,depth_m,quadrat,macroalgae_cover_0.25msq,diatom_cover_0.25msq,eelgrass_shoots_0.25msq,flowering_shoots_0.25msq,primary_sed,secondary_sed,notes,,,
Guktu Bay,GUKT,A,7/24/20,20200724,LD,SJ,840,920,-0.7,1,0,NA,45,0,M,M,secondary observer = data recorder,,,
Guktu Bay,GUKT,A,7/24/20,20200724,LD,SJ,840,920,-0.7,2,0,NA,53,0,M,M,cannot reliably determine diatom,,,
Guktu Bay,GUKT,A,7/24/20,20200724,LD,SJ,840,920,-0.7,3,0,NA,46,0,M,M,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,LD,SJ,840,920,-0.7,4,0,NA,90,0,M,M,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,LD,SJ,840,920,-0.7,5,0,NA,67,0,M,M,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,LD,SJ,840,920,-0.7,6,0,NA,60,0,M,M,sea otter pit,,,
Guktu Bay,GUKT,A,7/24/20,20200724,LD,SJ,840,920,-0.7,7,0,NA,53,0,M,M,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,GE,SJ,840,920,-0.7,8,0,NA,73,3,M,M,,,,
Nossuk Bay,NOSK,A,8/2/20,20200802,BC,SJ,645,730,,1,0,NA,71,2,M,M,cannot reliably determine diatom,,,
Nossuk Bay,NOSK,A,8/2/20,20200802,BC,SJ,645,730,,2,0,NA,55,2,M,SM,cannot reliably determine diatom,,,
Nossuk Bay,NOSK,A,8/2/20,20200802,LD,SJ,645,730,,3,0,NA,37,0,M,SM,cannot reliably determine diatom,,,
Nossuk Bay,NOSK,A,8/2/20,20200802,LD,SJ,645,730,,4,0,NA,24,0,S,M,cannot reliably determine diatom,,,
Nossuk Bay,NOSK,A,8/2/20,20200802,LD,SJ,645,730,,5,0,NA,26,0,M,SM,cannot reliably determine diatom,,,
Nossuk Bay,NOSK,A,8/2/20,20200802,LD,SJ,645,730,,6,0,NA,86,1,M,SM,cannot reliably determine diatom,,,
Nossuk Bay,NOSK,A,8/2/20,20200802,LD,SJ,645,730,,7,0,NA,89,1,M,M,cannot reliably determine diatom,,,
Nossuk Bay,NOSK,A,8/2/20,20200802,LD,SJ,645,730,,8,0,NA,112,0,M,M,cannot reliably determine diatom,,,
Natzuhini Bay,NATZ,A,7/21/20,20200721,BC,LD,745,830,-0.8,1,90,90,6,0,G,S,,,,
Natzuhini Bay,NATZ,A,7/21/20,20200721,BC,LD,745,830,-0.8,2,95,95,0,0,G,S,some cobble,,,
Natzuhini Bay,NATZ,A,7/21/20,20200721,BC,LD,745,830,-0.8,3,25,95,17,0,G,S,,,,
Natzuhini Bay,NATZ,A,7/21/20,20200721,BC,LD,745,830,-0.8,4,15,90,28,0,C,S,cobble,,,
Natzuhini Bay,NATZ,A,7/21/20,20200721,BC,LD,745,830,-0.8,5,10,95,10,0,C,S,,,,
Natzuhini Bay,NATZ,A,7/21/20,20200721,BC,LD,745,830,-0.8,6,15,95,31,0,C,S,crab,,,
Natzuhini Bay,NATZ,A,7/21/20,20200721,BC,LD,745,830,-0.8,7,15,95,0,0,C,S,,,,
Natzuhini Bay,NATZ,A,7/21/20,20200721,BC,LD,745,830,-0.8,8,10,95,28,0,G,S,"lots of crab/cobble at site, lots of jellyfish",,,
Port Refugio,REFU,A,7/23/20,20200723,BC,LD,900,945,-0.8,1,55,0,84,1,SM,SM,lots of macroalgae,,,
Port Refugio,REFU,A,7/23/20,20200723,BC,LD,900,945,-0.8,2,10,0,159,0,MS,S,transect seems slightly deeper,,,
Port Refugio,REFU,A,7/23/20,20200723,BC,LD,900,945,-0.8,3,5,0,312,0,MS,S,,,,
Port Refugio,REFU,A,7/23/20,20200723,BC,LD,900,945,-0.8,4,20,90,59,0,MS,S,,,,
Port Refugio,REFU,A,7/23/20,20200723,BC,LD,900,945,-0.8,5,60,90,52,0,G,S,,,,
Port Refugio,REFU,A,7/23/20,20200723,BC,LD,900,945,-0.8,6,30,0,136,0,G,S,,,,
Port Refugio,REFU,A,7/23/20,20200723,BC,LD,900,945,-0.8,7,90,0,35,0,G,S,,,,
Port Refugio,REFU,A,7/23/20,20200723,BC,LD,900,945,-0.8,8,40,0,84,0,MS,S,,,,
Shinaku,SHIN,A,7/19/20,20200719,BC,LD,600,645,-0.3,1,15,90,88,0,MS,SM,density + flowering = total number of shoots,,,
Shinaku,SHIN,A,7/19/20,20200719,BC,LD,600,645,-0.3,2,10,90,59,0,MS,SM,epifauna sampled on a rising tide @ 0800-0820,,,
Shinaku,SHIN,A,7/19/20,20200719,BC,LD,600,645,-0.3,3,5,90,36,0,MS,SM,,,,
Shinaku,SHIN,A,7/19/20,20200719,BC,LD,600,645,-0.3,4,5,90,42,0,M,SM,,,,
Shinaku,SHIN,A,7/19/20,20200719,BC,LD,600,645,-0.3,5,1,90,57,0,M,SM,,,,
