bay_code,bay_sample,site_code,place_name,latitude_N,longitude_E,so_region,year,date_MMDDYY,date_YYYYMMDD,trans_loc,bin_loc_transect_m,bin_area_m2,pit_count_bin,pit_count_m2,sed1_type,sed2_type,sed1_no,sed2_no,sed_avg_no,field_collector,notes,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Edge ,Shells collected along entire transect,20,1,0.05,Sand ,Sand ,4,4,4,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Edge ,Shells collected along entire transect,20,2,0.1,Sand ,Sand ,4,4,4,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Edge ,Shells collected along entire transect,20,2,0.1,Sand ,Sand ,4,4,4,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Edge ,Shells collected along entire transect,20,2,0.1,Sand ,Sand ,4,4,4,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Edge ,Shells collected along entire transect,20,0,0,Sand ,Cobble ,4,8,6,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Inside ,Shells collected along entire transect,20,4,0.2,Sand ,Muddy Sand ,4,3,3.5,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Inside ,Shells collected along entire transect,20,2,0.1,Sand ,Muddy Sand ,4,3,3.5,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Inside ,Shells collected along entire transect,20,1,0.05,Sand ,Muddy Sand ,4,3,3.5,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Outside ,Shells collected along entire transect,20,0,0,Sand ,Sand ,4,4,4,"Ginny, Annie ","Stream at 50m, Lots of cobble ",,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Outside ,Shells collected along entire transect,20,1,0.05,Sand ,Sand ,4,4,4,"Ginny, Annie ","Stream at 50m, Lots of cobble ",,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Outside ,Shells collected along entire transect,20,0,0,Sand ,Sand ,4,4,4,"Ginny, Annie ","Stream at 50m, Lots of cobble ",,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Outside ,Shells collected along entire transect,20,0,0,Sand ,Sand ,4,4,4,"Ginny, Annie ","Stream at 50m, Lots of cobble ",,,,,,
BAKE,A,,Baker Island 1,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Outside ,Shells collected along entire transect,20,0,0,Sand ,Sand ,4,4,4,"Ginny, Annie ","Stream at 50m, Lots of cobble ",,,,,,
BAKE,A,,Baker Island 1 ,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Inside ,Shells collected along entire transect,20,3,0.15,Sand ,Muddy Sand ,4,3,3.5,"Ginny, Annie ",NA,,,,,,
BAKE,A,,Baker Island 1 ,55.3575,-133.5869444,moderate,2019,6/18/19,20190618,Inside ,Shells collected along entire transect,20,3,0.15,Sand ,Muddy Sand ,4,3,3.5,"Ginny, Annie ",NA,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Inside,10,40,0,0,sand,sand,4,4,4,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Inside,20,40,0,0,sand,sand,4,4,4,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Inside,30,40,0,0,sand,sand,4,4,4,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Inside,40,40,0,0,sand,sand,4,4,4,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Inside,50,40,0,0,sand,sand,4,4,4,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Edge,10,40,0,0,sand,gravel,4,7,5.5,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Edge,20,40,0,0,sand,gravel,4,7,5.5,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Edge,30,40,0,0,sand,gravel,4,7,5.5,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Edge,40,40,1,0.025,sand,gravel,4,7,5.5,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Edge,50,40,2,0.05,sand,gravel,4,7,5.5,Wendel,,,,,,,
BCLB,A,L_10_a,Big Clam Bay a,55.227691,-132.973932,low,2018,7/13/18,20180713,Outside,10,40,0,0,gravel,sand,7,4,5.5,Wendel,,,,,,,
