"","bay_code","bay_sample","site_code","place_name","latitude","longitude","date_YYYYMMDD","year","trans_loc","bin_loc_transect_m","trans_bin","bin_area_m2","pit_count_bin","pit_count_m2","sed1_type","sed2_type","sed1_no","sed2_no","sed_avg_no","field_collector","notes"
"1","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"edge","10",1,20,0,0,"mud","pebble",1,6,3.5,"Lia Jessica","some clean smaller half shells"
"2","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"edge","20",2,20,0,0,"mud","pebble",1,6,3.5,"Lia Jessica","some clean smaller half shells"
"3","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"edge","30",3,20,0,0,"sandy mud","mud",2,1,1.5,"Lia Jessica","some clean smaller half shells"
"4","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"edge","40",4,20,0,0,"sandy mud","muddy sand",2,3,2.5,"Lia Jessica","some clean smaller half shells"
"5","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"edge","50",5,20,0,0,"muddy sand","course sand",3,5,4,"Lia Jessica","some clean smaller half shells"
"6","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"outside","10",1,20,0,0,"mud","sandy mud",1,2,1.5,"Ginny",""
"7","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"outside","20",2,20,0,0,"mud","sand",1,4,2.5,"Ginny",""
"8","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"outside","30",3,20,0,0,"mud","sand",1,4,2.5,"Ginny",""
"9","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"outside","40",4,20,0,0,"muddy sand","sand",3,4,3.5,"Ginny",""
"10","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"outside","50",5,20,0,0,"muddy sand","sand",3,4,3.5,"Ginny",""
"11","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"inside","10",1,20,2,0.1,"mud","mud",1,1,1,"Emily",""
"12","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"inside","20",2,20,3,0.15,"mud","sandy mud",1,2,1.5,"Emily",""
"13","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"inside","30",3,20,1,0.05,"sandy mud","muddy sand",2,3,2.5,"Emily",""
"14","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"inside","40",4,20,0,0,"muddy sand","sandy mud",3,2,2.5,"Emily",""
"15","REFU","A","","Port Refugio",55.282137,-133.334028,2022-07-16,2022,"inside","50",5,20,0,0,"sand","muddy sand",4,3,3.5,"Emily",""
"16","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"inside","10",1,20,7,0.35,"sand","muddy sand",4,3,3.5,"Sue",""
"17","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"inside","20",2,20,8,0.4,"sand","muddy sand",4,3,3.5,"Sue",""
"18","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"inside","30",3,20,9,0.45,"sand","muddy sand",4,3,3.5,"Sue",""
"19","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"inside","40",4,20,7,0.35,"sand","muddy sand",4,3,3.5,"Sue",""
"20","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"inside","50",5,20,9,0.45,"sand","muddy sand",4,3,3.5,"Sue",""
"21","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"edge","10",1,20,3,0.15,"muddy sand","muddy sand",3,3,3,"Sue",""
"22","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"edge","20",2,20,0,0,"muddy sand","sandy mud",3,2,2.5,"Sue",""
"23","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"edge","30",3,20,1,0.05,"muddy sand","muddy sand",3,3,3,"Sue",""
"24","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"edge","40",4,20,0,0,"sand","muddy sand",4,3,3.5,"Sue",""
"25","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"edge","50",5,20,0,0,"muddy sand","muddy sand",3,3,3,"Sue",""
"26","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"outside","10",1,20,1,0.05,"sand","muddy sand",4,3,3.5,"Sue",""
"27","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"outside","20",2,20,2,0.1,"muddy sand","muddy sand",3,3,3,"Sue",""
"28","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"outside","30",3,20,1,0.05,"muddy sand","muddy sand",3,3,3,"Sue",""
"29","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"outside","40",4,20,0,0,"muddy sand","muddy sand",3,3,3,"Sue",""
"30","NFEI","A","","North Fish Egg",55.49709,-133.17,2022-07-17,2022,"outside","50",5,20,0,0,"muddy sand","muddy sand",3,3,3,"Sue",""
"31","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"inside","10",1,20,1,0.05,"pebble","mud",6,1,3.5,"Sue",""
"32","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"inside","20",2,20,0,0,"pebble","mud",6,1,3.5,"Sue",""
"33","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"inside","30",3,20,2,0.1,"pebble","mud",6,1,3.5,"Sue",""
