site,otter_region,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
Nossuk Bay 1,high,5/19/18,20180519,Outside,1,10,12,sand,cobble,4,8,Tiff,Shell hash moderate; freshwater seep and tiny stream input
Nossuk Bay 1,high,5/19/18,20180519,Outside,2,20,17,sand,cobble,4,8,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Outside,3,30,20,sand,gravel,4,7,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Outside,4,40,12,muddy sand,pebble,3,6,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Outside,5,50,20,muddy sand,pebble,3,6,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Edge,1,10,5,muddy sand,sand,3,4,Tiff,Shell hash moderate; freshwater seep and tiny stream input
Nossuk Bay 1,high,5/19/18,20180519,Edge,2,20,2,sandy mud,sand,2,4,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Edge,3,30,4,muddy sand,sand,3,4,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Edge,4,40,1,sandy mud,cobble,2,8,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Edge,5,50,4,muddy sand,cobble,3,8,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Inside,1,10,0,sandy mud,mud,2,1,Tiff,Shell hash moderate; freshwater seep and tiny stream input
Nossuk Bay 1,high,5/19/18,20180519,Inside,2,20,1,sandy mud,mud,2,1,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Inside,3,30,0,sandy mud,sandy mud,2,2,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Inside,4,40,0,sandy mud,sandy mud,2,2,Tiff,
Nossuk Bay 1,high,5/19/18,20180519,Inside,5,50,0,sandy mud,sandy mud,2,2,Tiff,
Nossuk Bay 2,high,6/30/18,20180630,Edge,1,10,2,muddy sand,sandy mud,3,2,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Edge,2,20,2,muddy sand,sandy mud,3,2,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Edge,3,30,2,muddy sand,sandy mud,3,2,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Edge,4,40,1,muddy sand,sandy mud,3,2,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Edge,5,50,3,muddy sand,sandy mud,3,2,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Outside,1,10,5,muddy sand,gravel,3,7,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Outside,2,20,14,muddy sand,gravel,3,7,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Outside,3,30,12,muddy sand,gravel,3,7,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Outside,4,40,14,muddy sand,gravel,3,7,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Outside,5,50,23,muddy sand,gravel,3,7,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Inside,1,10,0,mud,mud,1,1,"Lia, Ginny",Done on snorkel.
Nossuk Bay 2,high,6/30/18,20180630,Inside,2,20,1,mud,mud,1,1,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Inside,3,30,0,mud,mud,1,1,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Inside,4,40,0,mud,mud,1,1,"Lia, Ginny",
Nossuk Bay 2,high,6/30/18,20180630,Inside,5,50,1,mud,mud,1,1,"Lia, Ginny",
N Fish Egg Island,mid,6/19/2018,20180619,Edge,1,10,1,sand,muddy sand,4,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Edge,2,20,3,sand,muddy sand,4,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Edge,3,30,0,sand,muddy sand,4,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Edge,4,40,0,muddy sand,muddy sand,3,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Edge,5,50,0,muddy sand,muddy sand,3,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Outside,1,10,1,sand,muddy sand,4,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Outside,2,20,0,sand,muddy sand,4,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Outside,3,30,1,muddy sand,sand,3,4,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Outside,4,40,0,muddy sand,sand,3,4,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Outside,5,50,0,sand,muddy sand,4,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Inside,1,10,4,muddy sand,muddy sand,3,3,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,6/19/2018,20180619,Inside,2,20,0,muddy sand,sand,3,4,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,7/1/18,20180619,Inside,3,30,1,muddy sand,sand,3,4,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,7/2/18,20180619,Inside,4,40,1,muddy sand,sand,3,4,"Lia, Ginny, Tiff",
N Fish Egg Island,mid,7/3/18,20180619,Inside,5,50,0,muddy sand,sand,3,4,"Lia, Ginny, Tiff",
Goat Mouth Inlet,low,6/14/18,20180614,Inside,1,10,4,muddy sand,sand,3,4,"Lia, Liz","Less dense seagrass than south pass. Pits when present were small, diameter of about 15 cm."
Goat Mouth Inlet,low,6/14/18,20180614,Inside,2,20,5,muddy sand,sand,3,4,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Inside,3,30,2,muddy sand,pebble,3,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Inside,4,40,2,muddy sand,pebble,3,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Inside,5,50,2,muddy sand,pebble,3,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Edge,1,10,3,muddy sand,pebble,3,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Edge,2,20,4,muddy sand,pebble,3,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Edge,3,30,1,sand,pebble,4,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Edge,4,40,4,sand,pebble,4,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Edge,5,50,6,muddy sand,pebble,3,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Outside,1,10,1,course sand,gravel,5,7,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Outside,2,20,3,course sand,pebble,5,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Outside,3,30,6,course sand,pebble,5,6,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Outside,4,40,5,course sand,gravel,5,7,"Lia, Liz",
Goat Mouth Inlet,low,6/14/18,20180614,Outside,5,50,4,course sand,gravel,5,7,"Lia, Liz",
