"","site","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","sedno_avg","field_collector","date","place_name","bay_code","bay_sample","latitude","longitude"
"1","2017_H_04",20170707,"Edge",1,10,0,"Sandy mud","Mud",2,1,1.5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"2","2017_H_04",20170707,"Edge",2,20,0,"Sandy mud","Mud",2,1,1.5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"3","2017_H_04",20170707,"Edge",3,30,6,"Sand","Pebble",4,6,5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"4","2017_H_04",20170707,"Edge",4,40,9,"Sandy mud","Sand",2,4,3,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"5","2017_H_04",20170707,"Edge",5,50,0,"Sandy mud","Muddy sand",2,3,2.5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"6","2017_H_04",20170707,"Edge",6,60,1,"Sandy mud","Cobble",2,8,5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"7","2017_H_04",20170707,"Edge",7,70,1,"Sandy mud","Cobble",2,8,5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"8","2017_H_04",20170707,"Edge",8,80,2,"Sandy mud","Sandy mud",2,2,2,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"9","2017_H_04",20170707,"Edge",9,90,4,"Sandy mud","Sandy mud",2,2,2,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"10","2017_H_04",20170707,"Edge",10,100,2,"Sandy mud","Sandy mud",2,2,2,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"11","2017_H_04",20170707,"Inside",1,10,0,"Sandy mud","Sandy mud",2,2,2,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
