site,bay_code,bay_sample,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
Natzuhini,NATZ,C,07/09/2021,20210709,Inside,1,10,0,Muddy sand,Gravel,3,7,Ginny/Carter,small pits ~10 cm from crabs
Natzuhini,NATZ,C,07/09/2021,20210709,Inside,2,20,0,Muddy sand,Gravel,3,7,Ginny/Carter,small pits ~10 cm from crabs
Natzuhini,NATZ,C,07/09/2021,20210709,Inside,3,30,0,Muddy sand,Gravel,3,7,Ginny/Carter,small pits ~10 cm from crabs
Natzuhini,NATZ,C,07/09/2021,20210709,Inside,4,40,0,Muddy sand,Cobble,3,8,Ginny/Carter,small pits ~10 cm from crabs
Natzuhini,NATZ,C,07/09/2021,20210709,Inside,5,50,0,Muddy sand,Cobble,3,8,Ginny/Carter,small pits ~10 cm from crabs
Natzuhini,NATZ,C,07/09/2021,20210709,Edge,1,10,0,Muddy sand,Gravel,3,7,Ginny/Carter,live cockle on transect
Natzuhini,NATZ,C,07/09/2021,20210709,Edge,2,20,0,Muddy sand,Gravel,3,7,Ginny/Carter,live cockle on transect
Natzuhini,NATZ,C,07/09/2021,20210709,Edge,3,30,0,Muddy sand,Gravel,3,7,Ginny/Carter,live cockle on transect
Natzuhini,NATZ,C,07/09/2021,20210709,Edge,4,40,0,Muddy sand,Gravel,3,7,Ginny/Carter,live cockle on transect
Natzuhini,NATZ,C,07/09/2021,20210709,Edge,5,50,0,Muddy sand,Cobble,3,8,Ginny/Carter,live cockle on transect
Natzuhini,NATZ,C,07/09/2021,20210709,Outside,1,10,0,Sand,Gravel,4,7,Ginny/Carter,live cockles
Natzuhini,NATZ,C,07/09/2021,20210709,Outside,2,20,0,Sand,Gravel,4,7,Ginny/Carter,live cockles
Natzuhini,NATZ,C,07/09/2021,20210709,Outside,3,30,0,Sand,Gravel,4,7,Ginny/Carter,live cockles
Natzuhini,NATZ,C,07/09/2021,20210709,Outside,4,40,0,Sand,Cobble,4,8,Ginny/Carter,live cockles
Natzuhini,NATZ,C,07/09/2021,20210709,Outside,5,50,0,Sand,Cobble,4,8,Ginny/Carter,live cockles
Port Refugio,REFU,A,07/10/2021,20210710,Inside,1,10,0,Sandy mud,Gravel,2,7,Carter,
Port Refugio,REFU,A,07/10/2021,20210710,Inside,2,20,0,Sandy mud,Gravel,2,7,Carter,
Port Refugio,REFU,A,07/10/2021,20210710,Inside,3,30,0,Sandy mud,Gravel,2,7,Carter,
Port Refugio,REFU,A,07/10/2021,20210710,Inside,4,40,0,Sandy mud,Gravel,2,7,Carter,
Port Refugio,REFU,A,07/10/2021,20210710,Inside,5,50,0,Sandy mud,Gravel,2,7,Carter,
Port Refugio,REFU,A,07/10/2021,20210710,Edge,1,10,0,Sand,Gravel,4,7,Ginny ,
Port Refugio,REFU,A,07/10/2021,20210710,Edge,2,20,0,Sand,Gravel,4,7,Ginny ,
Port Refugio,REFU,A,07/10/2021,20210710,Edge,3,30,0,Sand,Gravel,4,7,Ginny ,
