site,bay_code,bay_sample,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
Port Refugio,REFU,A,7/16/2022,20220716,Edge,1,10,0,Mud,Pebble,1,6,Lia Jessica,some clean smaller half shells
Port Refugio,REFU,A,7/16/2022,20220716,Edge,2,20,0,Mud,Pebble,1,6,Lia Jessica,some clean smaller half shells
Port Refugio,REFU,A,7/16/2022,20220716,Edge,3,30,0,Sandy mud,Mud,2,1,Lia Jessica,some clean smaller half shells
Port Refugio,REFU,A,7/16/2022,20220716,Edge,4,40,0,Sandy mud,Muddy sand,2,3,Lia Jessica,some clean smaller half shells
Port Refugio,REFU,A,7/16/2022,20220716,Edge,5,50,0,Muddy sand,Course sand,3,5,Lia Jessica,some clean smaller half shells
Port Refugio,REFU,A,7/16/2022,20220716,Outside,1,10,0,Mud,Sandy mud,1,2,Ginny,
Port Refugio,REFU,A,7/16/2022,20220716,Outside,2,20,0,Mud,Sand,1,4,Ginny,
Port Refugio,REFU,A,7/16/2022,20220716,Outside,3,30,0,Mud,Sand,1,4,Ginny,
Port Refugio,REFU,A,7/16/2022,20220716,Outside,4,40,0,Muddy sand,Sand,3,4,Ginny,
Port Refugio,REFU,A,7/16/2022,20220716,Outside,5,50,0,Muddy sand,Sand,3,4,Ginny,
Port Refugio,REFU,A,7/16/2022,20220716,Inside,1,10,2,Mud,Mud,1,1,Emily,
Port Refugio,REFU,A,7/16/2022,20220716,Inside,2,20,3,Mud,Sandy mud,1,2,Emily,
Port Refugio,REFU,A,7/16/2022,20220716,Inside,3,30,1,Sandy mud,Muddy sand,2,3,Emily,
Port Refugio,REFU,A,7/16/2022,20220716,Inside,4,40,0,Muddy sand,Sandy mud,3,2,Emily,
Port Refugio,REFU,A,7/16/2022,20220716,Inside,5,50,0,Sand,Muddy sand,4,3,Emily,
North Fish Egg,NFEI,A,7/17/2022,20220717,Inside,1,10,7,Sand,Muddy sand,4,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Inside,2,20,8,Sand,Muddy sand,4,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Inside,3,30,9,Sand,Muddy sand,4,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Inside,4,40,7,Sand,Muddy sand,4,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Inside,5,50,9,Sand,Muddy sand,4,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Edge,1,10,3,Muddy sand,Muddy sand,3,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Edge,2,20,0,Muddy sand,Sandy mud,3,2,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Edge,3,30,1,Muddy sand,Muddy sand,3,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Edge,4,40,0,Sand,Muddy sand,4,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Edge,5,50,0,Muddy sand,Muddy sand,3,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Outside,1,10,1,Sand,Muddy sand,4,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Outside,2,20,2,Muddy sand,Muddy sand,3,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Outside,3,30,1,Muddy sand,Muddy sand,3,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Outside,4,40,0,Muddy sand,Muddy sand,3,3,Sue,
North Fish Egg,NFEI,A,7/17/2022,20220717,Outside,5,50,0,Muddy sand,Muddy sand,3,3,Sue,
Natzuhini,NATZ,C,7/15/2022,20220715,Inside,1,10,1,Pebble,Mud,6,1,Sue,
Natzuhini,NATZ,C,7/15/2022,20220715,Inside,2,20,0,Pebble,Mud,6,1,Sue,
Natzuhini,NATZ,C,7/15/2022,20220715,Inside,3,30,2,Pebble,Mud,6,1,Sue,
