site,bay_code,bay_sample,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Inside,1,10,0,sand,sandy mud,4,2,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Inside,2,20,0,sand,sandy mud,4,2,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Inside,3,30,0,sandy mud,mud,2,1,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Inside,4,40,0,sandy mud,mud,2,1,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Inside,5,50,0,sandy mud,mud,2,1,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Edge,1,10,0,cobble,muddy sand,8,3,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Edge,2,20,1,cobble,muddy sand,8,3,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Edge,3,30,0,cobble,muddy sand,8,3,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Edge,4,40,0,muddy sand,muddy sand,3,3,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Edge,5,50,0,muddy sand,muddy sand,3,3,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Outside,1,10,0,coarse sand,coarse sand,5,5,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Outside,2,20,0,coarse sand,coarse sand,5,5,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Outside,3,30,0,sand,coarse sand,4,5,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Outside,4,40,0,sand,coarse sand,4,5,Becca Cates,,,,,,,
Natzuhini Bay,NATZ,C,8/5/20,20200805,Outside,5,50,0,coarse sand,coarse sand,5,5,Becca Cates,,,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Inside,1,10,0,sandy mud,mud,2,1,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Inside,2,20,0,sandy mud,mud,2,1,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Inside,3,30,0,sandy mud,mud,2,1,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Inside,4,40,0,sandy mud,mud,2,1,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Inside,5,50,0,sandy mud,mud,2,1,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Edge,1,10,1,sandy mud,muddy sand,2,3,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,live cockles on transect,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Edge,2,20,0,sandy mud,muddy sand,2,3,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Edge,3,30,1,sandy mud,muddy sand,2,3,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Edge,4,40,0,sandy mud,muddy sand,2,3,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Edge,5,50,0,sandy mud,muddy sand,2,3,Ginny Eckert,clam shells collected for 50m x 1 (half of normal transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Outside,1,10,3,sand,pebble,4,6,Ginny Eckert,clam shells collected 50m x 2 (full transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Outside,2,20,0,sand,coarse sand,4,5,Ginny Eckert,clam shells collected 50m x 2 (full transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Outside,3,30,1,sand,coarse sand,4,5,Ginny Eckert,clam shells collected 50m x 2 (full transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Outside,4,40,0,sand,coarse sand,4,5,Ginny Eckert,clam shells collected 50m x 2 (full transect),,,,,,
Shinaku Inlet,SHIN,A,7/25/20,20200725,Outside,5,50,0,sand,coarse sand,4,5,Ginny Eckert,clam shells collected 50m x 2 (full transect),,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Inside,1,10,2,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,collected shells,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Inside,2,20,2,muddy sand,sand ,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Inside,3,30,2,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Inside,4,40,1,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Inside,5,50,2,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Edge,1,10,13,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,collected shells,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Edge,2,20,33,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Edge,3,30,24,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Edge,4,40,11,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Edge,5,50,6,sandy mud,muddy sand,2,3,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Outside,1,10,24,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,90 mm butter otter cracked,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Outside,2,20,20,muddy sand,sand,3,4,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Outside,3,30,18,muddy sand,pebble,3,6,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Outside,4,40,24,muddy sand,pebble,3,6,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Guktu Bay,GUKT,A,7/24/20,20200724,Outside,5,50,5,sandy mud,sandy mud,2,2,"Ginny Eckert, Lia Domke, Becca Cates, Mark Yeats",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Outside,1,10,0,mud,sandy mud,1,2,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Outside,2,20,0,mud,sandy mud,1,2,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Outside,3,30,2,sandy mud,muddy sand,2,3,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Outside,4,40,1,sandy mud,muddy sand,2,3,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Outside,5,50,2,mud,sandy mud,1,2,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Edge,1,10,1,sandy mud,muddy sand,2,3,Ginny Eckert,,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Edge,2,20,1,mud,muddy sand,1,3,Ginny Eckert,,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Edge,3,30,0,muddy sand,sand,3,4,Ginny Eckert,,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Edge,4,40,1,sandy mud,muddy sand,2,3,Ginny Eckert,,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Edge,5,50,0,mud,sandy mud,1,2,Ginny Eckert,,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Inside,1,10,2,mud,sandy mud,1,2,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Inside,2,20,0,sandy mud,sand,2,4,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Inside,3,30,4,mud,sandy mud,1,2,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Inside,4,40,2,mud,mud,1,1,"Becca Cates, Adri Penix",,,,,,,
Nossuk Bay,NOSK,A,8/3/20,20200803,Inside,5,50,3,mud,mud,1,1,"Becca Cates, Adri Penix",,,,,,,
Port Refugio,REFU,A,7/22/20,20200722,Inside,1,10,0,sandy mud,muddy sand,2,3,Ginny Eckert,no clam shells,,,,,,
Port Refugio,REFU,A,7/22/20,20200722,Inside,2,20,0,sandy mud,muddy sand,2,3,Ginny Eckert,no clam shells,,,,,,
