site,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,QA/QV,same?,Sex,Notes:
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,,,F,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,310,,310,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,282,,282,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,168,,168,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,132,,132,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,276,,276,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,127,,127,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,,69,69,,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,131,,131,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,135,,135,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,122,,122,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,158,,158,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,119,,119,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,139,,139,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,246,,246,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,153,,153,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,126,,126,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,250,,250,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,132,,132,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,120,,120,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,145,,145,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,144,,144,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,140,MATCH,,
