"sp_code","date","start_time","end_time","slope","tide_time","species_common","species_scientific","fork_length","taxon","mass_g","tide_height","julian","year","place_name","bay_code","bay_sample","habitat","latitude","longitude"
"COCKSSL",2018-07-30,855,910,"",905,"Slender cockscomb","Anoplarchus insignis",27,"Vertebrata",0.0862590251124776,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"COCKSSL",2018-07-30,855,910,"",905,"Slender cockscomb","Anoplarchus insignis",25,"Vertebrata",0.0678457157332325,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"COCKSSL",2018-07-28,810,820,"",815,"Slender cockscomb","Anoplarchus insignis",29,"Vertebrata",0.10780312609137,-0.29,209,2018,"Sukkwan","SUKK","A","eelgrass",55.189095,-132.84324
"COCKSSL",2018-07-30,855,910,"",905,"Slender cockscomb","Anoplarchus insignis",24,"Vertebrata",0.0597322226800866,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"COCKSSL",2018-07-30,855,910,"",905,"Slender cockscomb","Anoplarchus insignis",26,"Vertebrata",0.076677235577757,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"COCKSSL",2018-07-28,810,820,"",815,"Slender cockscomb","Anoplarchus insignis",33,"Vertebrata",0.161329242168027,-0.29,209,2018,"Sukkwan","SUKK","A","eelgrass",55.189095,-132.84324
"COCKSSL",2018-07-31,915,927,"",935,"Slender cockscomb","Anoplarchus insignis",47,"Vertebrata",0.486289528816444,0,212,2018,"Nossuk Bay","NOSK","A","eelgrass",55.7073,-133.342
"COCKSSL",2018-07-28,810,820,"",815,"Slender cockscomb","Anoplarchus insignis",28,"Vertebrata",0.0966234764607027,-0.29,209,2018,"Sukkwan","SUKK","A","eelgrass",55.189095,-132.84324
"COCKSSL",2018-07-27,740,750,"",735,"Slender cockscomb","Anoplarchus insignis",33,"Vertebrata",0.161329242168027,-0.26,208,2018,"Natzuhini Bay","NATZ","A","eelgrass",55.25051,-132.883
"CODPAC",2018-07-29,800,815,"",834,"Pacific cod","Gadus macrocephalus",98,"Vertebrata",11.6282238223714,-0.17,210,2018,"Kaguk Cove","KAGK","B","eelgrass",55.734934,-133.295111
"CODPAC",2018-06-27,643,653,"very gentle",NA,"Pacific cod","Gadus macrocephalus",51,"Vertebrata",1.52002770866793,-3.6,178,2018,"North Fish Egg Island","NFEI","A","eelgrass",55.49709,-133.17
"CODPAC",2018-07-29,800,815,"",834,"Pacific cod","Gadus macrocephalus",95,"Vertebrata",10.5547919366688,-0.17,210,2018,"Kaguk Cove","KAGK","B","eelgrass",55.734934,-133.295111
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",130,"Vertebrata",28.0420400806097,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-06-27,643,653,"very gentle",NA,"Pacific cod","Gadus macrocephalus",72,"Vertebrata",4.45041049238693,-3.6,178,2018,"North Fish Egg Island","NFEI","A","eelgrass",55.49709,-133.17
"CODPAC",2018-06-27,643,653,"very gentle",NA,"Pacific cod","Gadus macrocephalus",50,"Vertebrata",1.42909050489467,-3.6,178,2018,"North Fish Egg Island","NFEI","A","eelgrass",55.49709,-133.17
"CODPAC",2018-06-27,643,653,"very gentle",NA,"Pacific cod","Gadus macrocephalus",49,"Vertebrata",1.34192016252825,-3.6,178,2018,"North Fish Egg Island","NFEI","A","eelgrass",55.49709,-133.17
"CODPAC",2018-06-27,643,653,"very gentle",NA,"Pacific cod","Gadus macrocephalus",51,"Vertebrata",1.52002770866793,-3.6,178,2018,"North Fish Egg Island","NFEI","A","eelgrass",55.49709,-133.17
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",110,"Vertebrata",16.6646199766201,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",105,"Vertebrata",14.4163930293969,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",80,"Vertebrata",6.17940344831954,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-06-27,643,653,"very gentle",NA,"Pacific cod","Gadus macrocephalus",73,"Vertebrata",4.64581178395372,-3.6,178,2018,"North Fish Egg Island","NFEI","A","eelgrass",55.49709,-133.17
"CODPAC",2018-07-29,800,815,"",834,"Pacific cod","Gadus macrocephalus",100,"Vertebrata",12.3835863841797,-0.17,210,2018,"Kaguk Cove","KAGK","B","eelgrass",55.734934,-133.295111
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",92,"Vertebrata",9.5507198251734,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",75,"Vertebrata",5.05393659840825,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",95,"Vertebrata",10.5547919366688,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",89,"Vertebrata",8.61356925923987,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",80,"Vertebrata",6.17940344831954,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",75,"Vertebrata",5.05393659840825,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",105,"Vertebrata",14.4163930293969,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",75,"Vertebrata",5.05393659840825,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-29,800,815,"",834,"Pacific cod","Gadus macrocephalus",65,"Vertebrata",3.23610721271113,-0.17,210,2018,"Kaguk Cove","KAGK","B","eelgrass",55.734934,-133.295111
"CODPAC",2018-06-27,643,653,"very gentle",NA,"Pacific cod","Gadus macrocephalus",80,"Vertebrata",6.17940344831954,-3.6,178,2018,"North Fish Egg Island","NFEI","A","eelgrass",55.49709,-133.17
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",104,"Vertebrata",13.9929640571174,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-06-27,643,653,"very gentle",NA,"Pacific cod","Gadus macrocephalus",53,"Vertebrata",1.71353935570512,-3.6,178,2018,"North Fish Egg Island","NFEI","A","eelgrass",55.49709,-133.17
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",92,"Vertebrata",9.5507198251734,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",86,"Vertebrata",7.7409111600112,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",112,"Vertebrata",17.6267958775427,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-29,800,815,"",834,"Pacific cod","Gadus macrocephalus",90,"Vertebrata",8.91866718825758,-0.17,210,2018,"Kaguk Cove","KAGK","B","eelgrass",55.734934,-133.295111
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",68,"Vertebrata",3.72450149900269,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",95,"Vertebrata",10.5547919366688,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",70,"Vertebrata",4.0764916599131,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
"CODPAC",2018-07-30,855,910,"",905,"Pacific cod","Gadus macrocephalus",110,"Vertebrata",16.6646199766201,-0.1,211,2018,"Guktu Bay","GUKT","A","eelgrass",55.739816,-133.312022
