"sp_code","bay_code","bay_sample","date","start_time","end_time","slope","tide_time","species_common","species_scientific","fork_length","taxon","mass_g","tide_height","julian","year","place_name","habitat","latitude","longitude"
"COCKSSL","REFU","A",2020-07-22,710,725,"moderate",847,"Slender cockscomb","Anoplarchus insignis",45,"vertebrate",0.424592818505061,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"COCKSSL","REFU","A",2020-07-22,710,725,"moderate",847,"Slender cockscomb","Anoplarchus insignis",29,"vertebrate",0.10780312609137,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"COCKSSL","REFU","A",2020-07-22,710,725,"moderate",847,"Slender cockscomb","Anoplarchus insignis",28,"vertebrate",0.0966234764607027,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"COCKSSL","REFU","A",2020-07-22,710,725,"moderate",847,"Slender cockscomb","Anoplarchus insignis",80,"vertebrate",2.55617369165809,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"COCKSSL","REFU","A",2020-07-22,710,725,"moderate",847,"Slender cockscomb","Anoplarchus insignis",80,"vertebrate",2.55617369165809,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"COCKSSL","REFU","A",2020-07-22,710,725,"moderate",847,"Slender cockscomb","Anoplarchus insignis",85,"vertebrate",3.08842208616643,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",70,"vertebrate",4.0764916599131,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",67,"vertebrate",3.55651158627971,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","REFU","A",2020-07-22,710,725,"moderate",847,"Pacific cod","Gadus macrocephalus",61,"vertebrate",2.65517444690026,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",98,"vertebrate",11.6282238223714,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",74,"vertebrate",4.8469578742761,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
