"sp_code","bay_id","date","start_time","end_time","slope","tide_height","tide_time","species_common","species_scientific","fork_length","taxon","abundance","mass_g","julian","year","latitude","longitude","habitat","place_name"
"CABEZON","ROSA_A",2022-06-28,"600","620","gradual","-0.8","727","Cabezon","Scorpaenichthys marmoratus",135,"fish",1,71.6953275,179,2022,55.577046,-133.29498,"mixed","Rosary"
"CABEZON","ROSA_A",2022-06-28,"600","620","gradual","-0.8","727","Cabezon","Scorpaenichthys marmoratus",120,"fish",1,50.35392,179,2022,55.577046,-133.29498,"mixed","Rosary"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",85,"fish",1,3.43075190299781,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",88,"fish",1,3.83215144642529,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",90,"fish",1,4.1169590287161,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",82,"fish",1,3.0592088641976,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",87,"fish",1,3.69495671983119,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",74,"fish",1,2.20491639035427,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",96,"fish",1,5.05810887556528,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",70,"fish",1,1.84673970876066,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",85,"fish",1,3.43075190299781,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
