bay_code,bay_sample,place_name,habitat,so_region,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,fork_length_checked,IF Function,unmeasured,unmeasured_sm,taxon,Sex,notes,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,136,136,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,126,126,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,124,124,YES,,,fish,,,"IF(P2=Q2,""YES"",""NO"")"
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,141,141,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,138,138,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,131,131,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,135,135,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,135,135,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,121,121,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,140,140,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,136,136,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,133,133,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,135,135,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,145,145,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,133,133,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,138,138,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,149,149,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,135,135,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,120,120,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,125,125,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,124,124,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,127,127,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,127,127,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,124,124,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,140,140,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,166,166,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,125,125,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,133,133,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,135,135,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,138,138,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,,,YES,119,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,132,132,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,170,170,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,144,144,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,135,135,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,153,153,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,177,177,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,160,160,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,137,137,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,152,152,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,157,157,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,94,94,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,169,169,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,116,116,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,172,172,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,120,120,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,149,149,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,140,140,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,185,185,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,195,195,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,159,159,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,142,142,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,156,156,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,151,151,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,124,124,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,111,111,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,124,124,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,146,146,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,151,151,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,163,163,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,154,154,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,,,YES,39,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Crescent gunnel,Pholis laeta,GUNNCRE,100,100,YES,,,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Crescent gunnel,Pholis laeta,GUNNCRE,90,90,YES,,,fish,,,
