bay_code,bay_sample,place_name,habitat,so_region,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,fork_length_checked,IF Function,unmeasured,unmeasured_checked,IF Function,unmeasured_sm,unmeasured_sm_checked,IF Function,taxon,Sex,notes,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,136,136,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,126,126,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,124,124,YES,,,YES,,,YES,fish,,,"IF(P2=Q2,""YES"",""NO"")"
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,141,141,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,138,138,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,131,131,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,135,135,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,135,135,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,121,121,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,140,140,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,136,136,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,133,133,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,135,135,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,145,145,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,133,133,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,138,138,YES,,,YES,,,YES,fish,,,
CLAM,A,Clam Island,mixed,,6/27/22,20220627,545,605,,-0.6,649,Pacific sand lance,Ammodytes personatus,SANDLNCP,149,149,YES,,,YES,,,YES,fish,,,
