"","plant_ID","quadrat_ID","species","length"
"1",1,1,"Saccharina latissima",672
"2",2,1,"Saccharina latissima",277
"3",3,1,"Saccharina latissima",608
"4",4,1,"Saccharina latissima",787
"5",5,1,"Saccharina latissima",642
"6",6,2,"Saccharina latissima",397
"7",7,2,"Saccharina latissima",301
"8",8,2,"Saccharina latissima",597
"9",9,2,"Saccharina latissima",303
"10",10,2,"Saccharina latissima",179
"11",11,3,"Saccharina latissima",665
"12",12,3,"Saccharina latissima",891
"13",13,3,"Saccharina latissima",449
"14",14,3,"Saccharina latissima",671
"15",15,3,"Saccharina latissima",918
"16",16,3,"Fucus distichus",129
"17",17,4,"Saccharina latissima",703
"18",18,4,"Saccharina latissima",1067
"19",19,4,"Saccharina latissima",1099
"20",20,4,"Saccharina latissima",384
"21",21,4,"Saccharina latissima",689
"22",22,5,"Saccharina latissima",103
"23",23,5,"Saccharina latissima",167
"24",24,5,"Saccharina latissima",228
"25",25,5,"Saccharina latissima",116
"26",26,5,"Saccharina latissima",151
"27",27,6,"Zostera marina",579
"28",28,6,"Zostera marina",835
"29",29,6,"Zostera marina",375
"30",30,6,"Zostera marina",334
"31",31,6,"Zostera marina",691
"32",32,6,"Zostera marina",323
"33",33,6,"Zostera marina",581
"34",34,6,"Zostera marina",418
"35",35,6,"Zostera marina",852
"36",36,6,"Zostera marina",544
"37",37,6,"Zostera marina",436
"38",38,6,"Zostera marina",818
"39",39,6,"Zostera marina",782
"40",40,6,"Zostera marina",563
"41",41,6,"Zostera marina",321
"42",42,6,"Zostera marina",335
"43",43,6,"Zostera marina",541
"44",44,7,"Zostera marina",397
"45",45,7,"Zostera marina",882
"46",46,7,"Zostera marina",252
"47",47,7,"Zostera marina",389
"48",48,7,"Zostera marina",791
"49",49,7,"Zostera marina",722
"50",50,7,"Zostera marina",400
"51",51,7,"Zostera marina",446
"52",52,7,"Zostera marina",906
"53",53,7,"Zostera marina",710
"54",54,7,"Zostera marina",553
"55",55,7,"Zostera marina",1172
"56",56,7,"Zostera marina",700
"57",57,7,"Zostera marina",655
"58",58,7,"Zostera marina",363
"59",59,8,"Zostera marina",760
"60",60,8,"Zostera marina",612
"61",61,8,"Zostera marina",541
"62",62,8,"Zostera marina",702
"63",63,8,"Zostera marina",1203
"64",64,8,"Zostera marina",671
"65",65,8,"Zostera marina",443
"66",66,8,"Zostera marina",537
"67",67,8,"Zostera marina",653
"68",68,8,"Zostera marina",442
"69",69,8,"Zostera marina",689
"70",70,8,"Zostera marina",1131
"71",71,8,"Zostera marina",592
"72",72,8,"Zostera marina",235
"73",73,8,"Zostera marina",941
"74",74,9,"Zostera marina",550
"75",75,9,"Zostera marina",997
"76",76,9,"Zostera marina",1211
"77",77,9,"Zostera marina",701
"78",78,9,"Zostera marina",331
"79",79,9,"Zostera marina",396
"80",80,9,"Zostera marina",291
"81",81,9,"Zostera marina",1255
"82",82,9,"Zostera marina",639
"83",83,9,"Zostera marina",687
"84",84,9,"Zostera marina",545
"85",85,9,"Zostera marina",254
"86",86,9,"Zostera marina",921
"87",87,9,"Zostera marina",228
"88",88,9,"Zostera marina",1103
"89",89,10,"Zostera marina",655
"90",90,10,"Zostera marina",371
"91",91,10,"Zostera marina",1244
"92",92,10,"Zostera marina",616
"93",93,10,"Zostera marina",1269
"94",94,10,"Zostera marina",313
"95",95,10,"Zostera marina",812
"96",96,10,"Zostera marina",1103
"97",97,10,"Zostera marina",675
"98",98,10,"Zostera marina",731
"99",99,10,"Zostera marina",455
"100",100,10,"Zostera marina",274
"101",101,10,"Zostera marina",791
"102",102,10,"Zostera marina",273
"103",103,10,"Zostera marina",571
"104",104,11,"Zostera marina",467
"105",105,11,"Zostera marina",490
"106",106,11,"Zostera marina",439
"107",107,11,"Zostera marina",432
"108",108,11,"Zostera marina",395
"109",109,11,"Zostera marina",470
"110",110,11,"Zostera marina",501
"111",111,11,"Zostera marina",562
"112",112,11,"Zostera marina",335
"113",113,11,"Zostera marina",462
"114",114,11,"Zostera marina",468
"115",115,11,"Zostera marina",237
"116",116,11,"Zostera marina",329
"117",117,11,"Zostera marina",392
"118",118,11,"Zostera marina",281
"119",119,12,"Zostera marina",365
"120",120,12,"Zostera marina",212
"121",121,12,"Zostera marina",248
"122",122,12,"Zostera marina",315
"123",123,12,"Zostera marina",411
"124",124,12,"Zostera marina",389
"125",125,12,"Zostera marina",464
"126",126,12,"Zostera marina",356
"127",127,12,"Zostera marina",379
"128",128,12,"Zostera marina",415
"129",129,12,"Zostera marina",275
"130",130,12,"Zostera marina",367
"131",131,12,"Zostera marina",403
"132",132,12,"Zostera marina",398
"133",133,12,"Zostera marina",330
"134",134,13,"Zostera marina",649
"135",135,13,"Zostera marina",579
"136",136,13,"Zostera marina",535
"137",137,13,"Zostera marina",446
"138",138,13,"Zostera marina",372
"139",139,13,"Zostera marina",487
"140",140,13,"Zostera marina",360
"141",141,13,"Zostera marina",455
"142",142,13,"Zostera marina",371
"143",143,13,"Zostera marina",426
"144",144,13,"Zostera marina",612
"145",145,13,"Zostera marina",560
"146",146,13,"Zostera marina",492
"147",147,13,"Zostera marina",214
"148",148,13,"Zostera marina",334
"149",149,14,"Zostera marina",1000
"150",150,14,"Zostera marina",980
"151",151,14,"Zostera marina",861
"152",152,14,"Zostera marina",620
"153",153,14,"Zostera marina",1145
"154",154,14,"Zostera marina",994
"155",155,14,"Zostera marina",316
"156",156,14,"Zostera marina",805
"157",157,14,"Zostera marina",1188
"158",158,14,"Zostera marina",345
"159",159,14,"Zostera marina",436
"160",160,14,"Zostera marina",949
"161",161,14,"Zostera marina",1140
"162",162,14,"Zostera marina",445
"163",163,14,"Zostera marina",1906
"164",164,15,"Zostera marina",839
"165",165,15,"Zostera marina",1005
"166",166,15,"Zostera marina",965
"167",167,15,"Zostera marina",915
"168",168,15,"Zostera marina",587
"169",169,15,"Zostera marina",387
"170",170,15,"Zostera marina",907
"171",171,15,"Zostera marina",1003
"172",172,15,"Zostera marina",711
"173",173,15,"Zostera marina",600
"174",174,15,"Zostera marina",805
"175",175,15,"Zostera marina",763
"176",176,15,"Zostera marina",842
"177",177,15,"Zostera marina",651
"178",178,15,"Zostera marina",565
"179",179,16,"Zostera marina",338
"180",180,16,"Zostera marina",289
"181",181,16,"Zostera marina",413
"182",182,16,"Zostera marina",310
"183",183,16,"Zostera marina",253
"184",184,16,"Zostera marina",356
"185",185,16,"Zostera marina",204
"186",186,16,"Zostera marina",307
"187",187,16,"Zostera marina",329
"188",188,16,"Zostera marina",219
"189",189,16,"Zostera marina",298
"190",190,16,"Zostera marina",247
"191",191,16,"Zostera marina",319
"192",192,16,"Zostera marina",365
"193",193,16,"Zostera marina",259
"194",194,17,"Zostera marina",364
"195",195,17,"Zostera marina",182
"196",196,17,"Zostera marina",289
"197",197,17,"Zostera marina",280
"198",198,17,"Zostera marina",276
"199",199,17,"Zostera marina",432
"200",200,17,"Zostera marina",392
"201",201,17,"Zostera marina",270
"202",202,17,"Zostera marina",296
"203",203,17,"Zostera marina",379
"204",204,17,"Zostera marina",273
"205",205,17,"Zostera marina",220
"206",206,17,"Zostera marina",217
"207",207,17,"Zostera marina",130
"208",208,17,"Zostera marina",297
"209",209,18,"Zostera marina",386
"210",210,18,"Zostera marina",385
"211",211,18,"Zostera marina",299
"212",212,18,"Zostera marina",298
"213",213,18,"Zostera marina",285
"214",214,18,"Zostera marina",423
"215",215,18,"Zostera marina",292
"216",216,18,"Zostera marina",354
"217",217,18,"Zostera marina",397
"218",218,18,"Zostera marina",285
"219",219,18,"Zostera marina",326
"220",220,18,"Zostera marina",307
"221",221,18,"Zostera marina",337
"222",222,18,"Zostera marina",302
"223",223,18,"Zostera marina",244
"224",224,19,"Zostera marina",329
"225",225,19,"Zostera marina",144
"226",226,19,"Zostera marina",224
"227",227,19,"Zostera marina",280
"228",228,19,"Zostera marina",422
"229",229,19,"Zostera marina",392
"230",230,19,"Zostera marina",296
"231",231,19,"Zostera marina",324
"232",232,19,"Zostera marina",144
"233",233,19,"Zostera marina",154
"234",234,19,"Zostera marina",262
