plant_ID,quadrat_ID,species,length,notes
1,1,Saccharina latissima,672,
2,1,Saccharina latissima,277,
3,1,Saccharina latissima,608,
4,1,Saccharina latissima,787,
5,1,Saccharina latissima,642,
6,2,Saccharina latissima,397,
7,2,Saccharina latissima,301,
8,2,Saccharina latissima,597,
9,2,Saccharina latissima,303,
10,2,Saccharina latissima,179,
11,3,Saccharina latissima,665,
12,3,Saccharina latissima,891,
13,3,Saccharina latissima,449,
14,3,Saccharina latissima,671,
15,3,Saccharina latissima,918,
16,3,Fucus distichus,129,
17,4,Saccharina latissima,703,
18,4,Saccharina latissima,1067,
19,4,Saccharina latissima,1099,
20,4,Saccharina latissima,384,
21,4,Saccharina latissima,689,
22,5,Saccharina latissima,103,
23,5,Saccharina latissima,167,
24,5,Saccharina latissima,228,
25,5,Saccharina latissima,116,
26,5,Saccharina latissima,151,
27,6,Zostera marina,579,
28,6,Zostera marina,835,
29,6,Zostera marina,375,
30,6,Zostera marina,334,
31,6,Zostera marina,691,
32,6,Zostera marina,323,
33,6,Zostera marina,581,
34,6,Zostera marina,418,
35,6,Zostera marina,852,
36,6,Zostera marina,544,
37,6,Zostera marina,436,
38,6,Zostera marina,818,
39,6,Zostera marina,782,
40,6,Zostera marina,563,
41,6,Zostera marina,321,
42,6,Zostera marina,335,
43,6,Zostera marina,541,
44,7,Zostera marina,397,
45,7,Zostera marina,882,
46,7,Zostera marina,252,
47,7,Zostera marina,389,
48,7,Zostera marina,791,
49,7,Zostera marina,722,
50,7,Zostera marina,400,
51,7,Zostera marina,446,
52,7,Zostera marina,906,
53,7,Zostera marina,710,
54,7,Zostera marina,553,
55,7,Zostera marina,1172,
56,7,Zostera marina,700,
57,7,Zostera marina,655,
58,7,Zostera marina,363,
59,8,Zostera marina,760,
60,8,Zostera marina,612,
61,8,Zostera marina,541,
62,8,Zostera marina,702,
63,8,Zostera marina,1203,
64,8,Zostera marina,671,
65,8,Zostera marina,443,
66,8,Zostera marina,537,
67,8,Zostera marina,653,
68,8,Zostera marina,442,
69,8,Zostera marina,689,
70,8,Zostera marina,1131,
71,8,Zostera marina,592,
72,8,Zostera marina,235,
73,8,Zostera marina,941,
74,9,Zostera marina,550,
75,9,Zostera marina,997,
76,9,Zostera marina,1211,
77,9,Zostera marina,701,
78,9,Zostera marina,331,
79,9,Zostera marina,396,
80,9,Zostera marina,291,
81,9,Zostera marina,1255,
82,9,Zostera marina,639,
83,9,Zostera marina,687,
84,9,Zostera marina,545,
85,9,Zostera marina,254,
86,9,Zostera marina,921,
87,9,Zostera marina,228,
88,9,Zostera marina,1103,
89,10,Zostera marina,655,
90,10,Zostera marina,371,
91,10,Zostera marina,1244,
92,10,Zostera marina,616,
93,10,Zostera marina,1269,
94,10,Zostera marina,313,
95,10,Zostera marina,812,
96,10,Zostera marina,1103,
97,10,Zostera marina,675,
98,10,Zostera marina,731,
99,10,Zostera marina,455,
100,10,Zostera marina,274,
101,10,Zostera marina,791,
102,10,Zostera marina,273,
103,10,Zostera marina,571,
104,11,Zostera marina,467,
105,11,Zostera marina,490,
106,11,Zostera marina,439,
107,11,Zostera marina,432,
108,11,Zostera marina,395,
109,11,Zostera marina,470,
110,11,Zostera marina,501,
111,11,Zostera marina,562,
112,11,Zostera marina,335,
113,11,Zostera marina,462,
114,11,Zostera marina,468,
115,11,Zostera marina,237,
116,11,Zostera marina,329,
117,11,Zostera marina,392,
118,11,Zostera marina,281,
119,12,Zostera marina,365,
120,12,Zostera marina,212,
121,12,Zostera marina,248,
122,12,Zostera marina,315,
123,12,Zostera marina,411,
124,12,Zostera marina,389,
125,12,Zostera marina,464,
126,12,Zostera marina,356,
127,12,Zostera marina,379,
128,12,Zostera marina,415,
129,12,Zostera marina,275,
130,12,Zostera marina,367,
131,12,Zostera marina,403,
132,12,Zostera marina,398,
133,12,Zostera marina,330,
134,13,Zostera marina,649,
135,13,Zostera marina,579,
136,13,Zostera marina,535,
137,13,Zostera marina,446,
138,13,Zostera marina,372,
139,13,Zostera marina,487,
140,13,Zostera marina,360,
141,13,Zostera marina,455,
142,13,Zostera marina,371,
143,13,Zostera marina,426,
144,13,Zostera marina,612,
145,13,Zostera marina,560,
146,13,Zostera marina,492,
147,13,Zostera marina,214,
148,13,Zostera marina,334,
149,14,Zostera marina,1000,
150,14,Zostera marina,980,
151,14,Zostera marina,861,
152,14,Zostera marina,620,
153,14,Zostera marina,1145,
154,14,Zostera marina,994,
155,14,Zostera marina,316,
156,14,Zostera marina,805,
157,14,Zostera marina,1188,
158,14,Zostera marina,345,
159,14,Zostera marina,436,
160,14,Zostera marina,949,
161,14,Zostera marina,1140,
162,14,Zostera marina,445,
163,14,Zostera marina,1906,
164,15,Zostera marina,839,
165,15,Zostera marina,1005,
166,15,Zostera marina,965,
167,15,Zostera marina,915,
168,15,Zostera marina,587,
169,15,Zostera marina,387,
170,15,Zostera marina,907,
171,15,Zostera marina,1003,
172,15,Zostera marina,711,
173,15,Zostera marina,600,
174,15,Zostera marina,805,
175,15,Zostera marina,763,
176,15,Zostera marina,842,
177,15,Zostera marina,651,
178,15,Zostera marina,565,
179,16,Zostera marina,338,
180,16,Zostera marina,289,
181,16,Zostera marina,413,
182,16,Zostera marina,310,
183,16,Zostera marina,253,
184,16,Zostera marina,356,
185,16,Zostera marina,204,
186,16,Zostera marina,307,
187,16,Zostera marina,329,
188,16,Zostera marina,219,
189,16,Zostera marina,298,
190,16,Zostera marina,247,
191,16,Zostera marina,319,
192,16,Zostera marina,365,
193,16,Zostera marina,259,
194,17,Zostera marina,364,
195,17,Zostera marina,182,
196,17,Zostera marina,289,
197,17,Zostera marina,280,
198,17,Zostera marina,276,
199,17,Zostera marina,432,
200,17,Zostera marina,392,
201,17,Zostera marina,270,
202,17,Zostera marina,296,
203,17,Zostera marina,379,
204,17,Zostera marina,273,
205,17,Zostera marina,220,
206,17,Zostera marina,217,
207,17,Zostera marina,130,
208,17,Zostera marina,297,
209,18,Zostera marina,386,
210,18,Zostera marina,385,
211,18,Zostera marina,299,
212,18,Zostera marina,298,
213,18,Zostera marina,285,
214,18,Zostera marina,423,
215,18,Zostera marina,292,
216,18,Zostera marina,354,
217,18,Zostera marina,397,
218,18,Zostera marina,285,
219,18,Zostera marina,326,
220,18,Zostera marina,307,
221,18,Zostera marina,337,
222,18,Zostera marina,302,
223,18,Zostera marina,244,
224,19,Zostera marina,329,
225,19,Zostera marina,144,
226,19,Zostera marina,224,
227,19,Zostera marina,280,
228,19,Zostera marina,422,
229,19,Zostera marina,392,
230,19,Zostera marina,296,
231,19,Zostera marina,324,
232,19,Zostera marina,144,
233,19,Zostera marina,154,
234,19,Zostera marina,262,
235,19,Zostera marina,277,
236,19,Zostera marina,298,
237,19,Zostera marina,314,
238,19,Zostera marina,289,
239,20,Zostera marina,315,
240,20,Zostera marina,296,
241,20,Zostera marina,304,
242,20,Zostera marina,257,
243,20,Zostera marina,272,
244,20,Zostera marina,267,
245,20,Zostera marina,204,
246,20,Zostera marina,268,
247,20,Zostera marina,164,
248,20,Zostera marina,285,
249,20,Zostera marina,235,
250,20,Zostera marina,191,
251,20,Zostera marina,356,
252,20,Zostera marina,180,
253,20,Zostera marina,288,
254,21,Zostera marina,214,
255,21,Zostera marina,456,
256,21,Zostera marina,209,
257,21,Zostera marina,254,
258,21,Zostera marina,221,
259,21,Zostera marina,439,
260,21,Zostera marina,567,
261,21,Zostera marina,168,
262,21,Zostera marina,548,
263,21,Zostera marina,441,
264,21,Zostera marina,347,
265,21,Zostera marina,155,
266,21,Zostera marina,245,
267,21,Zostera marina,510,
268,21,Zostera marina,395,
269,22,Zostera marina,236,
270,22,Zostera marina,235,
271,22,Zostera marina,189,
272,22,Zostera marina,250,
273,22,Zostera marina,157,
274,22,Zostera marina,245,
275,22,Zostera marina,327,
276,22,Zostera marina,299,
277,22,Zostera marina,243,
278,22,Zostera marina,318,
279,22,Zostera marina,340,
280,22,Zostera marina,447,
281,22,Zostera marina,298,
282,22,Zostera marina,316,
283,23,Zostera marina,190,
284,23,Zostera marina,134,
285,23,Zostera marina,183,
286,23,Zostera marina,258,
287,23,Zostera marina,250,
288,23,Zostera marina,160,
289,23,Zostera marina,225,
290,23,Zostera marina,458,
291,23,Zostera marina,172,
292,23,Zostera marina,399,
293,23,Zostera marina,442,
294,23,Zostera marina,375,
295,23,Zostera marina,179,
296,23,Zostera marina,229,
297,23,Zostera marina,421,
298,23,Zostera marina,304,
299,24,Zostera marina,350,
300,24,Zostera marina,562,
301,24,Zostera marina,433,
302,24,Zostera marina,387,
303,24,Zostera marina,298,
304,24,Zostera marina,332,
305,24,Zostera marina,225,
306,24,Zostera marina,323,
307,24,Zostera marina,310,
308,24,Zostera marina,565,
309,24,Zostera marina,330,
310,24,Zostera marina,282,
311,24,Zostera marina,195,
312,24,Zostera marina,485,
313,24,Zostera marina,250,
314,25,Zostera marina,452,
315,25,Zostera marina,263,
316,25,Zostera marina,225,
317,25,Zostera marina,413,
318,25,Zostera marina,354,
319,25,Zostera marina,104,
320,25,Zostera marina,391,
321,25,Zostera marina,163,
322,25,Zostera marina,277,
323,25,Zostera marina,225,
324,25,Zostera marina,402,
325,25,Zostera marina,186,
326,25,Zostera marina,191,
327,25,Zostera marina,185,
328,25,Zostera marina,187,
329,26,Zostera marina,91,
330,26,Zostera marina,281,
331,26,Zostera marina,220,
332,26,Zostera marina,233,
333,26,Zostera marina,164,
334,26,Zostera marina,162,
335,26,Zostera marina,252,
336,26,Zostera marina,159,
337,26,Zostera marina,153,
338,26,Zostera marina,263,
339,26,Zostera marina,179,
340,26,Zostera marina,181,
341,26,Zostera marina,150,
342,26,Zostera marina,203,
343,26,Zostera marina,199,
344,27,Zostera marina,185,
345,27,Zostera marina,180,
346,27,Zostera marina,230,
347,27,Zostera marina,195,
348,27,Zostera marina,170,
349,27,Zostera marina,150,
350,27,Zostera marina,203,
351,27,Zostera marina,184,
352,27,Zostera marina,186,
353,27,Zostera marina,258,
354,27,Zostera marina,130,
355,27,Zostera marina,233,
356,27,Zostera marina,134,
357,27,Zostera marina,132,
358,27,Zostera marina,135,
359,28,Zostera marina,178,
360,28,Zostera marina,143,
361,28,Zostera marina,71,
362,28,Zostera marina,60,
363,28,Zostera marina,100,
364,28,Zostera marina,180,
365,28,Zostera marina,116,
366,28,Zostera marina,154,
367,28,Zostera marina,119,
368,28,Zostera marina,126,
369,28,Zostera marina,160,
370,28,Zostera marina,162,
371,28,Zostera marina,151,
372,28,Zostera marina,144,
373,28,Zostera marina,83,
374,29,Zostera marina,218,
375,29,Zostera marina,184,
376,29,Zostera marina,186,
377,29,Zostera marina,143,
378,29,Zostera marina,86,
379,29,Zostera marina,143,
380,29,Zostera marina,151,
381,29,Zostera marina,154,
382,29,Zostera marina,138,
383,29,Zostera marina,119,
384,29,Zostera marina,168,
385,29,Zostera marina,149,
386,29,Zostera marina,92,
387,29,Zostera marina,183,
388,29,Zostera marina,149,
389,30,Zostera marina,180,
390,30,Zostera marina,174,
391,30,Zostera marina,205,
392,30,Zostera marina,165,
393,30,Zostera marina,125,
394,30,Zostera marina,145,
395,30,Zostera marina,100,
396,30,Zostera marina,92,
397,30,Zostera marina,173,
398,30,Zostera marina,110,
399,30,Zostera marina,101,
400,30,Zostera marina,114,
401,30,Zostera marina,125,
402,30,Zostera marina,133,
403,30,Zostera marina,82,
404,31,Zostera marina,321,
405,31,Zostera marina,361,
406,31,Zostera marina,85,
407,31,Zostera marina,282,
408,31,Zostera marina,215,
409,31,Zostera marina,296,
410,31,Zostera marina,226,
411,31,Zostera marina,416,
412,31,Zostera marina,171,
413,31,Zostera marina,231,
414,31,Zostera marina,120,
415,31,Zostera marina,222,
416,31,Zostera marina,90,
417,31,Zostera marina,296,
418,31,Zostera marina,386,
419,32,Zostera marina,188,
420,32,Zostera marina,241,
421,32,Zostera marina,351,
422,32,Zostera marina,108,
423,32,Zostera marina,391,
424,32,Zostera marina,136,
425,32,Zostera marina,116,
426,32,Zostera marina,331,
427,32,Zostera marina,285,
428,32,Zostera marina,306,
429,32,Zostera marina,304,
430,32,Zostera marina,334,
431,32,Zostera marina,138,
432,32,Zostera marina,247,
433,32,Zostera marina,324,
434,33,Zostera marina,215,
435,33,Zostera marina,126,
436,33,Zostera marina,202,
437,33,Zostera marina,181,
438,33,Zostera marina,323,
439,33,Zostera marina,261,
440,33,Zostera marina,269,
441,33,Zostera marina,153,
442,33,Zostera marina,432,
443,33,Zostera marina,321,
444,33,Zostera marina,251,
445,33,Zostera marina,313,
446,33,Zostera marina,235,
447,33,Zostera marina,356,
448,33,Zostera marina,298,
449,34,Zostera marina,214,
450,34,Zostera marina,288,
451,34,Zostera marina,182,
452,34,Zostera marina,324,
453,34,Zostera marina,356,
454,34,Zostera marina,345,
455,34,Zostera marina,209,
456,34,Zostera marina,116,
457,34,Zostera marina,114,
458,34,Zostera marina,304,
459,34,Zostera marina,400,
460,34,Zostera marina,296,
461,34,Zostera marina,176,
462,34,Zostera marina,321,
463,34,Zostera marina,169,
464,34,Zostera marina,198,
465,35,Zostera marina,325,
466,35,Zostera marina,142,
467,35,Zostera marina,242,
468,35,Zostera marina,221,
469,35,Zostera marina,122,
470,35,Zostera marina,311,
471,35,Zostera marina,307,
472,35,Zostera marina,138,
473,35,Zostera marina,281,
474,35,Zostera marina,284,
475,35,Zostera marina,85,
476,35,Zostera marina,256,
477,35,Zostera marina,101,
478,35,Zostera marina,225,
479,35,Zostera marina,177,
480,35,Zostera marina,167,
481,36,Zostera marina,424,
482,36,Zostera marina,331,
483,36,Zostera marina,293,
484,36,Zostera marina,239,
485,36,Zostera marina,282,
486,36,Zostera marina,296,
487,36,Zostera marina,342,
488,36,Zostera marina,304,
489,36,Zostera marina,410,
490,36,Zostera marina,208,
491,36,Zostera marina,173,
492,36,Zostera marina,247,
493,36,Zostera marina,265,
494,36,Zostera marina,225,
