"","plant_ID","quadrat_ID","species","length_mm","notes","weight_g"
"1",1,1,"Saccharina latissima",672,"","NA"
"2",2,1,"Saccharina latissima",277,"","NA"
"3",3,1,"Saccharina latissima",608,"","NA"
"4",4,1,"Saccharina latissima",787,"","NA"
"5",5,1,"Saccharina latissima",642,"","NA"
"6",6,2,"Saccharina latissima",397,"","NA"
"7",7,2,"Saccharina latissima",301,"","NA"
"8",8,2,"Saccharina latissima",597,"","NA"
"9",9,2,"Saccharina latissima",303,"","NA"
"10",10,2,"Saccharina latissima",179,"","NA"
"11",11,3,"Saccharina latissima",665,"","NA"
"12",12,3,"Saccharina latissima",891,"","NA"
"13",13,3,"Saccharina latissima",449,"","NA"
"14",14,3,"Saccharina latissima",671,"","NA"
"15",15,3,"Saccharina latissima",918,"","NA"
"16",16,3,"Fucus distichus",129,"","NA"
"17",17,4,"Saccharina latissima",703,"","NA"
"18",18,4,"Saccharina latissima",1067,"","NA"
"19",19,4,"Saccharina latissima",1099,"","NA"
"20",20,4,"Saccharina latissima",384,"","NA"
"21",21,4,"Saccharina latissima",689,"","NA"
"22",22,5,"Saccharina latissima",103,"","NA"
"23",23,5,"Saccharina latissima",167,"","NA"
"24",24,5,"Saccharina latissima",228,"","NA"
"25",25,5,"Saccharina latissima",116,"","NA"
"26",26,5,"Saccharina latissima",151,"","NA"
"27",27,6,"Zostera marina",579,"","NA"
"28",28,6,"Zostera marina",835,"","NA"
"29",29,6,"Zostera marina",375,"","NA"
"30",30,6,"Zostera marina",334,"","NA"
"31",31,6,"Zostera marina",691,"","NA"
"32",32,6,"Zostera marina",323,"","NA"
"33",33,6,"Zostera marina",581,"","NA"
"34",34,6,"Zostera marina",418,"","NA"
"35",35,6,"Zostera marina",852,"","NA"
"36",36,6,"Zostera marina",544,"","NA"
"37",37,6,"Zostera marina",436,"","NA"
"38",38,6,"Zostera marina",818,"","NA"
"39",39,6,"Zostera marina",782,"","NA"
"40",40,6,"Zostera marina",563,"","NA"
"41",41,6,"Zostera marina",321,"","NA"
"42",42,6,"Zostera marina",335,"","NA"
"43",43,6,"Zostera marina",541,"","NA"
"44",44,7,"Zostera marina",397,"","NA"
"45",45,7,"Zostera marina",882,"","NA"
"46",46,7,"Zostera marina",252,"","NA"
"47",47,7,"Zostera marina",389,"","NA"
"48",48,7,"Zostera marina",791,"","NA"
"49",49,7,"Zostera marina",722,"","NA"
"50",50,7,"Zostera marina",400,"","NA"
"51",51,7,"Zostera marina",446,"","NA"
"52",52,7,"Zostera marina",906,"","NA"
"53",53,7,"Zostera marina",710,"","NA"
"54",54,7,"Zostera marina",553,"","NA"
"55",55,7,"Zostera marina",1172,"","NA"
"56",56,7,"Zostera marina",700,"","NA"
"57",57,7,"Zostera marina",655,"","NA"
"58",58,7,"Zostera marina",363,"","NA"
"59",59,8,"Zostera marina",760,"","NA"
"60",60,8,"Zostera marina",612,"","NA"
"61",61,8,"Zostera marina",541,"","NA"
"62",62,8,"Zostera marina",702,"","NA"
"63",63,8,"Zostera marina",1203,"","NA"
"64",64,8,"Zostera marina",671,"","NA"
"65",65,8,"Zostera marina",443,"","NA"
"66",66,8,"Zostera marina",537,"","NA"
"67",67,8,"Zostera marina",653,"","NA"
"68",68,8,"Zostera marina",442,"","NA"
"69",69,8,"Zostera marina",689,"","NA"
"70",70,8,"Zostera marina",1131,"","NA"
"71",71,8,"Zostera marina",592,"","NA"
"72",72,8,"Zostera marina",235,"","NA"
"73",73,8,"Zostera marina",941,"","NA"
"74",74,9,"Zostera marina",550,"","NA"
"75",75,9,"Zostera marina",997,"","NA"
"76",76,9,"Zostera marina",1211,"","NA"
"77",77,9,"Zostera marina",701,"","NA"
"78",78,9,"Zostera marina",331,"","NA"
"79",79,9,"Zostera marina",396,"","NA"
"80",80,9,"Zostera marina",291,"","NA"
"81",81,9,"Zostera marina",1255,"","NA"
"82",82,9,"Zostera marina",639,"","NA"
"83",83,9,"Zostera marina",687,"","NA"
"84",84,9,"Zostera marina",545,"","NA"
"85",85,9,"Zostera marina",254,"","NA"
"86",86,9,"Zostera marina",921,"","NA"
"87",87,9,"Zostera marina",228,"","NA"
"88",88,9,"Zostera marina",1103,"","NA"
"89",89,10,"Zostera marina",655,"","NA"
"90",90,10,"Zostera marina",371,"","NA"
"91",91,10,"Zostera marina",1244,"","NA"
"92",92,10,"Zostera marina",616,"","NA"
"93",93,10,"Zostera marina",1269,"","NA"
"94",94,10,"Zostera marina",313,"","NA"
"95",95,10,"Zostera marina",812,"","NA"
"96",96,10,"Zostera marina",1103,"","NA"
"97",97,10,"Zostera marina",675,"","NA"
"98",98,10,"Zostera marina",731,"","NA"
"99",99,10,"Zostera marina",455,"","NA"
"100",100,10,"Zostera marina",274,"","NA"
"101",101,10,"Zostera marina",791,"","NA"
"102",102,10,"Zostera marina",273,"","NA"
"103",103,10,"Zostera marina",571,"","NA"
"104",104,11,"Zostera marina",467,"","NA"
"105",105,11,"Zostera marina",490,"","NA"
"106",106,11,"Zostera marina",439,"","NA"
"107",107,11,"Zostera marina",432,"","NA"
"108",108,11,"Zostera marina",395,"","NA"
"109",109,11,"Zostera marina",470,"","NA"
"110",110,11,"Zostera marina",501,"","NA"
"111",111,11,"Zostera marina",562,"","NA"
"112",112,11,"Zostera marina",335,"","NA"
"113",113,11,"Zostera marina",462,"","NA"
"114",114,11,"Zostera marina",468,"","NA"
"115",115,11,"Zostera marina",237,"","NA"
