"","plant_ID","quadrat_ID","species","length_mm","notes","weight_g","fit","lwr","upr"
"1",1,1,"Saccharina latissima",672,"",NA,NA,NA,NA
"2",2,1,"Saccharina latissima",277,"",NA,NA,NA,NA
"3",3,1,"Saccharina latissima",608,"",NA,NA,NA,NA
"4",4,1,"Saccharina latissima",787,"",NA,NA,NA,NA
"5",5,1,"Saccharina latissima",642,"",NA,NA,NA,NA
"6",6,2,"Saccharina latissima",397,"",NA,NA,NA,NA
"7",7,2,"Saccharina latissima",301,"",NA,NA,NA,NA
"8",8,2,"Saccharina latissima",597,"",NA,NA,NA,NA
"9",9,2,"Saccharina latissima",303,"",NA,NA,NA,NA
"10",10,2,"Saccharina latissima",179,"",NA,NA,NA,NA
"11",11,3,"Saccharina latissima",665,"",NA,NA,NA,NA
"12",12,3,"Saccharina latissima",891,"",NA,NA,NA,NA
"13",13,3,"Saccharina latissima",449,"",NA,NA,NA,NA
"14",14,3,"Saccharina latissima",671,"",NA,NA,NA,NA
"15",15,3,"Saccharina latissima",918,"",NA,NA,NA,NA
"16",16,3,"Fucus distichus",129,"",NA,NA,NA,NA
"17",17,4,"Saccharina latissima",703,"",NA,NA,NA,NA
"18",18,4,"Saccharina latissima",1067,"",NA,NA,NA,NA
"19",19,4,"Saccharina latissima",1099,"",NA,NA,NA,NA
"20",20,4,"Saccharina latissima",384,"",NA,NA,NA,NA
"21",21,4,"Saccharina latissima",689,"",NA,NA,NA,NA
"22",22,5,"Saccharina latissima",103,"",NA,NA,NA,NA
"23",23,5,"Saccharina latissima",167,"",NA,NA,NA,NA
"24",24,5,"Saccharina latissima",228,"",NA,NA,NA,NA
"25",25,5,"Saccharina latissima",116,"",NA,NA,NA,NA
"26",26,5,"Saccharina latissima",151,"",NA,NA,NA,NA
"27",27,6,"Zostera marina",579,"",NA,NA,NA,NA
"28",28,6,"Zostera marina",835,"",NA,NA,NA,NA
"29",29,6,"Zostera marina",375,"",NA,NA,NA,NA
"30",30,6,"Zostera marina",334,"",NA,NA,NA,NA
"31",31,6,"Zostera marina",691,"",NA,NA,NA,NA
"32",32,6,"Zostera marina",323,"",NA,NA,NA,NA
"33",33,6,"Zostera marina",581,"",NA,NA,NA,NA
"34",34,6,"Zostera marina",418,"",NA,NA,NA,NA
"35",35,6,"Zostera marina",852,"",NA,NA,NA,NA
"36",36,6,"Zostera marina",544,"",NA,NA,NA,NA
"37",37,6,"Zostera marina",436,"",NA,NA,NA,NA
"38",38,6,"Zostera marina",818,"",NA,NA,NA,NA
"39",39,6,"Zostera marina",782,"",NA,NA,NA,NA
"40",40,6,"Zostera marina",563,"",NA,NA,NA,NA
"41",41,6,"Zostera marina",321,"",NA,NA,NA,NA
"42",42,6,"Zostera marina",335,"",NA,NA,NA,NA
"43",43,6,"Zostera marina",541,"",NA,NA,NA,NA
"44",44,7,"Zostera marina",397,"",NA,NA,NA,NA
"45",45,7,"Zostera marina",882,"",NA,NA,NA,NA
"46",46,7,"Zostera marina",252,"",NA,NA,NA,NA
"47",47,7,"Zostera marina",389,"",NA,NA,NA,NA
"48",48,7,"Zostera marina",791,"",NA,NA,NA,NA
"49",49,7,"Zostera marina",722,"",NA,NA,NA,NA
"50",50,7,"Zostera marina",400,"",NA,NA,NA,NA
"51",51,7,"Zostera marina",446,"",NA,NA,NA,NA
"52",52,7,"Zostera marina",906,"",NA,NA,NA,NA
"53",53,7,"Zostera marina",710,"",NA,NA,NA,NA
"54",54,7,"Zostera marina",553,"",NA,NA,NA,NA
"55",55,7,"Zostera marina",1172,"",NA,NA,NA,NA
"56",56,7,"Zostera marina",700,"",NA,NA,NA,NA
"57",57,7,"Zostera marina",655,"",NA,NA,NA,NA
"58",58,7,"Zostera marina",363,"",NA,NA,NA,NA
"59",59,8,"Zostera marina",760,"",NA,NA,NA,NA
"60",60,8,"Zostera marina",612,"",NA,NA,NA,NA
"61",61,8,"Zostera marina",541,"",NA,NA,NA,NA
"62",62,8,"Zostera marina",702,"",NA,NA,NA,NA
"63",63,8,"Zostera marina",1203,"",NA,NA,NA,NA
"64",64,8,"Zostera marina",671,"",NA,NA,NA,NA
"65",65,8,"Zostera marina",443,"",NA,NA,NA,NA
"66",66,8,"Zostera marina",537,"",NA,NA,NA,NA
"67",67,8,"Zostera marina",653,"",NA,NA,NA,NA
"68",68,8,"Zostera marina",442,"",NA,NA,NA,NA
"69",69,8,"Zostera marina",689,"",NA,NA,NA,NA
"70",70,8,"Zostera marina",1131,"",NA,NA,NA,NA
"71",71,8,"Zostera marina",592,"",NA,NA,NA,NA
"72",72,8,"Zostera marina",235,"",NA,NA,NA,NA
"73",73,8,"Zostera marina",941,"",NA,NA,NA,NA
"74",74,9,"Zostera marina",550,"",NA,NA,NA,NA
"75",75,9,"Zostera marina",997,"",NA,NA,NA,NA
"76",76,9,"Zostera marina",1211,"",NA,NA,NA,NA
"77",77,9,"Zostera marina",701,"",NA,NA,NA,NA
"78",78,9,"Zostera marina",331,"",NA,NA,NA,NA
"79",79,9,"Zostera marina",396,"",NA,NA,NA,NA
"80",80,9,"Zostera marina",291,"",NA,NA,NA,NA
"81",81,9,"Zostera marina",1255,"",NA,NA,NA,NA
"82",82,9,"Zostera marina",639,"",NA,NA,NA,NA
"83",83,9,"Zostera marina",687,"",NA,NA,NA,NA
"84",84,9,"Zostera marina",545,"",NA,NA,NA,NA
"85",85,9,"Zostera marina",254,"",NA,NA,NA,NA
"86",86,9,"Zostera marina",921,"",NA,NA,NA,NA
"87",87,9,"Zostera marina",228,"",NA,NA,NA,NA
"88",88,9,"Zostera marina",1103,"",NA,NA,NA,NA
"89",89,10,"Zostera marina",655,"",NA,NA,NA,NA
"90",90,10,"Zostera marina",371,"",NA,NA,NA,NA
"91",91,10,"Zostera marina",1244,"",NA,NA,NA,NA
"92",92,10,"Zostera marina",616,"",NA,NA,NA,NA
