"","X","plant_ID","quadrat_ID","species","length_mm","weight_g","notes"
"1",1,1,1,"Zostera marina",848,NA,""
"2",2,2,1,"Zostera marina",802,NA,""
"3",3,3,1,"Zostera marina",1157,NA,""
"4",4,4,1,"Zostera marina",1398,NA,""
"5",5,5,1,"Zostera marina",1387,NA,""
"6",6,6,1,"Zostera marina",1348,NA,""
"7",7,7,1,"Zostera marina",1111,NA,""
"8",8,8,1,"Zostera marina",1187,NA,""
"9",9,9,1,"Zostera marina",1063,NA,""
"10",10,10,1,"Zostera marina",1149,NA,""
"11",11,11,1,"Zostera marina",1254,NA,""
"12",12,12,1,"Zostera marina",1096,NA,""
"13",13,13,1,"Zostera marina",1313,NA,""
"14",14,14,1,"Zostera marina",1078,NA,""
"15",15,15,1,"Zostera marina",687,NA,""
"16",16,16,1,"Zostera marina",908,NA,""
"17",17,17,2,"Zostera marina",753,NA,""
"18",18,18,2,"Zostera marina",1284,NA,""
"19",19,19,2,"Zostera marina",942,NA,""
"20",20,20,2,"Zostera marina",1251,NA,""
"21",21,21,2,"Zostera marina",1403,NA,""
"22",22,22,2,"Zostera marina",965,NA,""
"23",23,23,2,"Zostera marina",1117,NA,""
"24",24,24,2,"Zostera marina",1572,NA,""
"25",25,25,2,"Zostera marina",1260,NA,""
"26",26,26,2,"Zostera marina",1147,NA,""
"27",27,27,2,"Zostera marina",1137,NA,""
"28",28,28,2,"Zostera marina",823,NA,""
"29",29,29,2,"Zostera marina",1172,NA,""
"30",30,30,2,"Zostera marina",1094,NA,""
"31",31,31,2,"Zostera marina",1245,NA,""
"32",32,32,3,"Zostera marina",995,NA,""
"33",33,33,3,"Zostera marina",1437,NA,""
"34",34,34,3,"Zostera marina",1544,NA,""
"35",35,35,3,"Zostera marina",1252,NA,""
"36",36,36,3,"Zostera marina",1137,NA,""
"37",37,37,3,"Zostera marina",1198,NA,""
"38",38,38,3,"Zostera marina",1181,NA,""
"39",39,39,3,"Zostera marina",1231,NA,""
"40",40,40,3,"Zostera marina",1185,NA,""
"41",41,41,3,"Zostera marina",759,NA,""
"42",42,42,3,"Zostera marina",1162,NA,""
"43",43,43,3,"Zostera marina",1376,NA,""
"44",44,44,3,"Zostera marina",1310,NA,""
"45",45,45,3,"Zostera marina",1037,NA,""
"46",46,46,3,"Zostera marina",879,NA,""
"47",47,47,4,"Zostera marina",1361,NA,""
"48",48,48,4,"Zostera marina",1334,NA,""
"49",49,49,4,"Zostera marina",1386,NA,""
"50",50,50,4,"Zostera marina",1171,NA,""
"51",51,51,4,"Zostera marina",1143,NA,""
"52",52,52,4,"Zostera marina",1100,NA,""
"53",53,53,4,"Zostera marina",1023,NA,""
