plant_ID,quadrat_ID,species,length_mm,weight_g,notes
1,1,Zostera marina,441,,
2,1,Zostera marina,608,,
3,1,Zostera marina,432,,
4,1,Zostera marina,651,,
5,1,Zostera marina,385,,
6,1,Zostera marina,438,,
7,1,Zostera marina,554,,
8,1,Zostera marina,633,,
9,1,Zostera marina,634,,
10,1,Zostera marina,626,,
11,1,Zostera marina,592,,
12,1,Zostera marina,384,,
13,1,Zostera marina,328,,
14,1,Zostera marina,671,,
15,1,Zostera marina,206,,
16,2,Zostera marina,214,,
17,2,Zostera marina,306,,
18,2,Zostera marina,316,,
19,2,Zostera marina,334,,
20,2,Zostera marina,414,,
21,2,Zostera marina,397,,
22,2,Zostera marina,399,,
23,2,Zostera marina,434,,
24,2,Zostera marina,500,,
25,2,Zostera marina,500,,
26,2,Zostera marina,430,,
27,2,Zostera marina,319,,
28,2,Zostera marina,452,,
29,2,Zostera marina,368,,
30,2,Zostera marina,450,,
31,3,Zostera marina,410,,
32,3,Zostera marina,616,,
33,3,Zostera marina,518,,
34,3,Zostera marina,512,,
35,3,Zostera marina,477,,
36,3,Zostera marina,535,,
37,3,Zostera marina,354,,
38,3,Zostera marina,382,,
39,3,Zostera marina,314,,
40,3,Zostera marina,440,,
41,3,Zostera marina,260,,
42,3,Zostera marina,324,,
43,3,Zostera marina,298,,
44,3,Zostera marina,285,,
45,3,Zostera marina,426,,
46,4,Zostera marina,702,,
47,4,Zostera marina,506,,
48,4,Zostera marina,645,,
49,4,Zostera marina,696,,
50,4,Zostera marina,594,,
51,4,Zostera marina,604,,
52,4,Zostera marina,467,,
53,4,Zostera marina,619,,
54,4,Zostera marina,780,,
55,4,Zostera marina,343,,
56,4,Zostera marina,486,,
57,4,Zostera marina,642,,
58,4,Zostera marina,680,,
59,4,Zostera marina,654,,
60,4,Zostera marina,382,,
61,5,Zostera marina,468,,
62,5,Zostera marina,471,,
63,5,Zostera marina,482,,
64,5,Zostera marina,377,,
65,5,Zostera marina,440,,
66,5,Zostera marina,342,,
67,5,Zostera marina,254,,
68,5,Zostera marina,515,,
69,5,Zostera marina,278,,
70,5,Zostera marina,453,,
71,5,Zostera marina,312,,
72,5,Zostera marina,308,,
73,5,Zostera marina,408,,
74,5,Zostera marina,239,,
75,5,Zostera marina,460,,
76,7,Saccharina groenlandica,1200,293.9,
77,7,Saccharina groenlandica,990,357.3,
78,8,Neorhodomela larix,64,,
79,8,Neorhodomela larix,72,,
80,8,Neorhodomela larix,101,,
81,8,Neorhodomela larix,52,,
82,8,Neorhodomela larix,61,,
83,8,Neorhodomela oregana,160,,
84,8,Neorhodomela oregana,91,,
85,8,Neorhodomela oregana,100,,
86,8,Sargassum muticum ,267,,
87,8,Sargassum muticum ,401,,
88,8,Sargassum muticum ,90,,
89,8,Sargassum muticum ,150,,
90,8,Sargassum muticum ,110,,
91,9,Saccharina groenlandica,850,230.3,
92,9,Saccharina groenlandica,210,15,
93,9,Saccharina groenlandica,432,76,
94,9,Saccharina groenlandica,910,248.8,
95,9,Sargassum muticum ,226,,
96,9,Sargassum muticum ,175,,
97,9,Sargassum muticum ,293,,
98,10,Saccharina groenlandica,750,152.6,
99,10,Saccharina groenlandica,112,9.6,
100,10,Saccharina groenlandica,902,294.6,
101,10,Sargassum muticum ,176,,
102,10,Sargassum muticum ,95,,
103,10,Sargassum muticum ,360,,
104,10,Sargassum muticum ,200,,
105,10,Sargassum muticum ,220,,
106,11,Zostera marina,398,,
107,11,Zostera marina,530,,
108,11,Zostera marina,291,,
109,11,Phyllospadix serrulatus,920,,
110,11,Phyllospadix serrulatus,805,,
111,11,Phyllospadix serrulatus,830,,
112,11,Phyllospadix serrulatus,880,,
113,11,Phyllospadix serrulatus,824,,
114,11,Phyllospadix serrulatus,762,,
115,11,Phyllospadix serrulatus,798,,
116,11,Phyllospadix serrulatus,891,,
117,11,Phyllospadix serrulatus,760,,
118,11,Phyllospadix serrulatus,956,,
119,11,Phyllospadix serrulatus,870,,
120,11,Phyllospadix serrulatus,926,,
121,11,Phyllospadix serrulatus,859,,
122,11,Phyllospadix serrulatus,842,,
123,12,Phyllospadix serrulatus,737,,
124,12,Phyllospadix serrulatus,670,,
125,12,Phyllospadix serrulatus,482,,
126,12,Phyllospadix serrulatus,941,,
127,12,Phyllospadix serrulatus,790,,
128,12,Phyllospadix serrulatus,801,,
129,12,Phyllospadix serrulatus,805,,
130,12,Phyllospadix serrulatus,970,,
131,12,Phyllospadix serrulatus,668,,
132,12,Phyllospadix serrulatus,346,,
133,12,Phyllospadix serrulatus,1003,,
134,12,Phyllospadix serrulatus,902,,
135,12,Phyllospadix serrulatus,801,,
136,12,Phyllospadix serrulatus,597,,
137,12,Phyllospadix serrulatus,652,,
138,13,Zostera marina,442,,
139,13,Zostera marina,229,,
140,13,Zostera marina,337,,
141,13,Zostera marina,182,,
142,13,Zostera marina,506,,
143,13,Zostera marina,512,,
144,13,Zostera marina,162,,
145,13,Zostera marina,444,,
146,13,Zostera marina,448,,
147,13,Zostera marina,256,,
148,13,Zostera marina,467,,
149,13,Zostera marina,253,,
150,13,Zostera marina,387,,
151,13,Zostera marina,443,,
152,13,Zostera marina,705,,
153,14,Zostera marina,646,,
154,14,Zostera marina,357,,
155,14,Zostera marina,810,,
156,14,Zostera marina,646,,
157,14,Zostera marina,845,,
158,14,Zostera marina,681,,
159,14,Zostera marina,877,,
160,14,Zostera marina,221,,
161,14,Zostera marina,625,,
162,14,Zostera marina,628,,
163,14,Zostera marina,731,,
164,14,Zostera marina,854,,
165,14,Zostera marina,496,,
166,14,Zostera marina,640,,
167,14,Zostera marina,516,,
168,15,Zostera marina,584,,
169,15,Zostera marina,516,,
170,15,Zostera marina,870,,
171,15,Zostera marina,604,,
172,15,Zostera marina,592,,
173,15,Zostera marina,205,,
174,15,Zostera marina,666,,
175,15,Zostera marina,764,,
176,15,Zostera marina,555,,
177,15,Zostera marina,400,,
178,15,Zostera marina,833,,
179,15,Zostera marina,770,,
180,15,Zostera marina,523,,
181,15,Zostera marina,682,,
182,15,Zostera marina,721,,
183,16,Saccharina latissima,1564,143.5,
184,17,Saccharina latissima,1256,112.3,
185,17,Saccharina latissima,1262,190.3,
186,17,Saccharina latissima,1001,117.7,
187,17,Saccharina latissima,152,3.7,
188,17,Saccharina latissima,250,6,
189,17,Saccharina latissima,2141,379.7,
190,18,Stephanocystis geminata,870,80.1,
191,18,Stephanocystis geminata,314,6.3,
192,18,Stephanocystis geminata,250,3.7,
193,18,Stephanocystis geminata,492,18.8,
194,18,Stephanocystis geminata,712,40.4,
195,18,Zostera marina,619,3.3,one blade including roots
196,19,Stephanocystis geminata,1108,140.7,
197,19,Stephanocystis geminata,534,37.1,
198,19,Stephanocystis geminata,1170,114.5,
199,19,Stephanocystis geminata,1362,218.7,
200,19,Stephanocystis geminata,345,4.8,
201,20,Phyllospadix serrulatus,821,,
202,20,Phyllospadix serrulatus,1040,,
203,20,Phyllospadix serrulatus,365,,
204,20,Phyllospadix serrulatus,854,,
205,20,Phyllospadix serrulatus,1044,,
206,20,Phyllospadix serrulatus,1410,,
207,20,Phyllospadix serrulatus,1080,,
208,20,Phyllospadix serrulatus,1013,,
209,20,Phyllospadix serrulatus,918,,
210,20,Phyllospadix serrulatus,905,,
211,20,Phyllospadix serrulatus,630,,
212,20,Phyllospadix serrulatus,896,,
213,20,Phyllospadix serrulatus,1130,,
214,20,Phyllospadix serrulatus,837,,
215,20,Phyllospadix serrulatus,480,,
