"","plant_ID","quadrat_ID","species","length_mm","weight_g","notes","length_cm","fit","lwr","upr"
"1",76,7,"Saccharina groenlandica",1200,293.9,"",120,NA,NA,NA
"2",77,7,"Saccharina groenlandica",990,357.3,"",99,NA,NA,NA
"3",78,8,"Neorhodomela larix",64,NA,"",6.4,NA,NA,NA
"4",79,8,"Neorhodomela larix",72,NA,"",7.2,NA,NA,NA
"5",80,8,"Neorhodomela larix",101,NA,"",10.1,NA,NA,NA
"6",81,8,"Neorhodomela larix",52,NA,"",5.2,NA,NA,NA
"7",82,8,"Neorhodomela larix",61,NA,"",6.1,NA,NA,NA
"8",83,8,"Neorhodomela oregana",160,NA,"",16,NA,NA,NA
"9",84,8,"Neorhodomela oregana",91,NA,"",9.1,NA,NA,NA
"10",85,8,"Neorhodomela oregana",100,NA,"",10,NA,NA,NA
"11",86,8,"Sargassum muticum",267,NA,"",26.7,NA,NA,NA
"12",87,8,"Sargassum muticum",401,NA,"",40.1,NA,NA,NA
"13",88,8,"Sargassum muticum",90,NA,"",9,NA,NA,NA
"14",89,8,"Sargassum muticum",150,NA,"",15,NA,NA,NA
"15",90,8,"Sargassum muticum",110,NA,"",11,NA,NA,NA
"16",91,9,"Saccharina groenlandica",850,230.3,"",85,NA,NA,NA
"17",92,9,"Saccharina groenlandica",210,15,"",21,NA,NA,NA
"18",93,9,"Saccharina groenlandica",432,76,"",43.2,NA,NA,NA
"19",94,9,"Saccharina groenlandica",910,248.8,"",91,NA,NA,NA
"20",95,9,"Sargassum muticum",226,NA,"",22.6,NA,NA,NA
"21",96,9,"Sargassum muticum",175,NA,"",17.5,NA,NA,NA
"22",97,9,"Sargassum muticum",293,NA,"",29.3,NA,NA,NA
"23",98,10,"Saccharina groenlandica",750,152.6,"",75,NA,NA,NA
"24",99,10,"Saccharina groenlandica",112,9.6,"",11.2,NA,NA,NA
"25",100,10,"Saccharina groenlandica",902,294.6,"",90.2,NA,NA,NA
"26",101,10,"Sargassum muticum",176,NA,"",17.6,NA,NA,NA
"27",102,10,"Sargassum muticum",95,NA,"",9.5,NA,NA,NA
"28",103,10,"Sargassum muticum",360,NA,"",36,NA,NA,NA
"29",104,10,"Sargassum muticum",200,NA,"",20,NA,NA,NA
"30",105,10,"Sargassum muticum",220,NA,"",22,NA,NA,NA
"31",183,16,"Saccharina latissima",1564,143.5,"",156.4,NA,NA,NA
"32",184,17,"Saccharina latissima",1256,112.3,"",125.6,NA,NA,NA
"33",185,17,"Saccharina latissima",1262,190.3,"",126.2,NA,NA,NA
"34",186,17,"Saccharina latissima",1001,117.7,"",100.1,NA,NA,NA
"35",187,17,"Saccharina latissima",152,3.7,"",15.2,NA,NA,NA
"36",188,17,"Saccharina latissima",250,6,"",25,NA,NA,NA
"37",189,17,"Saccharina latissima",2141,379.7,"",214.1,NA,NA,NA
"38",190,18,"Stephanocystis geminata",870,80.1,"",87,NA,NA,NA
"39",191,18,"Stephanocystis geminata",314,6.3,"",31.4,NA,NA,NA
"40",192,18,"Stephanocystis geminata",250,3.7,"",25,NA,NA,NA
"41",193,18,"Stephanocystis geminata",492,18.8,"",49.2,NA,NA,NA
"42",194,18,"Stephanocystis geminata",712,40.4,"",71.2,NA,NA,NA
"43",196,19,"Stephanocystis geminata",1108,140.7,"",110.8,NA,NA,NA
"44",197,19,"Stephanocystis geminata",534,37.1,"",53.4,NA,NA,NA
"45",198,19,"Stephanocystis geminata",1170,114.5,"",117,NA,NA,NA
"46",199,19,"Stephanocystis geminata",1362,218.7,"",136.2,NA,NA,NA
"47",200,19,"Stephanocystis geminata",345,4.8,"",34.5,NA,NA,NA
"48",216,20,"Neorhodomela aculeata",365,64.6,"",36.5,NA,NA,NA
"49",217,20,"Neorhodomela aculeata",230,14.1,"",23,NA,NA,NA
"50",218,20,"Neorhodomela aculeata",401,55,"",40.1,NA,NA,NA
"51",219,20,"Neorhodomela aculeata",380,40.1,"",38,NA,NA,NA
"52",220,20,"Neorhodomela aculeata",292,43.7,"",29.2,NA,NA,NA
"53",221,20,"Neorhodomela aculeata",305,32.4,"",30.5,NA,NA,NA
"54",222,20,"Neorhodomela aculeata",230,14.4,"",23,NA,NA,NA
"55",223,20,"Neorhodomela aculeata",334,31.8,"",33.4,NA,NA,NA
"56",487,36,"Saccharina groenlandica",934,233.7,"",93.4,NA,NA,NA
"57",488,36,"Saccharina groenlandica",916,506.9,"",91.6,NA,NA,NA
"58",499,38,"Stephanocystis geminata",700,35.6,"",70,NA,NA,NA
"59",500,40,"Saccharina groenlandica",374,33.8,"",37.4,NA,NA,NA
"60",576,46,"Saccharina latissima",560,321.5,"",56,NA,NA,NA
"61",577,46,"Saccharina latissima",580,58.8,"",58,NA,NA,NA
"62",578,47,"Saccharina latissima",712,144.9,"",71.2,NA,NA,NA
"63",579,47,"Saccharina latissima",400,76.3,"",40,NA,NA,NA
"64",580,47,"Neorhodomela aculeata",335,NA,"",33.5,NA,NA,NA
"65",581,47,"Neorhodomela aculeata",191,NA,"",19.1,NA,NA,NA
"66",582,47,"Neorhodomela aculeata",200,NA,"",20,NA,NA,NA
"67",583,47,"Neorhodomela aculeata",298,NA,"",29.8,NA,NA,NA
"68",584,47,"Neorhodomela aculeata",224,NA,"",22.4,NA,NA,NA
"69",585,48,"Saccharina latissima",384,34.9,"",38.4,NA,NA,NA
"70",586,48,"Saccharina latissima",484,86.7,"",48.4,NA,NA,NA
"71",587,48,"Saccharina latissima",92,1,"",9.2,NA,NA,NA
"72",588,48,"Saccharina latissima",332,20.9,"",33.2,NA,NA,NA
"73",589,48,"Saccharina latissima",340,44.2,"",34,NA,NA,NA
"74",590,48,"Saccharina latissima",412,52.4,"",41.2,NA,NA,NA
"75",591,49,"Saccharina groenlandica",462,58.7,"",46.2,NA,NA,NA
"76",592,49,"Saccharina groenlandica",1130,451,"",113,NA,NA,NA
"77",593,50,"Saccharina latissima",782,113.3,"",78.2,NA,NA,NA
"78",594,50,"Saccharina latissima",172,10.2,"",17.2,NA,NA,NA
"79",595,50,"Saccharina latissima",102,2.8,"",10.2,NA,NA,NA
"80",596,50,"Saccharina latissima",100,3.7,"",10,NA,NA,NA
"81",672,56,"Saccharina groenlandica",630,223.5,"",63,NA,NA,NA
"82",673,56,"Saccharina groenlandica",828,219.5,"",82.8,NA,NA,NA
"83",674,56,"Saccharina groenlandica",650,95.8,"",65,NA,NA,NA
"84",675,56,"Saccharina groenlandica",80,8.6,"",8,NA,NA,NA
"85",677,56,"Mazzaella splendens",198,12.7,"",19.8,NA,NA,NA
"86",678,56,"Mazzaella splendens",256,10.4,"",25.6,NA,NA,NA
"87",679,57,"Saccharina latissima",308,17.5,"",30.8,NA,NA,NA
"88",680,58,"Saccharina groenlandica",200,49.3,"",20,NA,NA,NA
"89",695,59,"Saccharina groenlandica",880,440.5,"",88,NA,NA,NA
"90",696,59,"Mazzaella splendens",148,4.8,"",14.8,NA,NA,NA
"91",697,60,"Macrocystis pyrifera",570,97.9,"",57,NA,NA,NA
"92",777,66,"Saccharina groenlandica",970,641.1,"",97,NA,NA,NA
"93",778,66,"Saccharina groenlandica",352,25.7,"",35.2,NA,NA,NA
"94",779,66,"Saccharina groenlandica",1000,356,"",100,NA,NA,NA
"95",780,67,"Saccharina groenlandica",592,78.5,"",59.2,NA,NA,NA
"96",781,68,"Saccharina groenlandica",1260,854.8,"",126,NA,NA,NA
"97",782,68,"Saccharina groenlandica",808,233,"",80.8,NA,NA,NA
"98",783,68,"Constantinea rosa-marina",152,16.5,"",15.2,NA,NA,NA
"99",784,68,"Constantinea rosa-marina",136,4.1,"",13.6,NA,NA,NA
"100",785,68,"Constantinea rosa-marina",110,2.5,"",11,NA,NA,NA
"101",786,68,"Constantinea rosa-marina",61,1.5,"",6.1,NA,NA,NA
"102",787,69,"Saccharina groenlandica",842,224,"",84.2,NA,NA,NA
"103",788,69,"Saccharina groenlandica",554,127,"",55.4,NA,NA,NA
"104",789,69,"Saccharina groenlandica",300,25.6,"",30,NA,NA,NA
"105",790,69,"Constantinea rosa-marina",34,0.4,"",3.4,NA,NA,NA
"106",791,69,"Constantinea rosa-marina",146,12.4,"",14.6,NA,NA,NA
"107",792,70,"Saccharina groenlandica",842,127.9,"",84.2,NA,NA,NA
"108",793,70,"Saccharina groenlandica",658,199.5,"",65.8,NA,NA,NA
"109",794,70,"Saccharina groenlandica",330,44.2,"",33,NA,NA,NA
"110",1097,91,"Saccharina latissima",1081,179.1,"",108.1,NA,NA,NA
"111",1098,93,"Saccharina latissima",721,183.3,"",72.1,NA,NA,NA
"112",1099,93,"Saccharina latissima",862,162.7,"",86.2,NA,NA,NA
"113",1100,93,"Saccharina latissima",390,27,"",39,NA,NA,NA
"114",1101,94,"Saccharina latissima",683,110.9,"",68.3,NA,NA,NA
"115",1102,94,"Saccharina latissima",758,101.6,"",75.8,NA,NA,NA
"116",1103,95,"Saccharina latissima",760,253.6,"",76,NA,NA,NA
"117",1181,101,"Cymathaere triplicata",1050,201,"",105,NA,NA,NA
"118",1182,101,"Saccharina groenlandica",111,1.4,"",11.1,NA,NA,NA
"119",1183,101,"Saccharina groenlandica",1072,751.5,"",107.2,NA,NA,NA
"120",1184,102,"Cymathaere triplicata",551,72.6,"broken",55.1,NA,NA,NA
"121",1185,102,"Saccharina latissima",406,26,"",40.6,NA,NA,NA
