"","quadrat_ID","site","date","YYYYMMDD","habitat","quadrat","total_biomass","density","flowering_shoots","notes","bay_code","bay_sample"
"1",1,"Shakan - kelp",2019-06-08,20190608,"kelp",1,620.9,NA,NA,NA,"SHKN","A"
"2",2,"Shakan - kelp",2019-06-08,20190608,"kelp",2,230.4,NA,NA,NA,"SHKN","A"
"3",3,"Shakan - kelp",2019-06-08,20190608,"kelp",3,869.4,NA,NA,NA,"SHKN","A"
"4",4,"Shakan - kelp",2019-06-08,20190608,"kelp",4,716,NA,NA,NA,"SHKN","A"
"5",5,"Shakan - kelp",2019-06-08,20190608,"kelp",5,748.7,NA,NA,NA,"SHKN","A"
"6",6,"Shakan - eel",2019-06-07,20190607,"eelgrass",1,NA,29,0,NA,"CALD","A"
"7",7,"Shakan - eel",2019-06-07,20190607,"eelgrass",2,NA,18,0,NA,"CALD","A"
"8",8,"Shakan - eel",2019-06-07,20190607,"eelgrass",3,NA,39,0,NA,"CALD","A"
"9",9,"Shakan - eel",2019-06-07,20190607,"eelgrass",4,NA,28,0,NA,"CALD","A"
"10",10,"Shakan - eel",2019-06-07,20190607,"eelgrass",5,NA,48,0,NA,"CALD","A"
"11",11,"Baker Island - eel",2019-06-18,20190618,"eelgrass",1,NA,138,0,NA,"BAKE","A"
"12",12,"Baker Island - eel",2019-06-18,20190618,"eelgrass",2,NA,246,0,NA,"BAKE","A"
"13",13,"Baker Island - eel",2019-06-18,20190618,"eelgrass",3,NA,309,0,NA,"BAKE","A"
"14",14,"Baker Island - eel",2019-06-18,20190618,"eelgrass",4,NA,255,0,NA,"BAKE","A"
"15",15,"Baker Island - eel",2019-06-18,20190618,"eelgrass",5,NA,156,0,NA,"BAKE","A"
"16",16,"Goat Mouth Inlet",2019-06-17,20190617,"eelgrass",1,NA,71,0,NA,"GOAT","A"
"17",17,"Goat Mouth Inlet",2019-06-17,20190617,"eelgrass",2,NA,95,0,NA,"GOAT","A"
"18",18,"Goat Mouth Inlet",2019-06-17,20190617,"eelgrass",3,NA,61,0,NA,"GOAT","A"
"19",19,"Goat Mouth Inlet",2019-06-17,20190617,"eelgrass",4,NA,77,0,NA,"GOAT","A"
"20",20,"Goat Mouth Inlet",2019-06-17,20190617,"eelgrass",5,NA,87,0,NA,"GOAT","A"
"21",21,"Naukati",2019-05-21,20190521,"eelgrass",1,NA,67,0,NA,"NAUK","A"
"22",22,"Naukati",2019-05-21,20190521,"eelgrass",2,NA,88,0,NA,"NAUK","A"
"23",23,"Naukati",2019-05-21,20190521,"eelgrass",3,NA,105,0,NA,"NAUK","A"
"24",24,"Naukati",2019-05-21,20190521,"eelgrass",4,NA,58,0,NA,"NAUK","A"
"25",25,"Naukati",2019-05-21,20190521,"eelgrass",5,NA,89,0,NA,"NAUK","A"
"26",26,"Dunbar Inlet",2019-05-06,20190506,"eelgrass",1,NA,151,0,"small thin blades for most of the bed","DUNB","A"
"27",27,"Dunbar Inlet",2019-05-06,20190506,"eelgrass",2,NA,119,0,NA,"DUNB","A"
"28",28,"Dunbar Inlet",2019-05-06,20190506,"eelgrass",3,NA,99,0,NA,"DUNB","A"
"29",29,"Dunbar Inlet",2019-05-06,20190506,"eelgrass",4,NA,103,0,NA,"DUNB","A"
"30",30,"Dunbar Inlet",2019-05-06,20190506,"eelgrass",5,NA,122,0,NA,"DUNB","A"
"31",31,"Klawock airport",2019-05-07,20190507,"eelgrass",1,NA,141,0,NA,"KLWA","A"
"32",32,"Klawock airport",2019-05-07,20190507,"eelgrass",2,NA,99,0,NA,"KLWA","A"
"33",33,"Klawock airport",2019-05-07,20190507,"eelgrass",3,NA,89,0,NA,"KLWA","A"
"34",34,"Klawock airport",2019-05-07,20190507,"eelgrass",4,NA,75,0,NA,"KLWA","A"
"35",35,"Klawock airport",2019-05-07,20190507,"eelgrass",5,NA,57,0,NA,"KLWA","A"
"36",36,"Salt Lake Bay",2019-06-02,20190602,"eelgrass",1,NA,154,0,NA,"SALA","A"
"37",37,"Salt Lake Bay",2019-06-02,20190602,"eelgrass",2,NA,113,0,NA,"SALA","A"
"38",38,"Salt Lake Bay",2019-06-02,20190602,"eelgrass",3,NA,105,0,NA,"SALA","A"
"39",39,"Salt Lake Bay",2019-06-02,20190602,"eelgrass",4,NA,98,0,NA,"SALA","A"
"40",40,"Salt Lake Bay",2019-06-02,20190602,"eelgrass",5,NA,77,0,NA,"SALA","A"
"41",41,"North Pass",2019-05-09,20190509,"eelgrass",1,NA,57,0,NA,"NPAS","A"
"42",42,"North Pass",2019-05-09,20190509,"eelgrass",2,NA,51,0,NA,"NPAS","A"
"43",43,"North Pass",2019-05-09,20190509,"eelgrass",3,NA,48,0,NA,"NPAS","A"
"44",44,"North Pass",2019-05-09,20190509,"eelgrass",4,NA,56,0,NA,"NPAS","A"
"45",45,"North Pass",2019-05-09,20190509,"eelgrass",5,NA,34,0,NA,"NPAS","A"
"46",46,"South Wadleigh",2019-05-10,20190510,"eelgrass",1,NA,98,0,NA,"SWAD","B"
"47",47,"South Wadleigh",2019-05-10,20190510,"eelgrass",2,NA,53,0,NA,"SWAD","B"
