quadrat_ID,site,bay_ID,date,YYYYMMDD,habitat,quadrat,total_biomass_g,density_0.25msq,flowering_0.25msq,notes,,
1,Reef harbor - eel,REEF_A,6/10/2021,20210610,eelgrass,1,N/A,21,2,Depth of survey ~4ft at low tide,,
2,Reef harbor - eel,REEF_A,6/10/2021,20210610,eelgrass,2,N/A,15,0,,,
3,Reef harbor - eel,REEF_A,6/10/2021,20210610,eelgrass,3,N/A,17,2,,,
4,Reef harbor - eel,REEF_A,6/10/2021,20210610,eelgrass,4,N/A,15,0,,,
5,Reef harbor - eel,REEF_A,6/10/2021,20210610,eelgrass,5,N/A,21,0,,,
6,Sylburn harbor - eel,SYLB_A,6/9/2021,20210609,eelgrass,1,N/A,26,0,Done on Snorkel,,
7,Sylburn harbor - eel,SYLB_A,6/9/2021,20210609,eelgrass,2,N/A,29,0,,,
8,Sylburn harbor - eel,SYLB_A,6/9/2021,20210609,eelgrass,3,N/A,10,0,,,
9,Sylburn harbor - eel,SYLB_A,6/9/2021,20210609,eelgrass,4,N/A,25,2,,,
10,Sylburn harbor - eel,SYLB_A,6/9/2021,20210609,eelgrass,5,N/A,9,0,,,
11,Tah bay - eel,TAHB_A,6/27/2021,20210627,eelgrass,1,12.1,18,2,Ulva in eelgrass quadrat,,
12,Tah bay - eel,TAHB_A,6/27/2021,20210627,eelgrass,2,2.5,28,2,Red blade in eelgrass quadrat,,
13,Tah bay - eel,TAHB_A,6/27/2021,20210627,eelgrass,3,N/A,12,2,,,
14,Tah bay - eel,TAHB_A,6/27/2021,20210627,eelgrass,4,N/A,27,2,,,
15,Tah bay - eel,TAHB_A,6/27/2021,20210627,eelgrass,5,N/A,28,2,,,
16,Tah bay - eel,TAHB_A,6/27/2021,20210627,kelp,1,0,N/A,N/A,,,
17,Tah bay - eel,TAHB_A,6/27/2021,20210627,kelp,2,51.2,4,0,Deep,,
18,Tah bay - eel,TAHB_A,6/27/2021,20210627,kelp,3,28,N/A,N/A,,, 
19,Tah bay - eel,TAHB_A,6/27/2021,20210627,kelp,4,27.7,N/A,N/A,,,
20,Tah bay - eel,TAHB_A,6/27/2021,20210627,kelp,5,1481.4,N/A,N/A,,,
21,Reef harbor - kelp,REEF_B,6/13/2021,20210613,kelp,1,292.5,N/A,N/A,"20% ulva, 10% curly red, 20% bushy re, 10% thin red with tuffs, 40% cobble",,
22,Reef harbor - kelp,REEF_B,6/13/2021,20210613,kelp,2,565.6,N/A,N/A,"5% ulva, 5% curvy red, 50% bushy red, 15% brown kelp, 25% cobble ",,
23,Reef harbor - kelp,REEF_B,6/13/2021,20210613,kelp,3,305.4,N/A,N/A,"50% bushy red, 15% ulva, 5% bladed red, 10% bushy red, 20% cobble",,
24,Reef harbor - kelp,REEF_B,6/13/2021,20210613,kelp,4,153,N/A,N/A,"20% ulva, 15% coarse red bushy, 35% fine red bushy, 5% red baled, 25% cobble ",,
25,Reef harbor - kelp,REEF_B,6/13/2021,20210613,kelp,5,364.9,N/A,N/A,"25% saccharina, 15% ulva, 20% bushy red, 20% bladed red, 5% small brown, 15% cobble ",,
26,Hunter bay - eel,HUNT_A,6/28/2021,20210628,eelgrass,1,N/A,11,1,Collected from outside of quadrat for canopy height,,
27,Hunter bay - eel,HUNT_A,6/28/2021,20210628,eelgrass,2,N/A,27,0,,,
28,Hunter bay - eel,HUNT_A,6/28/2021,20210628,eelgrass,3,N/A,6,0,Collected from outside of quadrat for canopy height,,
29,Hunter bay - eel,HUNT_A,6/28/2021,20210628,eelgrass,4,N/A,11,0,Collected from outside of quadrat for canopy height,,
30,Hunter bay - eel,HUNT_A,6/28/2021,20210628,eelgrass,5,N/A,9,0,Collected from outside of quadrat for canopy height,,
31,Kah shakes - kelp,KAHS_B,6/12/2021,20210612,kelp,1,148.9,N/A,N/A,"86% bare cobbles, 2% ulva, 10% brown bushy, 2%red and Red urchins at site in seine",,
32,Kah shakes - kelp,KAHS_B,6/12/2021,20210612,kelp,2,189.1,N/A,N/A,"20% brown bushy, 15% saach, 5% ulva, 60% bare cobble/pebble ",,
33,Kah shakes - kelp,KAHS_B,6/12/2021,20210612,kelp,3,976.6,N/A,N/A,"85% saach, 5% sparanegia pertusa, 10% bare ",,
34,Kah shakes - kelp,KAHS_B,6/12/2021,20210612,kelp,4,82.6,N/A,N/A,"1% laminara, 5% rockweed, 60% odenthalia spp, 5% ulva, 10% green sea moss, 5% s. pertusa, 14% boulder . Rock in quadrat",,
35,Kah shakes - kelp,KAHS_B,6/12/2021,20210612,kelp,5,246.5,N/A,N/A,"40% saach, 25% soft bushy brown, 10% bladed reds, 5% boulder, 5% ulva, 10% odonthalia, 15% spikey brown Boulder in quadrat",,
36,Dall bay - kelp,DALL_B,6/15/2021,20210615,kelp,1,833.7,N/A,N/A,"75% saccharina, 5% ulva, 10% sea fern, 10% boulder",,
37,Dall bay - kelp,DALL_B,6/15/2021,20210615,kelp,2,1039.8,N/A,N/A,"85% sacc, 5% sea fern, 5% boulder, 5% red bladed",,
38,Dall bay - kelp,DALL_B,6/15/2021,20210615,kelp,3,481.1,N/A,N/A,"35% fucus,, 10% sacch, 10% red bladed, 5% ulva, 5% irridescent red, 20% bushy red, 15% cobble",,
39,Dall bay - kelp,DALL_B,6/15/2021,20210615,kelp,4,430.9,N/A,N/A,"75% sea fern, 5% ulva, 10% red balded, 5% sacch, 5% cobble",,
40,Dall bay - kelp,DALL_B,6/15/2021,20210615,kelp,5,1504.1,N/A,N/A,"90% sacch, 10% cobble ",,
41,Kah shakes - eel,KAHS_A,6/11/2021,20210611,eelgrass,1,N/A,16,3,Eelgrass bed tucked between rocky/cobbly habitata with understory kelp(laminaria) had another eelgrass bed ajacent and further toward open water. Eelgrass bed begun around -2.5 ft and extended deeper out of visable ranger about 7 ft some hab quadrents had kelp and other algae ,,
42,Kah shakes - eel,KAHS_A,6/11/2021,20210611,eelgrass,2,N/A,24,1,,,
43,Kah shakes - eel,KAHS_A,6/11/2021,20210611,eelgrass,3,N/A,29,1,,,
44,Kah shakes - eel,KAHS_A,6/11/2021,20210611,eelgrass,4,N/A,42,0,,,
45,Kah shakes - eel,KAHS_A,6/11/2021,20210611,eelgrass,5,N/A,4,0,Took shoots from outside the quadrat for canopy height,,
46,Dall bay - eel,DALL_A,6/14/2021,20210614,eelgrass,1,N/A,12,0,Took shoots from outside the quadrat for canopy height,,
47,Dall bay - eel,DALL_A,6/14/2021,20210614,eelgrass,2,N/A,19,1,Took shoots from outside the quadrat for canopy height,,
48,Dall bay - eel,DALL_A,6/14/2021,20210614,eelgrass,3,N/A,22,1,Took shoots from outside the quadrat for canopy height,,
49,Dall bay - eel,DALL_A,6/14/2021,20210614,eelgrass,4,N/A,9,0,Took shoots from outside the quadrat for canopy height,,
50,Dall bay - eel,DALL_A,6/14/2021,20210614,eelgrass,5,N/A,24,2,Took shoots from outside the quadrat for canopy height,,
51,Moira - eel,MOIR_A,6/22/2021,20210622,eelgrass,1,N/A,68,0,,,
52,Moira - eel,MOIR_A,6/22/2021,20210622,eelgrass,2,N/A,67,0,,,
53,Moira - eel,MOIR_A,6/22/2021,20210622,eelgrass,3,N/A,22,0,,,
54,Moira - eel,MOIR_A,6/22/2021,20210622,eelgrass,4,N/A,54,2,,,
55,Moira - eel,MOIR_A,6/22/2021,20210622,eelgrass,5,N/A,35,0,,,
56,Sylburn harbor - kelp,SYLB_B,6/9/2021,20210609,kelp,1,945.3,N/A,N/A,"40% saccharina, 40% fucus, 5% fucus, 5% ulva, 5% bare",,
57,Sylburn harbor - kelp,SYLB_B,6/9/2021,20210609,kelp,2,473.2,N/A,N/A,"60% fucus, 10% ulva, 50% saccharina",,
58,Sylburn harbor - kelp,SYLB_B,6/9/2021,20210609,kelp,3,622.1,N/A,N/A,"70% fucus, 15% ulva, 15% saccharina",,
59,Sylburn harbor - kelp,SYLB_B,6/9/2021,20210609,kelp,4,1060.2,N/A,N/A,"80% saccharina, 20% fucus",,
60,Sylburn harbor - kelp,SYLB_B,6/9/2021,20210609,kelp,5,1016.9,N/A,N/A,100% fucus ,,
61,Moira - kelp,MOIR_B,6/23/2021,20210623,kelp,1,795,N/A,N/A,"Lots of parastichopus californicus in sampling area, saccharina dominant species",,
62,Moira - kelp,MOIR_B,6/23/2021,20210623,kelp,2,420.2,N/A,N/A,,,
63,Moira - kelp,MOIR_B,6/23/2021,20210623,kelp,3,1128,N/A,N/A,,,
64,Moira - kelp,MOIR_B,6/23/2021,20210623,kelp,4,954.9,N/A,N/A,,,
65,Moira - kelp,MOIR_B,6/23/2021,20210623,kelp,5,1138.7,N/A,N/A,,,
66,Nichols - kelp,NICH_B,6/25/2021,20210625,kelp,1,779.7,N/A,N/A,"30% Saccharina, 5% red bladed, 20% fine red, 25% shells/sand, and cobble 20%",,
67,Nichols - kelp,NICH_B,6/25/2021,20210625,kelp,2,487.2,N/A,N/A,"30% Saccharina, 20% cobble, 50% sand shells",,
68,Nichols - kelp,NICH_B,6/25/2021,20210625,kelp,3,702.9,N/A,N/A,"35% Saccharina, 40% brown moss, 5% fine red, 5% branch red, 15% large rocks",,
69,Nichols - kelp,NICH_B,6/25/2021,20210625,kelp,4,1128.1,N/A,N/A,"30% saccharina, 5% branching reds, 15% moss, 50% sand and shells",,
70,Nichols - kelp,NICH_B,6/25/2021,20210625,kelp,5,823.2,N/A,N/A,"30% Saccharina, 20% brown moss, 20% large rock, 30% sand shells ",,
71,Nichols - eel,NICH_A,6/26/2021,20210626,surfgrass,1,85.1,103,1,Weights and lengths for individual phyllospadix plants,,
72,Nichols - eel,NICH_A,6/26/2021,20210626,surfgrass,2,84.4,20,0,"Bed out of water, phyllospadix ",,
73,Nichols - eel,NICH_A,6/26/2021,20210626,surfgrass,3,87.3,89,0,phyllospadix ,,
