"","quadrat_ID","site","bay_id","date","YYYYMMDD","habitat_quadrat","quadrat","density_0.25msq","flowering_0.25msq","notes","siteID_NOAA","place_name","habitat_site","latitude","longitude","total_biomass_g"
"1",1,"Reef harbor - eel","REEF_A","6/10/2021",20210610,"eelgrass",1,"21","2","Depth of survey ~4ft at low tide",607,"Reef harbor","eelgrass",54.9684,-131.2492,NA
"2",2,"Reef harbor - eel","REEF_A","6/10/2021",20210610,"eelgrass",2,"15","0","",607,"Reef harbor","eelgrass",54.9684,-131.2492,NA
"3",3,"Reef harbor - eel","REEF_A","6/10/2021",20210610,"eelgrass",3,"17","2","",607,"Reef harbor","eelgrass",54.9684,-131.2492,NA
"4",4,"Reef harbor - eel","REEF_A","6/10/2021",20210610,"eelgrass",4,"15","0","",607,"Reef harbor","eelgrass",54.9684,-131.2492,NA
"5",5,"Reef harbor - eel","REEF_A","6/10/2021",20210610,"eelgrass",5,"21","0","",607,"Reef harbor","eelgrass",54.9684,-131.2492,NA
"6",6,"Sylburn harbor - eel","SYLB_A","6/9/2021",20210609,"eelgrass",1,"26","0","Done on Snorkel",614,"Sylburn harbor","eelgrass",55.179058,-131.582105,NA
"7",7,"Sylburn harbor - eel","SYLB_A","6/9/2021",20210609,"eelgrass",2,"29","0","",614,"Sylburn harbor","eelgrass",55.179058,-131.582105,NA
"8",8,"Sylburn harbor - eel","SYLB_A","6/9/2021",20210609,"eelgrass",3,"10","0","",614,"Sylburn harbor","eelgrass",55.179058,-131.582105,NA
"9",9,"Sylburn harbor - eel","SYLB_A","6/9/2021",20210609,"eelgrass",4,"25","2","",614,"Sylburn harbor","eelgrass",55.179058,-131.582105,NA
"10",10,"Sylburn harbor - eel","SYLB_A","6/9/2021",20210609,"eelgrass",5,"9","0","",614,"Sylburn harbor","eelgrass",55.179058,-131.582105,NA
"11",11,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"eelgrass",1,"18","2","Ulva in eelgrass quadrat",NA,"Tah Bay","eelgrass",54.830481,-132.286086,12.1
"12",12,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"eelgrass",2,"28","2","Red blade in eelgrass quadrat",NA,"Tah Bay","eelgrass",54.830481,-132.286086,2.5
"13",13,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"eelgrass",3,"12","2","",NA,"Tah Bay","eelgrass",54.830481,-132.286086,NA
"14",14,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"eelgrass",4,"27","2","",NA,"Tah Bay","eelgrass",54.830481,-132.286086,NA
"15",15,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"eelgrass",5,"28","2","",NA,"Tah Bay","eelgrass",54.830481,-132.286086,NA
"16",16,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"kelp",1,"N/A","N/A","",NA,"Tah Bay","eelgrass",54.830481,-132.286086,0
"17",17,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"kelp",2,"4","0","Deep",NA,"Tah Bay","eelgrass",54.830481,-132.286086,53.7
"18",18,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"kelp",3,"N/A","N/A","",NA,"Tah Bay","eelgrass",54.830481,-132.286086,28
"19",19,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"kelp",4,"N/A","N/A","",NA,"Tah Bay","eelgrass",54.830481,-132.286086,27.7
"20",20,"Tah bay - eel","TAHB_A","6/27/2021",20210627,"kelp",5,"N/A","N/A","",NA,"Tah Bay","eelgrass",54.830481,-132.286086,1481.4
"21",21,"Reef harbor - kelp","REEF_B","6/13/2021",20210613,"kelp",1,"N/A","N/A","20% ulva, 10% curly red, 20% bushy re, 10% thin red with tuffs, 40% cobble",606,"Reef harbor","kelp",54.974693,-131.255107,292.5
"22",22,"Reef harbor - kelp","REEF_B","6/13/2021",20210613,"kelp",2,"N/A","N/A","5% ulva, 5% curvy red, 50% bushy red, 15% brown kelp, 25% cobble ",606,"Reef harbor","kelp",54.974693,-131.255107,565.6
"23",23,"Reef harbor - kelp","REEF_B","6/13/2021",20210613,"kelp",3,"N/A","N/A","50% bushy red, 15% ulva, 5% bladed red, 10% bushy red, 20% cobble",606,"Reef harbor","kelp",54.974693,-131.255107,305.4
"24",24,"Reef harbor - kelp","REEF_B","6/13/2021",20210613,"kelp",4,"N/A","N/A","20% ulva, 15% coarse red bushy, 35% fine red bushy, 5% red baled, 25% cobble ",606,"Reef harbor","kelp",54.974693,-131.255107,153
"25",25,"Reef harbor - kelp","REEF_B","6/13/2021",20210613,"kelp",5,"N/A","N/A","25% saccharina, 15% ulva, 20% bushy red, 20% bladed red, 5% small brown, 15% cobble ",606,"Reef harbor","kelp",54.974693,-131.255107,364.9
"26",26,"Hunter bay - eel","HUNT_A","6/28/2021",20210628,"eelgrass",1,"11","1","Collected from outside of quadrat for canopy height",NA,"Hunter Bay","eelgrass",54.872263,-132.308073,NA
"27",27,"Hunter bay - eel","HUNT_A","6/28/2021",20210628,"eelgrass",2,"27","0","",NA,"Hunter Bay","eelgrass",54.872263,-132.308073,NA
"28",28,"Hunter bay - eel","HUNT_A","6/28/2021",20210628,"eelgrass",3,"6","0","Collected from outside of quadrat for canopy height",NA,"Hunter Bay","eelgrass",54.872263,-132.308073,NA
"29",29,"Hunter bay - eel","HUNT_A","6/28/2021",20210628,"eelgrass",4,"11","0","Collected from outside of quadrat for canopy height",NA,"Hunter Bay","eelgrass",54.872263,-132.308073,NA
"30",30,"Hunter bay - eel","HUNT_A","6/28/2021",20210628,"eelgrass",5,"9","0","Collected from outside of quadrat for canopy height",NA,"Hunter Bay","eelgrass",54.872263,-132.308073,NA
"31",31,"Kah shakes - kelp","KAHS_B","6/12/2021",20210612,"kelp",1,"N/A","N/A","86% bare cobbles, 2% ulva, 10% brown bushy, 2%red and Red urchins at site in seine",605,"Kah shakes","kelp",55.066147,-130.989508,148.9
"32",32,"Kah shakes - kelp","KAHS_B","6/12/2021",20210612,"kelp",2,"N/A","N/A","20% brown bushy, 15% saach, 5% ulva, 60% bare cobble/pebble ",605,"Kah shakes","kelp",55.066147,-130.989508,189.1
"33",33,"Kah shakes - kelp","KAHS_B","6/12/2021",20210612,"kelp",3,"N/A","N/A","85% saach, 5% sparanegia pertusa, 10% bare ",605,"Kah shakes","kelp",55.066147,-130.989508,976.6
