quadrat_ID,site,bay_ID,date,YYYYMMDD,habitat,quadrat,total_biomass_g,density_0.25msq,flowering_0.25msq,depth_ft,time,notes
1,Point Ildefonso,ILDE_A,06/26/2022,20220626,eel,1,N/A,114,2,2,732,
2,Point Ildefonso,ILDE_A,06/26/2022,20220626,eel,2,N/A,98,0,1.5,752,
3,Point Ildefonso,ILDE_A,06/26/2022,20220626,eel,3,N/A,77,1,3,804,
4,Point Ildefonso,ILDE_A,06/26/2022,20220626,eel,4,N/A,105,0,3.5,817,"thick, wide blades that are seemingly longer than other bags"
5,Point Ildefonso,ILDE_A,06/26/2022,20220626,eel,5,N/A,81,0,2.5,827,
6,Point Ildefonso,ILDE_A,06/26/2022,20220626,kelp,1,2.3,N/A,N/A,4,628,
7,Point Ildefonso,ILDE_A,06/26/2022,20220626,kelp,2,757.7,N/A,N/A,3,638,
8,Point Ildefonso,ILDE_A,06/26/2022,20220626,kelp,3,139.6,N/A,N/A,3.5,647,
9,Point Ildefonso,ILDE_A,06/26/2022,20220626,kelp,4,687.7,N/A,N/A,4,657,
10,Point Ildefonso,ILDE_A,06/26/2022,20220626,kelp,5,724.9,N/A,N/A,4,706,
11,Clam Island,CLAM_A,06/27/2022,20220627,eel,1,N/A,52,0,2,805,only 3 zostera out of 33 total shoots collected
12,Clam Island,CLAM_A,06/27/2022,20220627,eel,2,N/A,32,0,2,810,"no eelgrass, 100% phyllospadix serrulatus, some Chondracanthus exasperatus and Stephanocystis geminata"
13,Clam Island,CLAM_A,06/27/2022,20220627,eel,3,N/A,39,0,3,830,"100% zostera, Ulva lactuca present"
14,Clam Island,CLAM_A,06/27/2022,20220627,eel,4,N/A,22,0,4,830,
15,Clam Island,CLAM_A,06/27/2022,20220627,eel,5,N/A,19,0,4,837,a couple extra shoots grabbed outside of quadrat
16,Clam Island,CLAM_A,06/27/2022,20220627,kelp,1,168.4,N/A,N/A,5,715,
17,Clam Island,CLAM_A,06/27/2022,20220627,kelp,2,809.7,N/A,N/A,6,725,
18,Clam Island,CLAM_A,06/27/2022,20220627,kelp,3,182.5,N/A,N/A,3,735,
19,Clam Island,CLAM_A,06/27/2022,20220627,kelp,4,591.8,N/A,N/A,3,745,
20,Clam Island,CLAM_A,06/27/2022,20220627,kelp,5,586,N/A,N/A,,755,
21,Roasry Island,ROSA_A,06/28/2022,20220628,eel,1,N/A,76,0,3,730,no kelp quadrats collected at this site-- adjacent habitat is canopy
22,Roasry Island,ROSA_A,06/28/2022,20220628,eel,2,N/A,48,0,2,740,
23,Roasry Island,ROSA_A,06/28/2022,20220628,eel,3,N/A,52,0,2,750,
24,Roasry Island,ROSA_A,06/28/2022,20220628,eel,4,N/A,44,0,1.5,755,
25,Roasry Island,ROSA_A,06/28/2022,20220628,eel,5,N/A,41,0,3.5,805,
26,Triste Pt ,TRIS_A,06/29/2022,20220629,eel,1,N/A,97,0,1.5,830,"appears to be a Saccharina bed about 13ft deep MLW, mainly close to fresh water stream and eel grass extends deeper, rock outcroppings, very few epiphytes and few epifauna"
27,Triste Pt ,TRIS_A,06/29/2022,20220629,eel,2,N/A,106,0,1.5,840,
28,Triste Pt ,TRIS_A,06/29/2022,20220629,eel,3,N/A,84,12,1,853,bag composition: 19 phyllospadix/20 Zostera marina
29,Triste Pt ,TRIS_A,06/29/2022,20220629,eel,4,N/A,135,5,2,913,
30,Triste Pt ,TRIS_A,06/29/2022,20220629,eel,5,N/A,94,7,1.5,925,bag composition: 3 phyllospadix/40 Zostera marina
31,Santa Rita,SARI_A,06/30/2022,20220630,eel,1,N/A,84,0,3,1005,
32,Santa Rita,SARI_A,06/30/2022,20220630,eel,2,N/A,70,0,2,1017,
33,Santa Rita,SARI_A,06/30/2022,20220630,eel,3,N/A,78,0,3,1023,
34,Santa Rita,SARI_A,06/30/2022,20220630,eel,4,N/A,96,0,3,1028,"a lot of disease present, band of disease in the middle of the bed, not at edges"
35,Santa Rita,SARI_A,06/30/2022,20220630,eel,5,N/A,108,0,3,1041,
36,Santa Rita,SARI_A,06/30/2022,20220630,kelp,1,1009.7,N/A,N/A,1,849,
37,Santa Rita,SARI_A,06/30/2022,20220630,kelp,2,142.8,N/A,N/A,1,904,
38,Santa Rita,SARI_A,06/30/2022,20220630,kelp,3,140.5,N/A,N/A,1,913,
39,Santa Rita,SARI_A,06/30/2022,20220630,kelp,4,55.4,N/A,N/A,2,926,
40,Santa Rita,SARI_A,06/30/2022,20220630,kelp,5,377.3,N/A,N/A,1.5,937,
41,Harmony,HARM_A,07/01/2022,20220701,eel,1,N/A,50,2,3,955,
42,Harmony,HARM_A,07/01/2022,20220701,eel,2,N/A,51,3,3,1007,
43,Harmony,HARM_A,07/01/2022,20220701,eel,3,N/A,58,6,3,1005,thick blades 
44,Harmony,HARM_A,07/01/2022,20220701,eel,4,N/A,67,2,1.5,1013,skinnier blades than quadrat 3
45,Harmony,HARM_A,07/01/2022,20220701,eel,5,N/A,46,6,2,1020,
46,Harmony,HARM_A,07/01/2022,20220701,kelp,1,518.9,N/A,N/A,1,855,Partially submerged boulder next to eelgrass bed
47,Harmony,HARM_A,07/01/2022,20220701,kelp,2,313.9,N/A,N/A,2,903,
48,Harmony,HARM_A,07/01/2022,20220701,kelp,3,281.2,N/A,N/A,2,915,algae attached potentially at two spots along slope
49,Harmony,HARM_A,07/01/2022,20220701,kelp,4,593.8,N/A,N/A,3,930,
50,Harmony,HARM_A,07/01/2022,20220701,kelp,5,346.4,N/A,N/A,3,940,
51,Blanquizal Point,BLAQ_A,07/02/2022,20220702,eel,1,N/A,99,4,3,1012,lots of broken blades/potential grazde blades across the whole site
