"","quadrat_ID","site","bay_id","date","YYYYMMDD","habitat_quadrat","quadrat","total_biomass_g","density_0.25msq","flowering_0.25msq","depth_ft","time","notes","habitat_site","siteID_NOAA","latitude","longitude","place_name"
"1",1,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"eel",1,"N/A","114","2",2,732,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"2",2,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"eel",2,"N/A","98","0",1.5,752,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"3",3,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"eel",3,"N/A","77","1",3,804,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"4",4,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"eel",4,"N/A","105","0",3.5,817,"thick, wide blades that are seemingly longer than other bags","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"5",5,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"eel",5,"N/A","81","0",2.5,827,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"6",6,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"kelp",1,"2.3","N/A","N/A",4,628,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"7",7,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"kelp",2,"757.7","N/A","N/A",3,638,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"8",8,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"kelp",3,"139.6","N/A","N/A",3.5,647,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"9",9,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"kelp",4,"687.7","N/A","N/A",4,657,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"10",10,"Point Ildefonso","ILDE_A","06/26/2022",20220626,"kelp",5,"724.9","N/A","N/A",4,706,"","mixed",NA,55.577071,-133.26439,"Point Ildefonso"
"11",11,"Clam Island","CLAM_A","06/27/2022",20220627,"eel",1,"N/A","52","0",2,805,"only 3 zostera out of 33 total shoots collected","mixed",NA,55.517981,-133.158075,"Clam island"
"12",12,"Clam Island","CLAM_A","06/27/2022",20220627,"eel",2,"N/A","32","0",2,810,"no eelgrass, 100% phyllospadix serrulatus, some Chondracanthus exasperatus and Stephanocystis geminata","mixed",NA,55.517981,-133.158075,"Clam island"
"13",13,"Clam Island","CLAM_A","06/27/2022",20220627,"eel",3,"N/A","39","0",3,830,"100% zostera, Ulva lactuca present","mixed",NA,55.517981,-133.158075,"Clam island"
"14",14,"Clam Island","CLAM_A","06/27/2022",20220627,"eel",4,"N/A","22","0",4,830,"","mixed",NA,55.517981,-133.158075,"Clam island"
"15",15,"Clam Island","CLAM_A","06/27/2022",20220627,"eel",5,"N/A","19","0",4,837,"a couple extra shoots grabbed outside of quadrat","mixed",NA,55.517981,-133.158075,"Clam island"
"16",16,"Clam Island","CLAM_A","06/27/2022",20220627,"kelp",1,"168.4","N/A","N/A",5,715,"","mixed",NA,55.517981,-133.158075,"Clam island"
