"","species"
"1","Acrosiphinia arcta"
"2","Acrosiphinia spp"
"3","Ahnfeltia fastigiata"
"4","Analipus japonicus"
"5","Blidingia minima"
"6","Chorda filum"
"7","Chordaria flagelliformis"
"8","Constantinia spp"
"9","Coraline algae"
"10","Corallina vancouveriensis"
"11","Cumantamion decipiens "
"12","Cumanthamnion decipiens"
"13","Cymathaere triplicata"
"14","Desmarestia spp"
"15","Desmarestia viridis"
"16","Dictyosiphon foeniculaceus  "
"17","Ectocarpus siliculosus"
"18","Farlowia mollis"
"19","Fucus distichus"
"20","Laminaria saccharina"
"21","Laminaria yezoensis"
"22","Macrocystis pyrifera"
"23","Neorhodomela aculeata"
"24","Odonthalia spp"
"25","Palmaria callophyllis"
"26","Palmaria mollis"
"27","Palmaria spp"
"28","Petalonia fascia"
"29","Phyllospadix serratus"
"30","Polyneura latissima"
"31","Polysiphonia "
"32","Punctaria lobata"
"33","Saccharina groenlandica"
"34","Saccharina latissima"
"35","Saccharina spp"
"36","Sargassum muticum"
"37","Sargassum spp"
"38","Sparlingia pertusa"
"39","Stephanocystis"
"40","Ulva lactuca"
"41","Ulva linza"
"42","Ulva spp"
"43","Zostera marina"
