"","species_by_quadrat_ID","quadrat_ID","species","weight","%_cover","notes"
"1",1,1,"Ulva lactuca",49.8,2,NA
"2",2,1,"Saccharina latissima",571.1,95,NA
"3",3,2,"Ulva lactuca",80.3,10,NA
"4",4,2,"Saccharina latissima",150.1,90,NA
"5",5,3,"Saccharina latissima",761.1,98,NA
"6",6,3,"Ulva lactuca",101.6,2,NA
"7",7,3,"Fucus distichus",4.3,NA,NA
"8",8,3,"Biomass",2.4,NA,NA
"9",9,4,"Saccharina latissima",596.5,100,NA
"10",10,4,"Ulva lactuca",75.9,NA,NA
"11",11,4,"Cymathaere triplicata",41.9,NA,NA
"12",12,5,"Ulva lactuca",66,3,NA
"13",13,5,"Fucus distichus",145.4,95,NA
"14",14,5,"Saccharina groelandica",537.3,NA,NA
"15",15,106,"Chordaria flagelliformis",4,NA,NA
"16",16,106,"Chorda filum",320,5,NA
"17",17,106,"Saccharina spp",141,20,NA
"18",18,106,"Ulva spp",36,30,NA
"19",19,106,"Stephanocystis",7,NA,NA
"20",20,107,"Chorda filum",55,1,NA
"21",21,107,"Saccharina spp",15,1,NA
"22",22,107,"Ulva Spp",46,25,NA
"23",23,107,"Sargassum",12,4,NA
"24",24,108,"Chorda filum",130,5,NA
"25",25,108,"Saccharina spp",4,NA,NA
"26",26,108,"Punctaria lobata",7,NA,NA
"27",27,108,"Ulva spp",23,NA,NA
"28",28,109,"Phyllospadix",97,25,NA
"29",29,109,"Chorda filum",36,1,NA
"30",30,109,"Saccharina spp",30,1,NA
"31",31,109,"Ulva spp",17,NA,NA
"32",32,110,"Desmarestia viridis",132,15,NA
"33",33,110,"Saccharina spp",104,35,NA
"34",34,110,"Chorda filum",161,5,NA
"35",35,110,"Ulva spp",19,NA,NA
"36",36,111,"Zostera marina",87.3,4.6,"percent is a portion of combine totals"
"37",37,111,"Phyllospadix scouleri",16.2,25.4,NA
"38",38,111,"Fucus distichus",15.1,NA,NA
"39",39,111,"Punctaria lobata",462.4,50,NA
"40",40,111,"Neorhodomela aculeata",19.8,NA,NA
"41",41,111,"Ulva lactuca",20,1,NA
"42",42,111,"Acrosiphinia arcta",23.7,NA,NA
"43",43,111,"Blidingia minima",25.1,NA,NA
"44",44,112,"Fucus distichus",3.7,NA,NA
"45",45,112,"Ulva lactuca",18.2,NA,NA
"46",46,112,"Ulva linza",14.3,NA,NA
"47",47,112,"Punctaria lobata",443.2,75,NA
"48",48,112,"Acrosiphinia arcta",5.1,NA,NA
"49",49,112,"Neorhodomela aculeata",6.4,NA,NA
"50",50,112,"Palmaria spp",1.5,NA,NA
"51",51,112,"Phyllospadix scouleri",76.5,15.8,NA
"52",52,112,"Zostera marina",44.5,9.2,NA
"53",53,113,"Fucus distichus",6.3,NA,NA
"54",54,113,"Punctaria lobata",325.3,80,NA
"55",55,113,"Neorhodomela aculeata",12.7,NA,NA
"56",56,113,"Phyllospadix scouleri",17.7,12.3,NA
"57",57,113,"Zostera marina",82.7,2.7,NA
"58",58,113,"Ulva lactuca",4.9,NA,NA
"59",59,114,"Fucus distichus",15.2,NA,NA
"60",60,114,"Laminaria saccharina",36.1,5,NA
"61",61,114,"Neorhodomela aculeata",208.1,NA,NA
"62",62,114,"Ulva lactuca",45.7,NA,NA
"63",63,114,"Punctaria lobata",368.4,65,NA
"64",64,114,"Zostera marina",32.7,4.7,NA
"65",65,114,"Phyllospadix scouleri",72.1,10.3,NA
"66",66,115,"Fucus distichus",43.2,10,NA
"67",67,115,"Laminaria saccharina",15,NA,NA
"68",68,115,"Ulva lactuca",151,NA,NA
"69",69,115,"Punctaria lobata",195.5,NA,NA
"70",70,115,"Phyllospadix scouleri",18.2,2.2,NA
"71",71,115,"Zostera marina",61.3,7.8,NA
"72",72,115,"Polysiphonia",22.4,NA,NA
