species_scientific_name,alternative_species_names
Acrosiphinia arcta,
Agarum clathratum,
Agarum spp,
Ahnfeltia fastigiata,
Blidingia minima,
Callophyllis spp,
Ceramiales (order),
Ceramium pacificum,
Chaetomorpha spp,
Chondracanthus exasperatus,
Chorda filum,
Chordaria flagelliformis,
Constantinea rosa-marina,
Costaria costata,
Cryptosiphonia woodii,
Cymathaere triplicata,
Desmarestia aculeata,
Desmarestia viridis,
Dictyosiphon sp,
Dictyosiphon foeniculaceus,
Dumontia alaskana,
Farlowia mollis,
Fucus distichus,
Fucus gardneri,
Halosaccion glandiforme,
Laminaria saccharina,
Laminaria yezoensis,
Leathesia marina,
Mazzaella phyllocarpa,
Mazzaella splendens,
Microcladia borealis,
Neorhodomela oregana,
Neorhodomela aculeata,
Neorhodomela larix,
Odonthalia floccosa f. comosa,
Odonthalia spp,
Opuntiella californica,
Palmaria hecatensis,
Palmaria mollis,
Phyllospadix scouleri,
Phyllospadix scouleri,
Polyneura latissima,
Pterosiphonia spp,
Pterosiphonia hamata,
Ptilota serrata,
Punctaria lobata,
Saccharina groenlandica,
Saccharina latissima,
Saccharina spp,
Schizymenia pacifica,
Sparlingia pertusa,
Sphacelaria rigidula,
Ulva lactuca,
Ulva linza,
Unknown Finely Branched Reds,
Zostera marina,
Stephanocystis geminata,Cystoseira geminata
Gracilaria - Gracilariopsis sp. ,
Callophyllis firma,
Mixed bladed red ,
Odonthalia setacea,
Neogastroclonium subarticulatum,
Soranthera ulvoidea,
Corallina officinalis,
Schizymena pacifica,
Osmundea spectabilis,
Sarcodiotheca gaudichaudii,
Euthora cristata,
Ulva prolifera,
Phyllospadix serrulatus,
Hymenena ruthenica,
Eudesme virescens,
