species_by_quadrat_ID,quadrat_ID,species,weight,%_cover,notes
1,1,Ulva lactuca,49.8,2,
2,1,Saccharina latissima,571.1,95,
3,1,bare rock,,3,
4,2,Ulva lactuca,80.3,10,
5,2,Saccharina latissima,150.1,90,
6,3,Saccharina latissima,761.1,98,
7,3,Ulva lactuca,101.6,2,
8,3,Fucus distichus,4.3,NA,
9,3,Biomass,2.4,NA,
10,4,Saccharina latissima,596.5,100,
11,4,Ulva lactuca,75.9,NA,
12,4,Cymathaere triplicata,41.9,NA,
13,5,Ulva lactuca,66,3,
14,5,Fucus distichus,145.4,NA,
15,5,Saccharina groelandica,537.3,95,
16,5,bare rock,,2,
17,106,Chordaria flagelliformis,4,NA,
18,106,Chorda filum,320,5,
19,106,Saccharina spp,141,20,
20,106,Ulva spp,36,30,
21,106,Stephanocystis,7,NA,
22,106,bare rock/sediment exposed/uncovered,,45,
23,107,Chorda filum,55,1,
24,107,Saccharina spp,15,1,
25,107,Ulva Spp,46,25,
26,107,Sargassum,12,4,
27,107,bare,,69,
28,108,Chorda filum,130,5,
29,108,Saccharina spp,4,NA,
30,108,Punctaria lobata,7,NA,
31,108,Ulva spp,23,NA,
32,108,course sand w/green algae,,95,
33,109,Phyllospadix,97,25,
34,109,Chorda filum,36,1,
35,109,Saccharina spp,30,1,
36,109,Ulva spp,17,NA,
37,109,bare,,73,percent is a portion of combine totals
38,110,Desmarestia viridis,132,15,
39,110,Saccharina spp,104,35,
40,110,Chorda filum,161,5,
41,110,Ulva spp,19,NA,
42,110,bare,,45,
43,111,Zostera marina,87.3,4.6,
44,111,Phyllospadix scouleri,16.2,25.4,
45,111,Fucus distichus,15.1,NA,
46,111,Punctaria lobata,462.4,50,
47,111,Neorhodomela aculeata,19.8,NA,
48,111,Ulva lactuca,20,1,
49,111,Acrosiphinia arcta,23.7,NA,
50,111,Blidingia minima,25.1,NA,
51,111,bare,,19,
52,112,Fucus distichus,3.7,NA,
53,112,Ulva lactuca,18.2,NA,
54,112,Ulva linza,14.3,NA,
55,112,Punctaria lobata,443.2,75,
56,112,Acrosiphinia arcta,5.1,NA,
57,112,Neorhodomela aculeata,6.4,NA,
58,112,Palmaria spp,1.5,NA,
59,112,Phyllospadix scouleri,76.5,15.8,
60,112,Zostera marina,44.5,9.2,
61,113,Fucus distichus,6.3,NA,
62,113,Punctaria lobata,325.3,80,
63,113,Neorhodomela aculeata,12.7,NA,
64,113,Phyllospadix scouleri,17.7,12.3,
65,113,Zostera marina,82.7,2.7,
66,113,Ulva lactuca,4.9,NA,
67,113,bare,,5,
68,114,Fucus distichus,15.2,NA,
69,114,Laminaria saccharina,36.1,5,This name is currently regarded as a synonym of Saccharina latissima
70,114,Neorhodomela aculeata,208.1,NA,
71,114,Ulva lactuca,45.7,NA,
72,114,Punctaria lobata,368.4,65,
73,114,Zostera marina,32.7,4.7,
74,114,Phyllospadix scouleri,72.1,10.3,
75,114,bare,,15,
76,115,Fucus distichus,43.2,NA,
77,115,Laminaria saccharina,15,NA,This name is currently regarded as a synonym of Saccharina latissima
78,115,Ulva lactuca,151,10,
79,115,Punctaria lobata,195.5,70,
80,115,Phyllospadix scouleri,18.2,2.2,
81,115,Zostera marina,61.3,7.8,
82,115,Polysiphonia ,22.4,NA,
83,115,Acrosiphinia arcta,48.6,NA,
84,115,Dictyosiphon foeniculaceus  ,28.9,NA,
85,115,Desmarestia spp,3.2,NA,
86,115,Neorhodomela aculeata,28.7,NA,
87,115,Ahnfeltia fastigiata,24.2,NA,
88,115,Acrosiphinia spp,16.1,NA,
89,115,bare,,10,
90,116,Saccharina spp,401.3,98,
91,116,Saccharina latissima,12.2,NA,
92,116,Saccharina groenlandica,94.7,NA,
93,116,Ulva spp,12.4,NA,
94,116,Fucus distichus,127.7,2,
95,116,Neorhodomela aculeata,163.3,NA,
96,116,Constantinia spp,4,NA,
97,116,Palmaria spp,6.7,NA,
98,117,Neorhodomela aculeata,70.8,NA,
99,117,Ulva spp,136.5,5,
100,117,Fucus distichus,449.3,5,
101,117,Laminaria yezoensis,74,NA,
102,117,Saccharina latissima,388.5,5,
103,117,Palmaria spp,15.4,NA,
104,117,Analipus japonicus,1.2,NA,
105,117,Biomass,3.7,NA,
106,117,Macrocystis pyrifera,,80,
107,117,rock,,5,
108,118,Fucus distichus,185.5,20,
109,118,Sargassum spp,47.3,30,
110,118,Saccharina latissima,279.5,NA,
111,118,Saccharina groenlandica,64.6,NA,
112,118,Palmaria spp,33.3,NA,
113,118,Ulva spp,99.1,20,
114,118,Desmersita spp,21.6,10,
115,118,Neorhodomela aculeata,29.1,5,
116,118,Odonthalia spp,1.7,NA,
117,118,Ectocarpus siliculosus,14.7,NA,
118,118,bare rock,,15,
119,119,Fucus distichus,55.5,10,
120,119,Petalonia fascia,5.2,NA,
121,119,Saccharina latissima,72.1,9.7,
122,119,Saccharina groenlandica,152.7,20.3,
123,119,Palmaria spp,26.5,NA,
124,119,Macrocystis pyrifera,1063.7,10,
125,119,Ulva lactuca ,213.4,26,
126,119,Ulva spp,32.8,4,
127,119,Neorhodomela aculeata,11.7,NA,
128,119,Desmarestia spp,37.9,NA,
129,119,Biomass,29.5,5,
130,119,bare rock,,15,
131,120,Ulva spp,535.4,40,
132,120,Laminaria yezoensis,45.8,NA,
133,120,Palmaria spp,30.8,NA,
134,120,Saccharina latissima,223.8,36,
135,120,Saccharina groenlandica,23.7,4,10% coralline 
136,120,Sargassum spp,16.1,5,
137,120,Fucus distichus,17.4,NA,
138,120,Neorhodomela aculeata,3.2,NA,
139,120,Micellaneous,,10,
140,120,rock,,5,
141,121,Saccharina spp,209,10,
142,121,Neorhodomela aculeata,121,5,
143,121,Sargassum muticum,22,1,
144,121,Sparangia pertula,54,NA,
145,121,Ulva spp,75,3,
146,121,Polyneura latissima,33,NA,5% coralline
147,121,Corallina vancouveriensis,1,NA,
148,121,Palmaria callophyllis,3,NA,
149,121,Odonthalia spp,54,NA,notes
150,121,Falonia mollis,2,NA,
151,121,bare,,81,
152,122,Saccharina spp,1500,80,
153,122,Coraline algae,,10,
154,122,bare,,10,
155,123,Saccharina spp,650,100,
156,123,Sargassum muticum,3,NA,
157,123,Palmaria mollis,1,NA,
158,123,Farlomia mollis,1,NA,
159,123,Sparangia pertula,1,NA,
160,123,Cumantamion decipiens ,2,NA,
161,124,Saccharina spp,175,20,
162,124,Neorhodomela aculeata,24,1,
163,124,Sargassum muticum,31,5,
164,124,Odonthalia spp,2,NA,
165,124,Sparangia pertula,5,NA,
166,124,Polyneura latissima,6,NA,
167,124,Coraline algae,,5,
168,124,Ulva spp,,1,
169,124,shell hash/boulders,,68,
170,125,Saccharina spp,658,100,
171,125,Neorhodomela aculeata,5,NA,
