"","species_by_quadrat_ID","quadrat_ID","species","weight","percent_cover","notes"
"1",1,1,"Ulva lactuca",49.8,2,""
"2",2,1,"Saccharina latissima",571.1,95,""
"3",3,1,"bare rock",NA,3,""
"4",4,2,"Ulva lactuca",80.3,10,""
"5",5,2,"Saccharina latissima",150.1,90,""
"6",6,3,"Saccharina latissima",761.1,98,""
"7",7,3,"Ulva lactuca",101.6,2,""
"8",8,3,"Fucus distichus",4.3,NA,""
"9",9,3,"Biomass",2.4,NA,""
"10",10,4,"Saccharina latissima",596.5,100,""
"11",11,4,"Ulva lactuca",75.9,NA,""
"12",12,4,"Cymathaere triplicata",41.9,NA,""
"13",13,5,"Ulva lactuca",66,3,""
"14",14,5,"Fucus distichus",145.4,NA,""
"15",15,5,"Saccharina groenlandica",537.3,95,""
"16",16,5,"bare rock",NA,2,""
"17",17,106,"Chordaria flagelliformis",4,NA,""
"18",18,106,"Chorda filum",320,5,""
"19",19,106,"Saccharina spp",141,20,""
"20",20,106,"Ulva spp",36,30,""
"21",21,106,"Stephanocystis",7,NA,""
"22",22,106,"bare rock/sediment exposed/uncovered",NA,45,""
"23",23,107,"Chorda filum",55,1,""
"24",24,107,"Saccharina spp",15,1,""
"25",25,107,"Ulva spp",46,25,""
"26",26,107,"Sargassum spp",12,4,""
"27",27,107,"bare",NA,69,""
"28",28,108,"Chorda filum",130,5,""
"29",29,108,"Saccharina spp",4,NA,""
"30",30,108,"Punctaria lobata",7,NA,""
"31",31,108,"Ulva spp",23,NA,""
"32",32,108,"course sand w/green algae",NA,95,""
"33",33,109,"Phyllospadix serratus",97,25,""
"34",34,109,"Chorda filum",36,1,""
"35",35,109,"Saccharina spp",30,1,""
"36",36,109,"Ulva spp",17,NA,""
"37",37,109,"bare",NA,73,"percent is a portion of combine totals"
"38",38,110,"Desmarestia viridis",132,15,""
"39",39,110,"Saccharina spp",104,35,""
"40",40,110,"Chorda filum",161,5,""
"41",41,110,"Ulva spp",19,NA,""
"42",42,110,"bare",NA,45,""
"43",43,111,"Zostera marina",87.3,4.6,""
"44",44,111,"Phyllospadix serratus",16.2,25.4,""
"45",45,111,"Fucus distichus",15.1,NA,""
"46",46,111,"Punctaria lobata",462.4,50,""
"47",47,111,"Neorhodomela aculeata",19.8,NA,""
"48",48,111,"Ulva lactuca",20,1,""
"49",49,111,"Acrosiphinia arcta",23.7,NA,""
"50",50,111,"Blidingia minima",25.1,NA,""
"51",51,111,"bare",NA,19,""
"52",52,112,"Fucus distichus",3.7,NA,""
"53",53,112,"Ulva lactuca",18.2,NA,""
"54",54,112,"Ulva linza",14.3,NA,""
"55",55,112,"Punctaria lobata",443.2,75,""
"56",56,112,"Acrosiphinia arcta",5.1,NA,""
"57",57,112,"Neorhodomela aculeata",6.4,NA,""
"58",58,112,"Palmaria spp",1.5,NA,""
"59",59,112,"Phyllospadix serratus",76.5,15.8,""
"60",60,112,"Zostera marina",44.5,9.2,""
"61",61,113,"Fucus distichus",6.3,NA,""
"62",62,113,"Punctaria lobata",325.3,80,""
"63",63,113,"Neorhodomela aculeata",12.7,NA,""
"64",64,113,"Phyllospadix serratus",17.7,12.3,""
"65",65,113,"Zostera marina",82.7,2.7,""
"66",66,113,"Ulva lactuca",4.9,NA,""
"67",67,113,"bare",NA,5,""
"68",68,114,"Fucus distichus",15.2,NA,""
"69",69,114,"Laminaria saccharina",36.1,5,"This name is currently regarded as a synonym of Saccharina latissima"
"70",70,114,"Neorhodomela aculeata",208.1,NA,""
"71",71,114,"Ulva lactuca",45.7,NA,""
"72",72,114,"Punctaria lobata",368.4,65,""
"73",73,114,"Zostera marina",32.7,4.7,""
"74",74,114,"Phyllospadix serratus",72.1,10.3,""
"75",75,114,"bare",NA,15,""
"76",76,115,"Fucus distichus",43.2,NA,""
"77",77,115,"Laminaria saccharina",15,NA,"This name is currently regarded as a synonym of Saccharina latissima"
"78",78,115,"Ulva lactuca",151,10,""
"79",79,115,"Punctaria lobata",195.5,70,""
"80",80,115,"Phyllospadix serratus",18.2,2.2,""
"81",81,115,"Zostera marina",61.3,7.8,""
"82",82,115,"Polysiphonia ",22.4,NA,""
"83",83,115,"Acrosiphinia arcta",48.6,NA,""
"84",84,115,"Dictyosiphon foeniculaceus  ",28.9,NA,""
"85",85,115,"Desmarestia spp",3.2,NA,""
"86",86,115,"Neorhodomela aculeata",28.7,NA,""
"87",87,115,"Ahnfeltia fastigiata",24.2,NA,""
"88",88,115,"Acrosiphinia spp",16.1,NA,""
"89",89,115,"bare",NA,10,""
"90",90,116,"Saccharina spp",401.3,98,""
"91",91,116,"Saccharina latissima",12.2,NA,""
"92",92,116,"Saccharina groenlandica",94.7,NA,""
"93",93,116,"Ulva spp",12.4,NA,""
"94",94,116,"Fucus distichus",127.7,2,""
"95",95,116,"Neorhodomela aculeata",163.3,NA,""
"96",96,116,"Constantinia spp",4,NA,""
"97",97,116,"Palmaria spp",6.7,NA,""
"98",98,117,"Neorhodomela aculeata",70.8,NA,""
"99",99,117,"Ulva spp",136.5,5,""
"100",100,117,"Fucus distichus",449.3,5,""
"101",101,117,"Laminaria yezoensis",74,NA,""
"102",102,117,"Saccharina latissima",388.5,5,""
"103",103,117,"Palmaria spp",15.4,NA,""
"104",104,117,"Analipus japonicus",1.2,NA,""
"105",105,117,"Biomass",3.7,NA,""
"106",106,117,"Macrocystis pyrifera",NA,80,""
"107",107,117,"rock",NA,5,""
"108",108,118,"Fucus distichus",185.5,20,""
"109",109,118,"Sargassum spp",47.3,30,""
"110",110,118,"Saccharina latissima",279.5,NA,""
"111",111,118,"Saccharina groenlandica",64.6,NA,""
"112",112,118,"Palmaria spp",33.3,NA,""
"113",113,118,"Ulva spp",99.1,20,""
"114",114,118,"Desmarestia spp",21.6,10,""
"115",115,118,"Neorhodomela aculeata",29.1,5,""
"116",116,118,"Odonthalia spp",1.7,NA,""
"117",117,118,"Ectocarpus siliculosus",14.7,NA,""
"118",118,118,"bare rock",NA,15,""
"119",119,119,"Fucus distichus",55.5,10,""
"120",120,119,"Petalonia fascia",5.2,NA,""
"121",121,119,"Saccharina latissima",72.1,9.7,""
"122",122,119,"Saccharina groenlandica",152.7,20.3,""
"123",123,119,"Palmaria spp",26.5,NA,""
"124",124,119,"Macrocystis pyrifera",1063.7,10,""
"125",125,119,"Ulva lactuca",213.4,26,""
"126",126,119,"Ulva spp",32.8,4,""
