"","quadrat_ID","species","weight_g","percent_cover","species_by_quadrat_ID","notes"
"1",71,"Phyllospadix serrulatus",85.1,NA,471,NA
"2",72,"Phyllospadix serrulatus",85.1,NA,472,NA
"3",73,"Phyllospadix serrulatus",78.2,NA,473,NA
"4",74,"Phyllospadix serrulatus",107.8,NA,474,NA
"5",75,"Phyllospadix serrulatus",73.5,NA,475,NA
"6",11,"Ulva lactuca",12.1,"Not collected",1,"Found in eelgrass"
"7",12,"Saccharina latissima",2.5,"Not collected",2,"Found in eelgrass"
"8",16,"Cobble",NA,"100",3,""
"9",17,"Fucus distichus",36.4,"15",4,"Collected at eelgrass site"
"10",17,"Saccharina latissima",13.3,"Not collected",5,""
"11",17,"Agarum clathratum",1.7,"Not collected",6,""
"12",17,"Pterosiphonia spp",2.3,"Not collected",7,""
"13",17,"mud",NA,"40",8,""
"14",17,"Zostera marina",NA,"45",9,""
"15",18,"Ulva lactuca",3.8,"Not collected",10,"Collected at eelgrass site"
"16",18,"Saccharina spp",12.9,"5",11,""
"17",18,"Agarum clathratum",11.3,"Not collected",12,""
"18",18,"Cobble",NA,"95",13,""
"19",19,"Ulva lactuca",27.7,"5",14,"Collected at eelgrass site"
"20",19,"Cobble",NA,"95",15,""
"21",20,"Saccharina latissima",994.3,"Not collected",16,"Collected at eelgrass site"
"22",20,"Saccharina spp",487.1,"95",17,""
"23",20,"Cobble",NA,"5",18,""
"24",21,"Ulva lactuca",51.8,"20",19,""
"25",21,"Ptilota serrata",1.4,"10",20,""
"26",21,"Acrosiphonia arcta",0.9,"not collected",21,""
"27",21,"Neorhodomela aculeata",182.4,"20",22,""
"28",21,"Palmaria mollis",32.7,"not collected",23,""
"29",21,"Unknown Finely Branched Reds",12.5,"10",24,"Grouped sp"
"30",21,"Microcladia borealis",5.1,"not collected",25,""
"31",21,"Pterosiphonia spp",5.7,"not collected",26,""
"32",21,"Cobble",NA,"40",27,""
"33",22,"Acrosiphonia arcta",0.9,"not collected",28,""
"34",22,"Ulva lactuca",75.9,"5",29,""
"35",22,"Ptilota serrata",41.7,"not collected",30,""
"36",22,"Odonthalia floccosa f. comosa",77.1,"50",31,""
"37",22,"Neorhodomela aculeata",47.6,"not collected",32,""
"38",22,"Agarum spp",1.7,"15",33,""
"39",22,"Palmaria mollis",20.6,"5",34,""
"40",22,"Microcladia borealis",22.8,"not collected",35,""
"41",22,"Pterosiphonia spp",4,"not collected",36,""
"42",22,"Schizymenia pacifica",273,"not collected",37,""
"43",22,"Desmarestia aculeata",0.3,"not collected",38,""
"44",22,"Cobble",NA,"25",39,""
"45",23,"Acrosiphonia arcta",1.5,"not collected",40,""
"46",23,"Ulva lactuca",42.9,"15",41,""
"47",23,"Polyneura latissima",3.4,"not collected",42,""
"48",23,"Agarum spp",6.1,"not collected",43,""
"49",23,"Ptilota serrata",19.3,"not collected",44,""
"50",23,"Pterosiphonia spp",50.9,"not collected",45,""
"51",23,"Odonthalia floccosa f. comosa",91.5,"50",46,""
"52",23,"Neorhodomela aculeata",54.7,"10",47,""
"53",23,"Schizymenia pacifica",2.3,"5",48,""
"54",23,"Palmaria mollis",2,"not collected",49,""
"55",23,"Unknown Finely Branched Reds",30.8,"not collected",50,""
"56",23,"Cobble",NA,"20",51,""
"57",24,"Ulva lactuca",23.6,"20",52,""
"58",24,"Microcladia borealis",22.7,"not collected",53,""
"59",24,"Odonthalia floccosa f. comosa",34.1,"15",54,""
"60",24,"Polyneura latissima",0.9,"not collected",55,""
"61",24,"Palmaria mollis",4.1,"5",56,""
"62",24,"Pterosiphonia spp",2.5,"not collected",57,""
"63",24,"Unknown Finely Branched Reds",65.1,"35",58,""
"64",24,"Cobble/boulder",NA,"25",59,""
"65",25,"Ulva lactuca",32.1,"15",60,""
"66",25,"Neorhodomela aculeata",16.7,"20",61,""
"67",25,"Saccharina groenlandica",237.7,"25",62,""
"68",25,"Fucus distichus",1.9,"5",63,""
"69",25,"Mazzaella phyllocarpa",3.6,"not collected",64,""
"70",25,"Palmaria mollis",45,"20",65,""
"71",25,"Palmaria hecatensis",6.3,"not collected",66,""
"72",25,"Pterosiphonia spp",21.6,"not collected",67,""
"73",25,"Cobble/pebbles",NA,"15",68,""
"74",31,"Saccharina latissima",9.7,"2",69,""
"75",31,"Palmaria hecatensis",19.1,"not collected",70,""
"76",31,"Neorhodomela aculeata",54.5,"10",71,""
"77",31,"Pterosiphonia spp",35.3,"not collected",72,""
"78",31,"Ceramiales (order)",1.8,"not collected",73,""
"79",31,"Ulva linza",28.5,"2",74,""
"80",31,"Cobble",NA,"86",75,""
"81",32,"Saccharina latissima",70.7,"15",76,""
"82",32,"Ulva linza",6.5,"not collected",77,""
"83",32,"Palmaria hecatensis",1.3,"not collected",78,""
"84",32,"Ulva lactuca",22.4,"5",79,""
"85",32,"Chordaria flagelliformis",0.7,"not collected",80,""
"86",32,"Neorhodomela aculeata",38,"20",81,""
"87",32,"Acrosiphonia arcta",5.7,"not collected",82,""
"88",32,"Ceramiales (order)",6.4,"not collected",83,""
"89",32,"Pterosiphonia spp",37.4,"not collected",84,""
"90",32,"bare cobble/pebble",NA,"60",85,""
"91",33,"Saccharina latissima",925.2,"85",86,""
"92",33,"Sparlingia pertusa",12.6,"5",87,""
"93",33,"Desmarestia viridis",30.7,"not collected",88,""
"94",33,"Neorhodomela aculeata",0.8,"not collected",89,""
"95",33,"Pterosiphonia spp",7.3,"not collected",90,""
"96",33,"bare",NA,"10",91,""
"97",34,"Polyneura latissima",11.6,"5",92,""
"98",34,"Palmaria hecatensis",10.5,"not collected",93,""
"99",34,"Unknown Finely Branched Reds",32.8,"60",94,""
"100",34,"Acrosiphonia arcta",4.8,"10",95,""
"101",34,"Ulva linza",5.2,"5",96,""
"102",34,"Fucus distichus",0.4,"5",97,""
"103",34,"Mazzaella phyllocarpa",2.6,"1",98,""
"104",34,"Pterosiphonia spp",1.2,"not collected",99,""
"105",34,"Neorhodomela aculeata",5.9,"not collected",100,""
"106",34,"Cryptosiphonia woodii",7.6,"not collected",101,""
"107",34,"boulder",NA,"14",102,""
"108",35,"Saccharina latissima",109.1,"40",103,""
"109",35,"Costaria costata",36.7,"not collected",104,""
"110",35,"Neorhodomela aculeata",49.9,"25",105,""
"111",35,"Pterosiphonia spp",12.1,"not collected",106,""
"112",35,"Palmaria mollis",9.5,"10",107,""
"113",35,"Ulva lactuca",4.5,"5",108,""
"114",35,"Fucus distichus",7,"not collected",109,""
"115",35,"Cryptosiphonia woodii",2,"not collected",110,""
"116",35,"Unknown Finely Branched Reds",2.3,"not collected",111,""
"117",35,"Neorhodomela larix",13.4,"15",112,""
"118",35,"bare",NA,"5",113,""
"119",36,"Saccharina latissima",758.6,"75",114,""
"120",36,"Ptilota serrata",65.8,"10",115,""
"121",36,"Ulva lactuca",3.5,"5",116,""
"122",36,"Neorhodomela aculeata",2.6,"not collected",117,""
"123",36,"Opuntiella californica",1.3,"not collected",118,""
"124",36,"Palmaria mollis",1.9,"not collected",119,""
"125",36,"boulder",NA,"10",120,""
"126",37,"Saccharina latissima",1026.5,"85",121,""
"127",37,"Ptilota serrata",9.3,"5",122,""
"128",37,"Ulva lactuca",0.9,"not collected",123,""
"129",37,"Agarum clathratum",2.2,"not collected",124,""
"130",37,"Polyneura latissima",0.6,"5",125,""
"131",37,"Palmaria mollis",0.3,"not collected",126,""
"132",37,"boulder",NA,"5",127,""
"133",38,"Halosaccion glandiforme",4.5,"not collected",128,""
"134",38,"Ulva lactuca",23.5,"5",129,""
"135",38,"Fucus distichus",289.4,"35",130,""
"136",38,"Ptilota serrata",28.4,"not collected",131,""
"137",38,"Microcladia borealis",1.8,"not collected",132,""
"138",38,"Neorhodomela aculeata",27,"not collected",133,""
"139",38,"Chondracanthus exasperatus",8.3,"not collected",134,""
"140",38,"Saccharina latissima",33.7,"10",135,""
"141",38,"Palmaria mollis",19,"10",136,""
"142",38,"Odonthalia floccosa f. comosa",23.5,"20",137,""
"143",38,"Mazzaella splendens",10.8,"5",138,""
"144",38,"Unknown Finely Branched Reds",11.2,"not collected",139,""
"145",38,"Cobble",NA,"15",140,""
"146",39,"Ulva lactuca",8.9,"5",141,""
"147",39,"Saccharina latissima",21,"5",142,""
"148",39,"Neorhodomela aculeata",254.2,"not collected",143,""
"149",39,"Halosaccion glandiforme",16,"not collected",144,""
"150",39,"Microcladia borealis",55.6,"75",145,""
"151",39,"Chondracanthus exasperatus",5.8,"not collected",146,""
"152",39,"Mazzaella splendens",1.7,"not collected",147,""
"153",39,"Odonthalia floccosa f. comosa",1,"not collected",148,""
"154",39,"Palmaria mollis",15.9,"10",149,""
"155",39,"Leathesia marina",4.2,"not collected",150,""
"156",39,"Unknown Finely Branched Reds",46.6,"not collected",151,""
"157",39,"Cobble",NA,"5",152,""
"158",40,"Saccharina latissima",1504.1,"90",153,""
"159",40,"Cobble/sand",NA,"10",154,""
"160",56,"Fucus distichus",808.9,"40",155,""
"161",56,"Ulva lactuca",14.5,"15",156,""
"162",56,"Saccharina latissima",121.9,"40",157,""
"163",56,"bare",NA,"5",158,""
"164",57,"Fucus distichus",433.8,"60",159,""
"165",57,"Saccharina latissima",14.7,"5",160,""
"166",57,"Ulva lactuca",22.2,"10",161,""
"167",57,"Dictyosiphon foeniculaceus",0.4,"not collected",162,""
"168",57,"Farlowia mollis",1.5,"not collected",163,""
"169",57,"Odonthalia spp",0.6,"not collected",164,""
"170",57,"bare",NA,"25",165,""
"171",58,"Fucus distichus",454.2,"70",166,""
"172",58,"Ulva lactuca",84.1,"15",167,""
"173",58,"Saccharina latissima",75.2,"15",168,""
"174",58,"Farlowia mollis",3.4,"not collected",169,""
"175",58,"Sphacelaria rigidula",5.2,"not collected",170,""
"176",59,"Ulva lactuca",0.4,"not collected",171,""
"177",59,"Fucus distichus",619.4,"20",172,""
"178",59,"Saccharina latissima",438.2,"80",173,""
"179",59,"Farlowia mollis",2.2,"not collected",174,""
"180",60,"Saccharina latissima",2,"not collected",175,""
"181",60,"Fucus distichus",926.4,"100",176,""
"182",60,"Farlowia mollis",55.3,"not collected",177,""
"183",60,"Ulva lactuca",6.9,"not collected",178,""
"184",60,"Acrosiphonia arcta",12.1,"not collected",179,""
"185",60,"Odonthalia spp",12.5,"not collected",180,""
"186",60,"Chordaria flagelliformis",1.7,"not collected",181,""
"187",61,"Saccharina spp",788.4,"70",182,""
"188",61,"Palmaria mollis",2.1,"not collected",183,""
"189",61,"Chaetomorpha spp",3,"5",184,""
"190",61,"Ceramium pacificum",0.5,"2",185,""
"191",61,"Dictyosiphon foeniculaceus",1,"not collected",186,""
"192",61,"boulder",NA,"23",187,""
"193",62,"Dictyosiphon foeniculaceus",30.3,"not collected",188,""
"194",62,"Ceramium pacificum",3.1,"5",189,""
"195",62,"Chaetomorpha spp",7.1,"15",190,""
"196",62,"Agarum clathratum",104.2,"not collected",191,""
"197",62,"Palmaria hecatensis",0.8,"not collected",192,""
"198",62,"Saccharina groenlandica",92.2,"not collected",193,""
"199",62,"Sphacelaria rigidula",10.6,"10",194,""
"200",62,"Saccharina spp",171.9,"60",195,""
"201",62,"Cobble",NA,"10",196,""
"202",63,"Saccharina groenlandica",324.7,"80",197,""
"203",63,"Saccharina spp",794.8,"not collected",198,""
"204",63,"Sphacelaria rigidula",3.7,"2",199,""
"205",63,"Palmaria mollis",3.3,"not collected",200,""
"206",63,"Acrosiphonia arcta",1.5,"2",201,""
"207",63,"Cobble",NA,"16",202,""
"208",64,"Saccharina groenlandica",517.8,"80",203,""
"209",64,"Agarum clathratum",33,"not collected",204,""
"210",64,"Saccharina spp",372.6,"not collected",205,""
"211",64,"Dictyosiphon foeniculaceus",26.6,"5",206,""
"212",64,"Sphacelaria rigidula",3.7,"10",207,""
"213",64,"Chaetomorpha spp",1.2,"5",208,""
"214",65,"Saccharina groenlandica",721.4,"80",209,""
"215",65,"Mazzaella phyllocarpa",4.1,"not collected",210,""
"216",65,"Saccharina spp",406.5,"not collected",211,""
"217",65,"Ceramium pacificum",0.9,"not collected",212,""
"218",65,"Dumontia alaskana",4.3,"10",213,""
"219",65,"Sphacelaria rigidula",1.1,"not collected",214,""
"220",65,"Callophyllis spp",0.4,"2",215,""
"221",65,"Cobble",NA,"8",216,""
"222",66,"Saccharina latissima",486,"30",217,""
"223",66,"Saccharina spp",290.7,"not collected",218,""
"224",66,"Palmaria mollis",0.4,"5",219,""
"225",66,"Acrosiphonia arcta",2.6,"20",220,""
"226",66,"Sand/shells",NA,"25",221,""
"227",66,"Cobble",NA,"20",222,""
"228",67,"Saccharina groenlandica",282.5,"30",223,""
"229",67,"Saccharina spp",204.7,"not collected",224,""
"230",67,"Cobble",NA,"20",225,""
"231",67,"Sand/shells",NA,"50",226,""
"232",68,"Agarum clathratum",52.5,"not collected",227,""
"233",68,"Saccharina latissima",438.7,"35",228,""
"234",68,"Ulva lactuca",0.9,"not collected",229,""
"235",68,"Saccharina spp",206.6,"not collected",230,""
"236",68,"Palmaria mollis",2.5,"10",231,""
"237",68,"Acrosiphonia arcta",0.1,"40",232,""
"238",68,"Fucus distichus",1.6,"not collected",233,""
"239",68,"large rock",NA,"15",234,""
"240",69,"Saccharina latissima",648.8,"not collected",235,""
"241",69,"Saccharina groenlandica",241.7,"not collected",236,""
"242",69,"Saccharina spp",237.6,"30",237,""
"243",69,"branching red",NA,"5",238,""
"244",69,"moss",NA,"15",239,""
"245",69,"Sand/shells",NA,"50",240,""
"246",70,"Saccharina latissima",823.2,"30",241,""
"247",70,"Saccharina spp",185.5,"not collected",242,""
"248",70,"brown moss",NA,"20",243,""
"249",70,"large rock",NA,"20",244,""
"250",70,"Sand/shells",NA,"30",245,""
"251",76,"Ulva lactuca",2.8,"not collected",246,""
"252",76,"Dictyosiphon sp",0.2,"not collected",247,""
"253",76,"Saccharina spp",0.5,"40",248,""
"254",76,"Stephanocystis geminata",36.9,"2",249,""
"255",76,"Neorhodomela aculeata",130.9,"30",250,""
"256",76,"Desmarestia aculeata",0.3,"not collected",251,""
"257",76,"Unknown Finely Branched Reds",NA,"10",252,""
"258",76,"Callophyllis spp",0.3,"not collected",253,""
"259",76,"Polyneura latissima",0.3,"not collected",254,""
"260",76,"Ceramium pacificum",0.1,"not collected",255,""
"261",76,"Palmaria mollis",0.2,"not collected",256,""
"262",76,"Pterosiphonia hamata",8.1,"not collected",257,""
"263",76,"Constantinea rosa-marina",0.1,"not collected",258,""
"264",76,"Sand",NA,"15",259,""
"265",76,"Cobble",NA,"3",260,""
"266",77,"Desmarestia aculeata",1.8,"not collected",261,""
"267",77,"Dictyosiphon sp",1.4,"not collected",262,""
"268",77,"Saccharina latissima",177.9,"70",263,""
"269",77,"Ulva lactuca",39.4,"10",264,""
"270",77,"Fucus distichus",18.5,"5",265,""
"271",77,"Sparlingia pertusa",5.6,"not collected",266,""
"272",77,"Palmaria mollis",0.5,"not collected",267,""
"273",77,"Unknown Finely Branched Reds",0.2,"not collected",268,""
"274",77,"Gracilaria - Gracilariopsis sp.",0.9,"not collected",269,""
"275",77,"Constantinea rosa-marina",0.1,"not collected",270,""
"276",77,"Callophyllis firma",0.2,"not collected",271,""
"277",77,"Mixed bladed red",NA,"5",272,""
"278",77,"Sand",NA,"10",273,""
"279",78,"Fucus distichus",1231.1,"75",274,""
"280",78,"Ptilota serrata",18.8,"not collected",275,""
"281",78,"Ulva lactuca",75.9,"10",276,""
"282",78,"Neorhodomela aculeata",22.2,"not collected",278,""
"283",78,"Saccharina spp",36.5,"10",279,""
"284",78,"Desmarestia aculeata",3.9,"not collected",280,""
"285",78,"Palmaria mollis",1,"not collected",281,""
"286",78,"Odonthalia setacea",4.7,"not collected",282,""
"287",78,"Pterosiphonia hamata",0.1,"not collected",283,""
"288",78,"Unknown Finely Branched Reds",5.7,"5",284,""
"289",78,"Acrosiphonia arcta",0.4,"not collected",285,""
"290",78,"Neogastroclonium subarticulatum",0.4,"not collected",286,""
"291",78,"Farlowia mollis",0.5,"not collected",287,""
"292",78,"Polyneura latissima",2.7,"not collected",288,""
"293",78,"Halosaccion glandiforme",0.1,"not collected",289,""
"294",78,"Neorhodomela oregana",5.3,"not collected",290,""
"295",78,"Soranthera ulvoidea",1.6,"not collected",291,""
"296",78,"Corallina officinalis",0.1,"not collected",292,""
"297",78,"Odonthalia flocossa",0.3,"not collected",293,""
"298",79,"Constantinea rosa-marina",2.9,"not collected",294,""
"299",79,"Saccharina latissima",4.8,"not collected",295,""
"300",79,"Schizymenia pacifica",2.5,"not collected",296,""
"301",79,"Chondracanthus exasperatus",1.5,"5",297,""
"302",79,"Neorhodomela aculeata",57.2,"30",298,""
"303",79,"Ptilota serrata",0.4,"not collected",299,""
"304",79,"Callophyllis spp",0.1,"not collected",300,""
"305",79,"Desmarestia aculeata",0.5,"not collected",301,""
"306",79,"Ulva lactuca",0.1,"2",302,""
"307",79,"Stephanocystis geminata",155,"20",303,""
"308",79,"Osmundea spectabilis",2.7,"not collected",304,""
"309",79,"Sarcodiotheca gaudichaudii",0.4,"not collected",305,""
"310",79,"Unknown Finely Branched Reds",1.6,"15",306,""
"311",79,"Callophyllis spp",0.1,"not collected",307,""
"312",79,"Cobble",NA,"10",308,""
"313",79,"Sand",NA,"18",309,""
"314",80,"Saccharina latissima",12.6,"5",310,""
"315",80,"Neorhodomela aculeata",5.1,"not collected",311,""
"316",80,"Fucus distichus",23.8,"10",312,""
"317",80,"Ulva lactuca",17.8,"5",313,""
"318",80,"Agarum clathratum",49.4,"35",314,""
"319",80,"Callophyllis spp",0.2,"not collected",315,""
"320",80,"Stephanocystis geminata",59.6,"15",316,""
"321",80,"Ptilota serrata",0.2,"not collected",317,""
"322",80,"Desmarestia aculeata",0.7,"not collected",318,""
"323",80,"Schizymenia pacifica",9.7,"5",319,""
"324",80,"Neogastroclonium subarticulatum",5.1,"not collected",320,""
"325",80,"Unknown Finely Branched Reds",0.4,"15",321,""
"326",80,"Cobble",NA,"10",322,""
"327",86,"Chorda filum",28.1,"2",323,""
"328",86,"Dictyosiphon sp",3.2,"not collected",324,""
"329",86,"Zostera marina",NA,"48",325,""
"330",86,"bare",NA,"50",326,""
"331",88,"Chorda filum",43.5,"2",327,""
"332",88,"Fucus distichus",8,"2",328,""
"333",88,"Zostera marina",NA,"86",329,""
"334",88,"bare",NA,"10",330,""
"335",91,"Ulva lactuca",95.1,"50",331,""
"336",91,"Dictyosiphon sp",6.2,"2",332,""
"337",91,"Punctaria lobata",2.2,"not collected",333,""
"338",91,"Zostera marina",NA,"40",334,""
"339",91,"gravel",NA,"8",335,""
"340",92,"Ulva lactuca",1.3,"not collected",336,""
"341",92,"Punctaria lobata",0.7,"not collected",337,""
"342",92,"Pterosiphonia spp",1.7,"not collected",338,""
"343",92,"Zostera marina",NA,"100",339,""
"344",93,"Ulva lactuca",31.3,"10",340,""
"345",93,"Punctaria lobata",0.2,"not collected",341,""
"346",93,"Fucus distichus",10.7,"not collected",342,""
"347",93,"Dictyosiphon sp",1.9,"not collected",343,""
"348",93,"Farlowia mollis",0.1,"not collected",344,""
"349",93,"Zostera marina",NA,"75",345,""
"350",93,"bare",NA,"15",346,""
"351",95,"Ulva lactuca",9.8,"10",347,""
"352",95,"Dictyosiphon sp",1.4,"not collected",348,""
"353",95,"Punctaria lobata",2.8,"not collected",349,""
"354",95,"Ceramium pacificum",0.5,"not collected",350,""
"355",95,"Acrosiphonia arcta",0.6,"not collected",351,""
"356",95,"Zostera marina",NA,"60",352,""
"357",95,"bare",NA,"30",353,""
"358",96,"Stephanocystis geminata",109.8,"20",354,""
"359",96,"Saccharina groenlandica",527,"80",355,""
"360",96,"Saccharina spp",100.6,"not collected",356,""
"361",96,"Ahnfeltia fastigiata",13.5,"not collected",357,""
"362",97,"Zostera marina",3.3,"not collected",358,""
"363",97,"Stephanocystis geminata",119.3,"30",359,""
"364",97,"Saccharina groenlandica",151,"70",360,""
"365",97,"Ulva lactuca",1.2,"not collected",361,""
"366",97,"Dictyosiphon sp",3.9,"not collected",362,""
"367",97,"Euthora cristata",0.5,"not collected",363,""
"368",98,"Ulva lactuca",7.2,"10",364,""
"369",98,"Fucus distichus",19.3,"15",365,""
"370",98,"Leathesia marina",0.1,"not collected",366,""
"371",98,"Blidingia minima",0.1,"not collected",367,""
"372",98,"Acrosiphonia arcta",4.1,"not collected",368,""
"373",98,"Pterosiphonia spp",0.2,"not collected",369,""
"374",98,"Unidentified Red",0.1,"not collected",370,""
"375",98,"Saccharina spp",NA,"50",371,"no holdfasts in quadrat"
"376",98,"bare",NA,"25",372,""
"377",99,"Ulva lactuca",39.6,"10",373,""
"378",99,"Stephanocystis geminata",130.9,"50",374,""
"379",99,"Saccharina groenlandica",346.8,"5",375,""
"380",99,"Dictyosiphon sp",2.1,"not collected",376,""
"381",99,"Ulva prolifera",0.4,"not collected",377,""
"382",99,"Acrosiphonia arcta",0.4,"not collected",378,""
"383",99,"Neorhodomela aculeata",11.5,"not collected",379,""
"384",99,"Callophyllis spp",8.8,"not collected",380,""
"385",99,"bare",NA,"35",381,""
"386",100,"Saccharina groenlandica",537.2,"40",382,""
"387",100,"Stephanocystis geminata",2,"not collected",383,""
"388",100,"Chondracanthus exasperatus",2.3,"not collected",384,""
"389",100,"Ulva lactuca",0.1,"not collected",385,""
"390",100,"Dictyosiphon sp",44,"25",386,""
"391",100,"Palmaria hecatensis",0.1,"not collected",387,""
"392",100,"Macrocystis pyrifera",NA,"10",388,""
"393",100,"Cobble",NA,"25",389,""
"394",101,"Phyllospadix serrulatus",60.4,"95",390,""
"395",101,"bare/shells",NA,"5",391,""
"396",102,"Odonthalia floccosa f. comosa",8.6,"not collected",392,""
"397",102,"Punctaria lobata",58.4,"20",393,""
"398",102,"Ulva lactuca",9.1,"5",394,""
"399",102,"Zostera marina",NA,"58",395,""
"400",102,"Phyllospadix serrulatus",4.2,"16",396,""
"401",103,"Farlowia mollis",1.6,"not collected",397,""
"402",103,"Hymenena ruthenica",13.8,"2",398,""
"403",103,"Ulva lactuca",28.1,"2",399,""
"404",103,"Punctaria lobata",25,"10",400,""
"405",103,"Zostera marina",NA,"50",401,""
"406",103,"bare/dead kelp",NA,"36",402,""
"407",104,"Phyllospadix serrulatus",30.6,"65",403,""
"408",104,"Ulva lactuca",0.1,"not collected",404,""
"409",104,"Dictyosiphon sp",0.1,"not collected",405,""
"410",104,"Punctaria lobata",31.9,"5",406,""
"411",104,"Farlowia mollis",0.7,"not collected",407,""
"412",104,"Odonthalia floccosa f. comosa",0.1,"not collected",408,""
"413",104,"Zostera marina",NA,"30",409,""
"414",105,"Phyllospadix serrulatus",71.4,"90",410,""
"415",105,"Punctaria lobata",17.4,"10",411,""
