species_by_quadrat_ID,quadrat_ID,species,weight_g,%_cover,notes
1,6,ulva lactuca,0.1,not collected,
2,6,farlowia mollis,1.1,10,
3,6,corallina officinalis,1.1,5,
4,6,cobble,,50,
5,6,sand,,35,
6,7,Saccharina groenlandica,651.2,40,
7,7,saccharina spp,48,not collected,
8,7,Neorhodomela oregana,17.5,2,
9,7,Corallina officinalis,6.8,5,
10,7,Leathesia marina,0.5,Not collected,
11,7,Farlowia mollis,8.9,not collected,
12,7,Ulva lactuca,1.2,Not collected,
13,7,Ulva prolifera,11.6,5,
14,7,Ceramium pacificum,10.4,40,
15,7,Dictyosiphon sp,1.6,Not Collected,
16,7,sand,,8,
17,8,Saccharina latissima,2.6,Not Collected,
18,8,Ulva lactuca,6.9,10,
19,8,Neorhodomela larix,3.5,not collected,
20,8,Neorhodomela oregana,11.6,not collected,
21,8,Dictyosiphon sp,15.3,10,
22,8,Ulva prolifera,58.6,Not collected,
23,8,Corallina officinalis,0.8,not collected,
24,8,Farlowia mollis,18.2,15,
25,8,Leathesia marina,0.4,not collected,
26,8,Acrosiphinia arcta,6.9,not collected,
27,8,Sargassum muticum,9.1,5,
28,8,cobble,,60,
29,8,Finely branched green,5.7,not collected,
30,9,Saccharina groenlandica,644.7,45,
31,9,Ceramium pacificum,11,15,
32,9,Farlowia mollis,6.6,10,
33,9,Ulva lactuca,5.3,not collected ,
34,9,Sargassum muticum,18.7,2,
35,9,Cladophora sericea,0.2,not collected,
36,9,Acrosiphinia arcta,1.2,10,
37,9,cobble,,18,
38,10,Saccharina groenlandica,456.8,45,
39,10,Saccharina spp,171.4,not collected,
40,10,Neorhodomela oregana,49.7,not collected,
41,10,Ulva lactuca,2.8,not collected ,
42,10,Farlowia mollis,14.7,20,
43,10,Leathesia marina,2.6,not collected,
44,10,Sargassum muticum,15,2,
48,10,cobble,,23,
49,10,Acrosiphinia arcta,11.9,10,
50,16,Sand,,60,
51,16,Saccharina latissima,143.5,30,
52,16,Ulva lactuca,24.6,10,
53,16,Petalonia fascia,0.3,not collected,
54,17,Saccharina latissima,809.7,100,
55,18,Stephanocystis geminata,149.3,20,
56,18,Ulva lactuca,19.4,20,
57,18,Zostera marina,3.3,2,
58,18,leathesia marina,0.5,not collected,
59,18,Neorhodomela aculeata,6.7,5,
