"","species_by_quadrat_ID","quadrat_ID","species","weight_g","X._cover","notes"
"1",1,6,"Ulva lactuca",0.1,"not collected",""
"2",2,6,"Farlowia mollis",1.1,"10",""
"3",3,6,"Corallina officinalis",1.1,"5",""
"4",4,6,"Cobble",NA,"50",""
"5",5,6,"Sand",NA,"35",""
"6",6,7,"Saccharina groenlandica",651.2,"40",""
"7",7,7,"Saccharina spp",48,"not collected",""
"8",8,7,"Neorhodomela oregana",17.5,"2",""
"9",9,7,"Corallina officinalis",6.8,"5",""
"10",10,7,"Leathesia marina",0.5,"Not collected",""
"11",11,7,"Farlowia mollis",8.9,"not collected",""
"12",12,7,"Ulva lactuca",1.2,"Not collected",""
"13",13,7,"Ulva prolifera",11.6,"5",""
"14",14,7,"Ceramium pacificum",10.4,"40",""
"15",15,7,"Dictyosiphon sp",1.6,"Not Collected",""
"16",16,7,"Sand",NA,"8",""
"17",17,8,"Saccharina latissima",2.6,"Not Collected",""
"18",18,8,"Ulva lactuca",6.9,"10",""
"19",19,8,"Neorhodomela larix",3.5,"not collected",""
"20",20,8,"Neorhodomela oregana",11.6,"not collected",""
"21",21,8,"Dictyosiphon sp",15.3,"10",""
"22",22,8,"Ulva prolifera",58.6,"Not collected",""
"23",23,8,"Corallina officinalis",0.8,"not collected",""
"24",24,8,"Farlowia mollis",18.2,"15",""
"25",25,8,"Leathesia marina",0.4,"not collected",""
"26",26,8,"Acrosiphonia arcta",6.9,"not collected",""
"27",27,8,"Sargassum muticum",9.1,"5",""
"28",28,8,"Cobble",NA,"60",""
"29",29,8,"Finely branched green",5.7,"not collected",""
"30",30,9,"Saccharina groenlandica",644.7,"45",""
"31",31,9,"Ceramium pacificum",11,"15",""
"32",32,9,"Farlowia mollis",6.6,"10",""
"33",33,9,"Ulva lactuca",5.3,"not collected ",""
"34",34,9,"Sargassum muticum",18.7,"2",""
"35",35,9,"Cladophora sericea",0.2,"not collected",""
"36",36,9,"Acrosiphonia arcta",1.2,"10",""
"37",37,9,"Cobble",NA,"18",""
"38",38,10,"Saccharina groenlandica",456.8,"45",""
"39",39,10,"Saccharina spp",171.4,"not collected",""
"40",40,10,"Neorhodomela oregana",49.7,"not collected",""
"41",41,10,"Ulva lactuca",2.8,"not collected ",""
"42",42,10,"Farlowia mollis",14.7,"20",""
"43",43,10,"Leathesia marina",2.6,"not collected",""
"44",44,10,"Sargassum muticum",15,"2",""
"45",48,10,"Cobble",NA,"23",""
"46",49,10,"Acrosiphonia arcta",11.9,"10",""
"47",50,16,"Sand",NA,"60",""
"48",51,16,"Saccharina latissima",143.5,"30",""
"49",52,16,"Ulva lactuca",24.6,"10",""
"50",53,16,"Petalonia fascia",0.3,"not collected",""
