siteID_NOAA,site_2017,site_2018,site_2019,place_name,bay_code,bay_sample,study,habitat,latitude,longitude,freshwater,sediment_description,general_description
108,,,Baker Island - eel,Baker Island,BAKE,A,fish_comm,eelgrass,55.3575,-133.5869444,,,
110,,,Baker Island - kelp ,Baker Island,BAKE,B,fish_comm,kelp,55.35972222,-133.5877778,,,
,,,,Big Clam Bay,BCLB,A,disturbance,eelgrass,55.227691,-132.973932,,,
,2017_H_07,,,Blanquizal Point,BLAQ,A,trophic/disturbance,eelgrass,55.62082,-133.38664,no obvious souces,muddy sand low at transect changing to gravel high. Cobble at edges of transect,Relativley small isolated eelgrass bed. Moderatly sloped. Kelp on edges and in deeper subtidal. Eelgrass wasting samples also collected
,,,,Big Tree Bay,BTRB,A,disturbance,eelgrass,55.585855,-133.215512,,,
177,,,Shakan - eel,Calder Bay,CALD,A,fish_comm,eelgrass,56.200908,-133.521038,,,
,2017_H_03,,,Chusini Cove,CHUS,A,trophic,eelgrass,55.80692,-133.171,1 small stream bed mid bay,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,Very gradual large eelgrass bed. Back of bay with rocky outcrops around with eelgrass inbetween
,,,Chusini-Kladein Flat,Chusini Cove,CHUS,B,fish_comm,eelgrass,55.81849,-133.1794,,,
,,,,Chusini Cove,CHUS,C,disturbance,eelgrass,55.813558,-133.167403,,,
,2017_L_05,,Dunbar Inlet,Dunbar Inlet,DUNB,A,trophic/disturbance/fish_comm,eelgrass,55.0848,-132.826,small groundwater seep,"semi-consolidated sand/mud mix, some small cobbles and shells on top",Relativley steep beach with eelgrass extenting up to 0 MLLW. Linear
,2017_L_06,,Farallon,Farallon Bay,FARA,A,trophic/fish_comm,eelgrass,55.19112,-133.105314,2 small streams,semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.,Small crecsent bay with eelgrass. Some eelgrass starts fairly high (above 0 MLLW). Fair amount of algae around more in areas without eelgrass. Water tannins
,2017_M_07,,,Garcia Bay,GARC,A,trophic,eelgrass,55.552669,-133.431392,one moderatly sized stream,"muddy sand mixed with gravel and cobble at transect. Changing to course sand with gravel and cobble higher. Two rocky outcrops ""framing back of bay",Gradually slopping beach at back of bay. Lots of shells everywhere that appear old. Eelgrass continuos but some patches rach fairly high i.e. irregraul upper edge
