Sp_CommonName,Sp_ScientificName,SpCode,Taxa
Juvenile poacher,Agonidae,UNPOA,fish
Northern spearnose poacher,Agonopsis vulsa,POASPEAR,fish
Pacific sand lance,Ammodytes personatus,SANDLNCP,fish
Wolf-eel,Anarrhichthys ocellatus,WOLFEEL,fish
Slender cockscomb,Anoplarchus insignis,COCKSSL,fish
Sablefish,Anoplopoma fimbria,SABLEF,fish
Penpoint gunnel,Apodichthys flavidus,GUNNPEN,fish
Padded sculpin,Artedius fenestralis,SCULPAD,fish
Scalyhead sculpin,Artedius harringtoni,SCULSCA,fish
Smoothhead sculpin,Artedius lateralis,SCULSMO,fish
Juvenile Artedius,Artedius spp.,UNARTE,fish
Tubesnout,Aulorhynchus flavidus,TUBESNT,fish
Moon jellyfish,Aurelia labiata,JLYMOON,invertebrate
Alaskan ronquil,Bathymaster caeruleofasciatus,RONQLAK,fish
Juvenile ronquil,Bathymasteridae,UNRONQL,fish
Crested sculpin,Blepsias bilobus,SCULCRE,fish
Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,fish
Kelp perch,Brachyistius frenatus,PERCHKE,fish
Baer's buccinum snail,Buccinum baeri,SNAILBB,invertebrate
Red rock crab,"Cancer productus, Cancridae",CRABRR,invertebrate
Clown dorid,Catalina triopha,DORIDCL,invertebrate
Arrow worm,Chaetaganath sp.,WRMARRW,invertebrate
Roughback sculpin,Chitonotus pugetensis,SCULRBCK,fish
Pacific sanddab,Citharichthys sordidus,SDABPAC,fish
Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,fish
Sharpnose sculpin,Clinocottus acuticeps,SCULSHRP,fish
Pacific herring,Clupea pallasii,HERRING,fish
Juvenile sculpin,Cottidae,UNSCUL,fish
Crangon shrimp,Crangon sp.,SHRMCR,invertebrate
Lion's mane jellyfish,Cyanea capillata,JLYLION,invertebrate
Juvenile lumpsucker,Cyclopteridae,UNLUMP,fish
Shiner perch,Cymatogaster aggregata,PERCHSH,fish
Spinyhead sculpin,Dasycottus setiger,SCULSPNY,fish
Leather star,Dermasterias imbricata,STARLEA,invertebrate
Fish larvae,Division Teleostei,UNLARV,fish
Pacific red hermit crab,Elassochirus gilli,CRABPRH,invertebrate
widehand hermit crab,Elassochirus tenuimanus,CRABWIDE,invertebrate
Saffron cod,Eleginus gracilis,CODSAF,fish
Buffalo sculpin,Enophrys bison,SCULBUF,fish
Antlered sculpin,Enophrys diceraus,SCULANT,fish
Leister sculpin,Enophrys lucasi,SCULLEI,fish
Pacific spiny lumpsucker,Eumicrotremus orbis,LUMPSPI,fish
False white cucumber,Eupentacta psuedoquinquesemita,CUCFW,invertebrate
"""hat"" jellyfish",Eutonina species,JLYHAT,invertebrate
Mottled seastar,Evastarias troschelii,STARMOT,invertebrate
Hairy triton snail,Fusitriton oregonensis,SNAILFO,fish
Juvenile cod,Gadidae,UNCOD,fish
Walleye pollock,Gadus chalcogrammus,POLLOCK,fish
Pacific cod,Gadus macrocephalus,CODPAC,fish
Threespine stickleback,Gasterosteus aculeatus,STICK3,fish
Juvenile clingfish,Gobiescocidae,UNCLING,fish
Armorhead sculpin,Gymnocanthus galeatus,SCULARMR,fish
White bubble snail,Haminoea vesicula,BSNAILW,invertebrate
Shore crab,Hemigrapsus,CRABSH,invertebrate
Red Irish lord,Hemilepidotus hemilepidotus,LORDRI,fish
Juvenile Irish lord,Hemilepidotus sp.,UNLORD,fish
Brown Irish lord,Hemilepidotus spinosus,LORDBI,fish
Opalescent nudibranch,Hermissenda crassicornis,NUDOPAL,invertebrate
Juvenile greenling,Hexagrammidae,UNGREEN,fish
Kelp greenling,Hexagrammos decagrammus,GREENKEL,fish
Rock greenling,Hexagrammos lagocephalus,GREENROC,fish
Masked greenling,Hexagrammos octogrammus,GREENMAS,fish
Whitespotted greenling,Hexagrammos stelleri,GREENWHI,fish
Pacific halibut,Hippoglossus stenolepis,HALIBUT,fish
Grass shrimp,Hippolyte clarki,SHRMGRA,invertebrate
"unidentified hippolytid shrimp (""brokenback"")",Hippolytidae,SHRMHIP,invertebrate
