Sample_ID,Sample_date,Process_date,Processed_by,Total_mass_g,Total_mass_post_g,Prey_no,Taxa,Taxa_mass_g,Digestion_code,ID_notes
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,1,caprellid amphipod,0.01756,4,"long body, two long antennae on head, four bulby legs, segmented legs in back "
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,2,caprellid amphipod,,4,
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,3,caprellid amphipod,,4,
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,4,unidentified syllidae,0.00229,4,"2 pairs of eyes , 16 pairs of fuzzy legs, segmented body"
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,5,lottia pelta,0.00544,4,"stripes on edge, large spot in middle"
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,6,gammarid amphipod,0.00156,3,"segmented body, antenna, tail, gnathopods!"
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,1,pleocyemata,0.1722,3,definitely not mysids can't distinguish between families
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,2,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,3,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,4,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,5,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,6,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,7,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,8,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,9,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,10,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,11,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,12,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,13,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,14,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,15,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,16,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,17,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,18,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,19,pleocyemata,,3,
