bay_code,bay_sample,process_date,quadrat_no,belowground_empty_tin_mass_g,aboveground_empty_tin_mass_g,algae_empty_tin_mass_g,freshweight_belowground_mass_g,freshweight_aboveground_mass_g,freshweight_algae_mass_g,dry_belowground_mass+tin_g,dry_aboveground_mass+tin_g,dry_algae_mass+tin_g,notes
NATZ,A,20210723,1,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.5433,24.1863,
NATZ,A,20210723,2,na,0.6072,2.9599,na,0.0625,98.5789,na,0.6134,63.5593,
NATZ,A,20210723,3,na,na,3.1943,na,na,11.6246,na,na,8.1562,
NATZ,A,20210723,4,na,na,3.6025,na,na,3.38,na,na,3.7238,
NATZ,A,20210723,5,na,na,na,na,na,na,na,na,na,
NATZ,A,20210723,6,na,na,3.1618,na,na,37.0602,na,na,7.0617,
NATZ,A,20210723,7,na,na,2.8587,na,na,31.0489,na,na,5.4558,
NATZ,A,20210723,8,na,na,2.8816,na,na,41.5012,na,na,20.4993,
NATZ,A,20210723,9,na,na,2.9901,na,na,6.9567,na,na,4.4282,
NATZ,A,20210723,10,na,2.5474,3.1244,na,0.3283,13.2603,na,2.6008,10.171,
SHIN,A,20210722,1,1.9898,2.1199,2.4587,0.6856,0.1152,6.3774,2.0666,2.1343,3.1571,
SHIN,A,20210722,2,2.83508,3.45637,1.35761,35.2144,17.2139,2.7089,14.488,5.5913,1.6609,
SHIN,A,20210722,3,3.28831,4.0707,0.95837,31.04468,19.16005,2.06678,24.3709,6.5957,1.2215,
SHIN,A,20210722,4,na,na,na,na,na,na,na,na,na,
SHIN,A,20210722,5,na,2.4096,2.0972,na,0.569,1.735,na,2.4868,2.3037,
SHIN,A,20210722,6,na,4.2294,3.0474,na,0.0923,8.5743,na,2.2429,3.5273,
SHIN,A,20210722,7,na,na,2.4838,na,na,10.686,na,na,2.642,
SHIN,A,20210722,8,na,na,na,na,na,na,na,na,na,
SHIN,A,20210722,9,na,na,1.829,na,na,0.0336,na,na,1.8374,
SHIN,A,20210722,10,na,na,1.8937,na,na,0.244,na,na,1.9678,
REFU,A,20210724,1,na,na,na,na,na,na,na,na,na,
REFU,A,20210724,2,na,na,0.5578,na,na,0.6504,na,na,0.6308,
REFU,A,20210724,3,na,na,na,na,na,na,na,na,na,
REFU,A,20210724,4,na,na,na,na,na,na,na,na,na,
REFU,A,20210724,5,na,0.7486,0.7159,na,0.4437,0.264,na,0.8081,0.7243,
REFU,A,20210724,6,na,na ,0.6014,na,na,0.9149,na,na,0.6503,
REFU,A,20210724,7,0.7491,0.7792,0.5027,0.0582,0.0083,6.5742,0.7704,0.7804,0.7446,
REFU,A,20210724,8,na,0.8273,2.7859,na,0.7493,130.9704,na,0.8956,114.4559,
REFU,A,20210724,9,0.7174,0.6324,0.691,1.5052,6.787,18.1283,1.0254,1.3429,2.0262,
REFU,A,20210724,10,3.0659,2.4431,9.2498,8.2494,9.9738,425.6258,4.0354,3.5601,107.2262,
GUKT,A,20210725,1,na,na,0.7771,na,na,3.1558,na,na,1.0667,
GUKT,A,20210725,2,na,na,0.8633,na,na,3.0637,na,na,1.917,
GUKT,A,20210725,3,na,na,0.8526,na,na,0.4577,na,na,0.9571,
GUKT,A,20210725,4,na,0.5742,0.6193,na,0.665,0.8949,na,0.6239,0.651,
GUKT,A,20210725,5,na,na,3.1322,na,na,19.4829,na,na,6.5897,
GUKT,A,20210725,6,na,na,na,na,na,na,na,na,na,
GUKT,A,20210725,7,na,na,0.8183,na,na,8.1238,na,na,2.2609,
GUKT,A,20210725,8,na,0.4683,0.6506,na,0.1755,1.4255,na,0.4801,0.7843,
GUKT,A,20210725,9,na,na,2.7572,na,na,28.356,na,na,6.9707,
GUKT,A,20210725,10,na,na,2.5113,na,na,41.3483,na,na,21.3944,
NFEI,A,20210721,1,3.005,3.3588,na,19.4254,22.6426,na,5.7116,6.6372,na,
NFEI,A,20210721,2.1,2.8532,3.2333,1.2293,26.9639,21.8062,0.2759,5.5354,5.2773,1.2473,quadrat 2 processed in two batches
NFEI,A,20210721,2.2,3.2828,2.8872,0.6383,80.899,33.5912,0.4292,17.7749,5.4062,0.6611,quadrat 2 processed in two batches
NFEI,A,20210721,3,3.5686,3.6244,1.10159,74.71694,23.04502,7.2424,46.7621,6.6715,2.5497,
NFEI,A,20210721,4,2.8493,2.8742,1.9242,87.9479,35.255,2.1841,13.6037,6.6584,2.2103,
NFEI,A,20210721,5,2.8918,2.325,na,91.5608,35.4658,na,18.2842,6.5951,na,
NFEI,A,20210721,6,3.1479,3.0632,0.6425,101.3021,41.2067,3.3819,24.5802,7.1371,1.4685,
NFEI,A,20210721,7,2.8194,2.826,na,98.1322,24.9391,na,66.1043,6.019,na,
NFEI,A,20210721,8,2.659,2.8837,0.7497,28.1347,2.4647,9.9796,5.7266,3.7935,5.44,
NFEI,A,20210721,9,3.1422,2.6046,0.9812,95.325,24.2709,4.8138,16.4952,5.3373,1.1456,
NFEI,A,20210721,10,5.5319,2.7011,0.7711,162.3413,115.1794,7.4176,32.8149,16.0657,1.4681,
NOSK,A,20210726,1,na,na,2.1691,na,na,32.5783,na,na,6.3018,
NOSK,A,20210726,2,na,na,3.4049,na,na,69.2343,na,na,9.9304,
NOSK,A,20210726,3,na,na,0.7202,na,na,2.1508,na,na,0.9168,
NOSK,A,20210726,4,na,0.5773,2.5391,na,0.2572,20.5165,na,0.607,4.3763,
NOSK,A,20210726,5,na,na,0.5652,na,na,2.8729,na,na,0.8142,
NOSK,A,20210726,6,na,na,1.647,na,na,0.7307,na,na,1.7039,
NOSK,A,20210726,7,na,na,1.389,na,na,15.8452,na,na,2.9305,
NOSK,A,20210726,8,na,na,1.5514,na,na,11.3014,na,na,3.1431,
