site_name,bay_code,bay_sample,sample_date,quadrat_location_m,quadrat_no,primary_sediment,secondary_sediment,common_name,scientific_name,species_code,size_mm,samplers,notes,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Butter clam,Saxidomus gigantea,CLAMBU,26.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,24.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,26.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,20.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,15.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,18," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,12.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Pointed macoma,Macoma inquinata,CLAMMP,26.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Pointed macoma,Macoma inquinata,CLAMMP,19.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Pointed macoma,Macoma inquinata,CLAMMP,17.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Pointed macoma,Macoma inquinata,CLAMMP,9.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,35.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,25.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,21.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,21.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,16.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,21.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,24.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,23.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,26.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,24.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,23," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Pointed macoma,Macoma inquinata,CLAMMP,23.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Pointed macoma,Macoma inquinata,CLAMMP,22.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Pointed macoma,Macoma inquinata,CLAMMP,25.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,22.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,20," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,14.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,20," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,23.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,23.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,19," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,21.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,27.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,26.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,22.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,19.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,20.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,16.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,14.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,20.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,16.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,30.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,20.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,29.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,18.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,23.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,21.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,20.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,24.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,24.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,30.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,25.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,20.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,21.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,31.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,16.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,23.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,20," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,26.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,18.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,22.5," Carter, Emma",,,,
