site_name,bay_code,bay_sample,sample_date,quadrat_location_m,quadrat_no,primary_sediment,secondary_sediment,common_name,scientific_name,species_code,size_mm,size_mm_checked,IF function,samplers,notes,,
Guktu,GUKT,A,20220712,2,1,2,6,Steamer clam,Protothaca staminea,CLAMST,18.5,18.5,YES,"Carter, Elyse",,,"IF(L2=M2,""YES"",""NO"")"
Guktu,GUKT,A,20220712,2,1,2,6,Bentnose macoma,Macoma nasuta,CLAMMB,23.2,23.2,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Bentnose macoma,Macoma nasuta,CLAMMB,20.9,20.9,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Pointed macoma,Macoma inquinata,CLAMMP,42,42,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Pointed macoma,Macoma inquinata,CLAMMP,23.7,23.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Macoma sp.,Macoma sp.,CLMMAC,20.4,20.4,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Macoma sp.,Macoma sp.,CLMMAC,22.7,22.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Macoma sp.,Macoma sp.,CLMMAC,20,20,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Macoma sp.,Macoma sp.,CLMMAC,19.2,19.2,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Macoma sp.,Macoma sp.,CLMMAC,20,20,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Macoma sp.,Macoma sp.,CLMMAC,19.8,19.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,2,1,2,6,Macoma sp.,Macoma sp.,CLMMAC,19.6,19.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Steamer clam,Protothaca staminea,CLAMST,29.4,29.4,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Steamer clam,Protothaca staminea,CLAMST,25.6,25.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Steamer clam,Protothaca staminea,CLAMST,24,24,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Steamer clam,Protothaca staminea,CLAMST,28.3,28.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Steamer clam,Protothaca staminea,CLAMST,28.4,28.4,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Steamer clam,Protothaca staminea,CLAMST,24.4,24.4,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Cockle,Clinocardium nutallii,CLAMCK,18,18,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Bentnose macoma,Macoma nasuta,CLAMMB,29.8,29.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Pointed macoma,Macoma inquinata,CLAMMP,33.2,33.2,YES,"Carter, Elyse",,,
