"","site_name","bay_code","bay_sample","sample_date","quadrat_location_m","quadrat_no","primary_sediment","secondary_sediment","common_name","scientific_name","species_code","size_mm","samplers","notes","year","latitude","longitude"
"1","Guktu Bay","GUKT","A",20210725,2,1,3,4,"butter clam","Saxidomus gigantea","CLAMBU",26.4," Carter, Emma","",2021,55.739816,-133.312022
"2","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",24.9," Carter, Emma","",2021,55.739816,-133.312022
"3","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",26.3," Carter, Emma","",2021,55.739816,-133.312022
"4","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma","",2021,55.739816,-133.312022
"5","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",15.5," Carter, Emma","",2021,55.739816,-133.312022
"6","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",18," Carter, Emma","",2021,55.739816,-133.312022
"7","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",12.9," Carter, Emma","",2021,55.739816,-133.312022
"8","Guktu Bay","GUKT","A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",26.4," Carter, Emma","",2021,55.739816,-133.312022
"9","Guktu Bay","GUKT","A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",19.8," Carter, Emma","",2021,55.739816,-133.312022
"10","Guktu Bay","GUKT","A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",17.9," Carter, Emma","",2021,55.739816,-133.312022
"11","Guktu Bay","GUKT","A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",9.2," Carter, Emma","",2021,55.739816,-133.312022
"12","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",35.8," Carter, Emma","",2021,55.739816,-133.312022
"13","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",25.9," Carter, Emma","",2021,55.739816,-133.312022
"14","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma","",2021,55.739816,-133.312022
"15","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.3," Carter, Emma","",2021,55.739816,-133.312022
"16","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",16.8," Carter, Emma","",2021,55.739816,-133.312022
"17","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma","",2021,55.739816,-133.312022
"18","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",24.4," Carter, Emma","",2021,55.739816,-133.312022
"19","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",23.4," Carter, Emma","",2021,55.739816,-133.312022
"20","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",26.1," Carter, Emma","",2021,55.739816,-133.312022
"21","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",24.6," Carter, Emma","",2021,55.739816,-133.312022
"22","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",23," Carter, Emma","",2021,55.739816,-133.312022
"23","Guktu Bay","GUKT","A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",23.9," Carter, Emma","",2021,55.739816,-133.312022
"24","Guktu Bay","GUKT","A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",22.8," Carter, Emma","",2021,55.739816,-133.312022
"25","Guktu Bay","GUKT","A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",25.9," Carter, Emma","",2021,55.739816,-133.312022
"26","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",22.3," Carter, Emma","",2021,55.739816,-133.312022
"27","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma","",2021,55.739816,-133.312022
"28","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",14.5," Carter, Emma","",2021,55.739816,-133.312022
"29","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma","",2021,55.739816,-133.312022
"30","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",23.6," Carter, Emma","",2021,55.739816,-133.312022
"31","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",23.6," Carter, Emma","",2021,55.739816,-133.312022
"32","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",19," Carter, Emma","",2021,55.739816,-133.312022
"33","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",21.7," Carter, Emma","",2021,55.739816,-133.312022
"34","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",27.5," Carter, Emma","",2021,55.739816,-133.312022
"35","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",26.9," Carter, Emma","",2021,55.739816,-133.312022
"36","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",22.3," Carter, Emma","",2021,55.739816,-133.312022
"37","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",19.4," Carter, Emma","",2021,55.739816,-133.312022
"38","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20.9," Carter, Emma","",2021,55.739816,-133.312022
"39","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",16.1," Carter, Emma","",2021,55.739816,-133.312022
"40","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",14.9," Carter, Emma","",2021,55.739816,-133.312022
"41","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma","",2021,55.739816,-133.312022
"42","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",16.6," Carter, Emma","",2021,55.739816,-133.312022
"43","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",30.2," Carter, Emma","",2021,55.739816,-133.312022
"44","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.5," Carter, Emma","",2021,55.739816,-133.312022
