"","site_name","bay_ID","sample_date","quadrat_location_m","quadrat_no","primary_sediment","secondary_sediment","common_name","scientific_name","species_code","size_mm","samplers","notes"
"1","Guktu Bay","GUKT_A",20210725,2,1,3,4,"butter clam","Saxidomus gigantea","CLAMBU",26.4," Carter, Emma",""
"2","Guktu Bay","GUKT_A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",24.9," Carter, Emma",""
"3","Guktu Bay","GUKT_A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",26.3," Carter, Emma",""
"4","Guktu Bay","GUKT_A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma",""
"5","Guktu Bay","GUKT_A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",15.5," Carter, Emma",""
"6","Guktu Bay","GUKT_A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",18," Carter, Emma",""
"7","Guktu Bay","GUKT_A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",12.9," Carter, Emma",""
"8","Guktu Bay","GUKT_A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",26.4," Carter, Emma",""
"9","Guktu Bay","GUKT_A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",19.8," Carter, Emma",""
"10","Guktu Bay","GUKT_A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",17.9," Carter, Emma",""
"11","Guktu Bay","GUKT_A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",9.2," Carter, Emma",""
"12","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",35.8," Carter, Emma",""
"13","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",25.9," Carter, Emma",""
"14","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma",""
"15","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.3," Carter, Emma",""
"16","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",16.8," Carter, Emma",""
"17","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma",""
"18","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",24.4," Carter, Emma",""
"19","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",23.4," Carter, Emma",""
"20","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",26.1," Carter, Emma",""
"21","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",24.6," Carter, Emma",""
"22","Guktu Bay","GUKT_A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",23," Carter, Emma",""
"23","Guktu Bay","GUKT_A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",23.9," Carter, Emma",""
"24","Guktu Bay","GUKT_A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",22.8," Carter, Emma",""
"25","Guktu Bay","GUKT_A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",25.9," Carter, Emma",""
"26","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",22.3," Carter, Emma",""
"27","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma",""
"28","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",14.5," Carter, Emma",""
"29","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma",""
"30","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",23.6," Carter, Emma",""
"31","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",23.6," Carter, Emma",""
"32","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",19," Carter, Emma",""
"33","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",21.7," Carter, Emma",""
"34","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",27.5," Carter, Emma",""
"35","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",26.9," Carter, Emma",""
"36","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",22.3," Carter, Emma",""
"37","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",19.4," Carter, Emma",""
"38","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20.9," Carter, Emma",""
"39","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",16.1," Carter, Emma",""
"40","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",14.9," Carter, Emma",""
"41","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma",""
"42","Guktu Bay","GUKT_A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",16.6," Carter, Emma",""
"43","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",30.2," Carter, Emma",""
"44","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.5," Carter, Emma",""
"45","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",29.7," Carter, Emma",""
"46","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",18.1," Carter, Emma",""
"47","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.2," Carter, Emma",""
"48","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",21.5," Carter, Emma",""
"49","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.2," Carter, Emma",""
"50","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",24.7," Carter, Emma",""
"51","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",24.4," Carter, Emma",""
"52","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",30.6," Carter, Emma",""
"53","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",25.5," Carter, Emma",""
"54","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma",""
"55","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma",""
"56","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",31.4," Carter, Emma",""
"57","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",16.3," Carter, Emma",""
"58","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.2," Carter, Emma",""
"59","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma",""
