"","bay_code","bay_sample","process_date","quadrat_no","belowground_empty_tin_mass_g","aboveground_empty_tin_mass_g","algae_empty_tin_mass_g","freshweight_belowground_mass_g","freshweight_aboveground_mass_g","freshweight_algae_mass_g","dry_belowground_mass.tin_g","dry_aboveground_mass.tin_g","dry_algae_mass.tin_g","notes","dry_belowground_eel_mass_g","dry_aboveground_eel_mass_g","dry_algae_mass_g","place_name","latitude","longitude"
"1","NATZ","A",20210723,1,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,"",0.00829999999999997,0.1413,21.2486,"Natzuhini Bay",55.25051,-132.883
"2","NATZ","A",20210723,2,0,0.6072,2.9599,0,0.0625,98.5789,0,0,63.5593,"",0,0,60.5994,"Natzuhini Bay",55.25051,-132.883
"3","NATZ","A",20210723,3,0,0,3.1943,0,0,11.6246,0,0,8.1562,"",0,0,4.9619,"Natzuhini Bay",55.25051,-132.883
"4","NATZ","A",20210723,4,0,0,3.6025,0,0,3.38,0,0,3.7238,"",0,0,0.1213,"Natzuhini Bay",55.25051,-132.883
"5","NATZ","A",20210723,5,0,0,0,0,0,0,0,0,0,"",0,0,0,"Natzuhini Bay",55.25051,-132.883
"6","NATZ","A",20210723,6,0,0,3.1618,0,0,37.0602,0,0,7.0617,"",0,0,3.8999,"Natzuhini Bay",55.25051,-132.883
"7","NATZ","A",20210723,7,0,0,2.8587,0,0,31.0489,0,0,5.4558,"",0,0,2.5971,"Natzuhini Bay",55.25051,-132.883
"8","NATZ","A",20210723,8,0,0,2.8816,0,0,41.5012,0,0,20.4993,"",0,0,17.6177,"Natzuhini Bay",55.25051,-132.883
"9","NATZ","A",20210723,9,0,0,2.9901,0,0,6.9567,0,0,4.4282,"",0,0,1.4381,"Natzuhini Bay",55.25051,-132.883
"10","NATZ","A",20210723,10,0,2.5474,3.1244,0,0.3283,13.2603,0,0,10.171,"",0,0,7.0466,"Natzuhini Bay",55.25051,-132.883
"11","SHIN","A",20210722,1,1.9898,2.1199,2.4587,0.6856,0.1152,6.3774,2.0666,2.0666,3.1571,"",0.0768000000000002,-0.0532999999999997,0.6984,"Shinaku Inlet",55.59929,-133.16
"12","SHIN","A",20210722,2,2.83508,3.45637,1.35761,35.2144,17.2139,2.7089,14.488,14.488,1.6609,"",11.65292,11.03163,0.30329,"Shinaku Inlet",55.59929,-133.16
"13","SHIN","A",20210722,3,3.28831,4.0707,0.95837,31.04468,19.16005,2.06678,24.3709,24.3709,1.2215,"",21.08259,20.3002,0.26313,"Shinaku Inlet",55.59929,-133.16
"14","SHIN","A",20210722,4,0,0,0,0,0,0,0,0,0,"",0,0,0,"Shinaku Inlet",55.59929,-133.16
"15","SHIN","A",20210722,5,0,2.4096,2.0972,0,0.569,1.735,0,0,2.3037,"",0,0,0.2065,"Shinaku Inlet",55.59929,-133.16
"16","SHIN","A",20210722,6,0,4.2294,3.0474,0,0.0923,8.5743,0,0,3.5273,"",0,0,0.4799,"Shinaku Inlet",55.59929,-133.16
"17","SHIN","A",20210722,7,0,0,2.4838,0,0,10.686,0,0,2.642,"",0,0,0.1582,"Shinaku Inlet",55.59929,-133.16
"18","SHIN","A",20210722,8,0,0,0,0,0,0,0,0,0,"",0,0,0,"Shinaku Inlet",55.59929,-133.16
"19","SHIN","A",20210722,9,0,0,1.829,0,0,0.0336,0,0,1.8374,"",0,0,0.00839999999999996,"Shinaku Inlet",55.59929,-133.16
"20","SHIN","A",20210722,10,0,0,1.8937,0,0,0.244,0,0,1.9678,"",0,0,0.0741000000000001,"Shinaku Inlet",55.59929,-133.16
"21","REFU","A",20210724,1,0,0,0,0,0,0,0,0,0,"",0,0,0,"Port Refugio",55.282137,-133.334028
"22","REFU","A",20210724,2,0,0,0.5578,0,0,0.6504,0,0,0.6308,"",0,0,0.0730000000000001,"Port Refugio",55.282137,-133.334028
"23","REFU","A",20210724,3,0,0,0,0,0,0,0,0,0,"",0,0,0,"Port Refugio",55.282137,-133.334028
"24","REFU","A",20210724,4,0,0,0,0,0,0,0,0,0,"",0,0,0,"Port Refugio",55.282137,-133.334028
"25","REFU","A",20210724,5,0,0.7486,0.7159,0,0.4437,0.264,0,0,0.7243,"",0,0,0.00840000000000007,"Port Refugio",55.282137,-133.334028
"26","REFU","A",20210724,6,0,0,0.6014,0,0,0.9149,0,0,0.6503,"",0,0,0.0488999999999999,"Port Refugio",55.282137,-133.334028
"27","REFU","A",20210724,7,0.7491,0.7792,0.5027,0.0582,0.0083,6.5742,0.7704,0.7704,0.7446,"",0.0213,-0.00880000000000003,0.2419,"Port Refugio",55.282137,-133.334028
"28","REFU","A",20210724,8,0,0.8273,2.7859,0,0.7493,130.9704,0,0,114.4559,"",0,0,111.67,"Port Refugio",55.282137,-133.334028
"29","REFU","A",20210724,9,0.7174,0.6324,0.691,1.5052,6.787,18.1283,1.0254,1.0254,2.0262,"",0.308,0.393,1.3352,"Port Refugio",55.282137,-133.334028
"30","REFU","A",20210724,10,3.0659,2.4431,9.2498,8.2494,9.9738,425.6258,4.0354,4.0354,107.2262,"",0.9695,1.5923,97.9764,"Port Refugio",55.282137,-133.334028
"31","GUKT","A",20210725,1,0,0,0.7771,0,0,3.1558,0,0,1.0667,"",0,0,0.2896,"Guktu Bay",55.739816,-133.312022
"32","GUKT","A",20210725,2,0,0,0.8633,0,0,3.0637,0,0,1.917,"",0,0,1.0537,"Guktu Bay",55.739816,-133.312022
"33","GUKT","A",20210725,3,0,0,0.8526,0,0,0.4577,0,0,0.9571,"",0,0,0.1045,"Guktu Bay",55.739816,-133.312022
"34","GUKT","A",20210725,4,0,0.5742,0.6193,0,0.665,0.8949,0,0,0.651,"",0,0,0.0317000000000001,"Guktu Bay",55.739816,-133.312022
"35","GUKT","A",20210725,5,0,0,3.1322,0,0,19.4829,0,0,6.5897,"",0,0,3.4575,"Guktu Bay",55.739816,-133.312022
"36","GUKT","A",20210725,6,0,0,0,0,0,0,0,0,0,"",0,0,0,"Guktu Bay",55.739816,-133.312022
"37","GUKT","A",20210725,7,0,0,0.8183,0,0,8.1238,0,0,2.2609,"",0,0,1.4426,"Guktu Bay",55.739816,-133.312022
"38","GUKT","A",20210725,8,0,0.4683,0.6506,0,0.1755,1.4255,0,0,0.7843,"",0,0,0.1337,"Guktu Bay",55.739816,-133.312022
"39","GUKT","A",20210725,9,0,0,2.7572,0,0,28.356,0,0,6.9707,"",0,0,4.2135,"Guktu Bay",55.739816,-133.312022
"40","GUKT","A",20210725,10,0,0,2.5113,0,0,41.3483,0,0,21.3944,"",0,0,18.8831,"Guktu Bay",55.739816,-133.312022
"41","NFEI","A",20210721,1,3.005,3.3588,0,19.4254,22.6426,0,5.7116,5.7116,0,"",2.7066,2.3528,0,"North Fish Egg Island",55.49709,-133.17
"42","NFEI","A",20210721,2,6.136,6.1205,1.8676,107.8629,55.3974,0.7051,23.3103,46.6206,1.9084,"NA",17.1743,40.5001,0.0408000000000002,"North Fish Egg Island",55.49709,-133.17
"43","NFEI","A",20210721,3,3.5686,3.6244,1.10159,74.71694,23.04502,7.2424,46.7621,46.7621,2.5497,"",43.1935,43.1377,1.44811,"North Fish Egg Island",55.49709,-133.17
"44","NFEI","A",20210721,4,2.8493,2.8742,1.9242,87.9479,35.255,2.1841,13.6037,13.6037,2.2103,"",10.7544,10.7295,0.2861,"North Fish Egg Island",55.49709,-133.17
"45","NFEI","A",20210721,5,2.8918,2.325,0,91.5608,35.4658,0,18.2842,18.2842,0,"",15.3924,15.9592,0,"North Fish Egg Island",55.49709,-133.17
"46","NFEI","A",20210721,6,3.1479,3.0632,0.6425,101.3021,41.2067,3.3819,24.5802,24.5802,1.4685,"",21.4323,21.517,0.826,"North Fish Egg Island",55.49709,-133.17
"47","NFEI","A",20210721,7,2.8194,2.826,0,98.1322,24.9391,0,66.1043,66.1043,0,"",63.2849,63.2783,0,"North Fish Egg Island",55.49709,-133.17
