"","bay_ID","site_name","sample_date","process_date","quadrat_no","quadrat_location_m","primary_sediment","secondary_sediment","belowground_empty_tin_mass_g","aboveground_empty_tin_mass_g","algae_empty_tin_mass_g","freshweight_belowground_mass_g","freshweight_aboveground_mass_g","freshweight_algae_mass_g","dry_belowground_mass.tin_g","dry_aboveground_mass.tin_g","dry_algae_mass.tin_g","dry_belowground_eel_mass_g","dry_aboveground_eel_mass_g","dry_algae_mass_g","common_name","scientific_name","species_code","size_mm","samplers","notes"
"1","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"steamer clam","Protothaca staminea","CLAMST",44.2,"Carter, Emmett, Jessica",""
"2","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"steamer clam","Protothaca staminea","CLAMST",46.7,"Carter, Emmett, Jessica",""
"3","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"steamer clam","Protothaca staminea","CLAMST",50.9,"Carter, Emmett, Jessica",""
"4","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"steamer clam","Protothaca staminea","CLAMST",52.5,"Carter, Emmett, Jessica",""
"5","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"steamer clam","Protothaca staminea","CLAMST",54.3,"Carter, Emmett, Jessica",""
"6","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"steamer clam","Protothaca staminea","CLAMST",55.7,"Carter, Emmett, Jessica",""
"7","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"bentnose macoma","Macoma nasuta","CLAMMB",18,"Carter, Emmett, Jessica",""
"8","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"bentnose macoma","Macoma nasuta","CLAMMB",23.8,"Carter, Emmett, Jessica",""
"9","NATZ_A","Natzuhini Bay",20210723,20210723,1,2,3,7,0.6542,0.5212,2.9377,0.147,0.1481,226.1497,0.6625,0.6625,24.1863,0.00829999999999997,0.1413,21.2486,"pointed macoma","Macoma inquinata","CLMPOI",28.2,"Carter, Emmett, Jessica",""
"10","NATZ_A","Natzuhini Bay",20210723,20210723,2,16,3,7,0,0.6072,2.9599,0,0.0625,98.5789,0,0,63.5593,0,0,60.5994,"steamer clam","Protothaca staminea","CLAMST",50,"Carter, Emmett, Jessica",""
