"","species_common","species_scientific","count","weight_g"
"1","Arctic shanny","Stichaeus punctatus",1,0.34234706207103
"2","Bay goby","Lepidogobius lepidus",71,254.770456363284
"3","Bay pipefish","Syngnathus leptorhynchus",1591,2510.32282315429
"4","Blackeye goby","Rhinogobiops nicholsii",4,14.7724829216408
"5","Brown Irish lord","Hemilepidotus spinosus",83,1454.50898814545
"6","Brown rockfish","Sebastes auriculatus",60,192.327264609632
"7","Buffalo sculpin","Enophrys bison",43,184.738196292371
"8","C-O sole","Pleuronichthys coenosus",1,82.8682071729891
"9","Cabezon","Scorpaenichthys marmoratus",2,122.0492475
"10","Capelin","Mallotus villosus",84,290.023037563718
"11","Chum salmon","Oncorhynchus keta",2,24.4849500072159
"12","Copper rockfish","Sebastes caurinus",20,1733.29785
"13","Copperquillback juvenile rockfish","Sebastes sp",34,220.873507455816
"14","Crescent gunnel","Pholis laeta",2020,9852.45295536906
"15","Dolly varden","Salvelinus malma",2,109.733379508613
"16","English sole","Parophrys vetulus",61,323.920769977776
"17","Giant wyrmouth","Cryptacanthodes giganteus",2,609.279938372409
"18","Great sculpin","Myoxocephalus polyacanthocephalus",29,441.588492075353
"19","Grunt Sculpin","Rhamphocottus richardsonii",1,0.0703737910029509
"20","Juvenile Artedius","Artedius spp.",822,2473.36697871648
"21","Juvenile Irish lord","Hemilepidotus sp.",3,4.38465586889461
"22","Juvenile rockfish","Scorpaenidae",7,32.0610663939057
"23","Kelp greenling","Hexagrammos decagrammus",36,619.20184482
"24","Kelp perch","Brachyistius frenatus",7,109.249591744601
"25","Leister sculpin","Enophrys lucasi",1,3.3666890650825
"26","Lingcod","Ophiodon elongatus",226,3186.8899671
"27","Manacled sculpin","Synchirus gilli",29,35.9115373113823
"28","Masked greenling","Hexagrammos octogrammus",46,275.621728886868
"29","Pacific cod","Gadus macrocephalus",71,296.267603774885
"30","Pacific herring","Clupea pallasii",365,5728.1228637318
"31","Pacific sand lance","Ammodytes personatus",165,15826.8234423909
"32","Pacific sanddab","Citharichthys sordidus",3,28.5294074279865
"33","Pacific sandfish","Trichodon trichodon",3,10.5465001846855
"34","Pacific staghorn sculpin","Leptocottus armatus",107,9561.44611007168
"35","Painted greenling","Oxylebius pictus",1,42.1997894824983
"36","Penpoint gunnel","Apodichthys flavidus",32,64.3478762464187
"37","Pink salmon","Oncorhynchus gorbuscha",13,57.2056828644468
"38","Quillback rockfish","Sebastes maliger",1,237.28
"39","Red Irish lord","Hemilepidotus hemilepidotus",4,215.248809081413
"40","Red Irish Lord","Hemilepidotus hemilepidotus",1,20.6368882663742
"41","Rock greenling","Hexagrammos lagocephalus",7,15.1129293458512
"42","Rock sole","Lepidopsetta spp.",8,308.498041478076
"43","Sailfin sculpin","Nautichthys oculofasciatus",1,0.219967815099091
"44","Shiner perch","Cymatogaster aggregata",1937,59727.4999134168
"45","Silverspotted sculpin","Blepsias cirrhosus",145,377.609190483563
"46","Slender cockscomb","Anoplarchus insignis",7,36.5265016548339
"47","Snake prickleback","Lumpenus sagitta",3380,10090.6692341367
"48","Speckled sanddab","Citharichthys stigmaeus",2,6.28063293387652
"49","Starry flounder","Platichthys stellatus",4,478.305088080194
"50","Sturgeon poacher","Podothecus accipenserinus",1,3.20320526183361
"51","Threespine stickleback","Gasterosteus aculeatus",9023,11407.242007467
"52","Tubenose poacher","Pallasina barbata",107,152.49689090917
"53","Tubesnout","Aulorhynchus flavidus",314,171.122968745827
"54","Walleye pollock","Gadus chalcogrammus",1,4.25052492595692
"55","Whitespotted greenling","Hexagrammos stelleri",520,7005.28300282619
"56","Yellowfin sole","Limanda aspera",1,11.9103986810129
"57","Yellowtail/black juvenile rockfish complex","Sebastes sp",3,70.78731441425
