,bay_code,bay_sample,bay_id,place_name,year,date,YYYYMMDD,trans_loc,trans_area_m2,species_common,species_scientific,species_code,death_estimate,width_mm,notes,measurers,latitude,longitude
1,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,cockle,Clinocardium nutallii,CLAMCK,whole,56,,Lia/Emma,55.25051,-132.883
2,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,cockle,Clinocardium nutallii,CLAMCK,whole,76,,Lia/Emma,55.25051,-132.883
3,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,cockle,Clinocardium nutallii,CLAMCK,whole,57,,Lia/Emma,55.25051,-132.883
4,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,cockle,Clinocardium nutallii,CLAMCK,whole,74,,Lia/Emma,55.25051,-132.883
5,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,cockle,Clinocardium nutallii,CLAMCK,whole,72,,Lia/Emma,55.25051,-132.883
6,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,macoma sp.,Macoma sp.,CLMMAC,whole,26,,Lia/Emma,55.25051,-132.883
7,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,macoma sp.,Macoma sp.,CLMMAC,whole,21,,Lia/Emma,55.25051,-132.883
8,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,55,,Lia/Emma,55.25051,-132.883
9,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,48,,Lia/Emma,55.25051,-132.883
10,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,cockle,Clinocardium nutallii,CLAMCK,whole,78,,Lia/Emma,55.25051,-132.883
11,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,cockle,Clinocardium nutallii,CLAMCK,whole,71,,Lia/Emma,55.25051,-132.883
12,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,pointed macoma,Macoma inquinata,CLMPOI,whole,53,,Lia/Emma,55.25051,-132.883
13,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,52,,Lia/Emma/Carter/Jessica,55.25051,-132.883
14,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,cockle,Clinocardium nutallii,CLAMCK,otter,60,,Lia/Emma/Carter/Jessica,55.25051,-132.883
