"","site_name","site_code","otter_region","latitude_N","longitude_E","layer_number","layer_thickness_cm","layer_volume_cm3","na.rm","dry_bulk_density","organic_dw_g","inorganic_dw_g","layer_depth_cm","organic_dw_percent","inorganic_dw_percent","organic_density","inorganic_density"
"1","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,1,1,19.6349540849362,TRUE,1.02561991807507,2.09046,NA,0,10.3806733538584,NA,2.14401741393921,NA
"2","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,2,1,19.6349540849362,TRUE,1.06407226162189,2.21935,2.2717,2,10.6224521981275,11.0689527982275,2.36154877383054,2.41725295672644
"3","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,3,0.9,17.6714586764426,TRUE,1.07958263940216,1.98055,NA,4,10.3814381113126,NA,2.13816739646794,NA
"4","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,4,1,19.6349540849362,TRUE,1.01174822788309,1.8826,NA,6,9.47666900068108,NA,1.9047172138127,NA
"5","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,5,0.9,17.6714586764426,TRUE,1.21022890026107,1.98242,NA,8,9.26948810254688,NA,2.39918197645554,NA
"6","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,6,1,19.6349540849362,TRUE,1.2983238916539,2.32563,NA,10,9.12279008791986,NA,3.01942099214705,NA
"7","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,7,0.9,17.6714586764426,TRUE,1.35457691627406,2.17123,2.26972,12,9.07046937108745,9.65184436756036,2.94109803792172,3.07451031840555
"8","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,8,0.9,17.6714586764426,TRUE,1.25295316053996,2.22957,NA,14,10.0696384302606,NA,2.79354677814508,NA
"9","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,9,0.9,17.6714586764426,TRUE,1.33052627010037,2.14662,NA,16,9.12975909671263,NA,2.85613430192286,NA
"10","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,10,0.9,17.6714586764426,TRUE,1.28506765716363,2.35398,NA,18,10.3658370110203,NA,3.02502356361004,NA
"11","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,11,0.9,17.6714586764426,TRUE,1.37988835253915,2.21127,NA,20,9.06829053043228,NA,3.05130571731925,NA
"12","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,12,0.9,17.6714586764426,TRUE,1.62206587044292,1.91669,2.39897000000001,22,6.68668694510622,8.40108154333897,3.10899743321925,3.89128736121647
"13","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,13,0.8,15.707963267949,TRUE,1.29917989059982,1.97762,NA,24,9.69066719196452,NA,2.56928413524803,NA
"14","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,14,0.9,17.6714586764426,TRUE,1.18228100931201,1.77086,NA,26,8.47600326047989,NA,2.09365414815026,NA
"15","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,15,0.9,17.6714586764426,TRUE,1.39747490301527,2.20768,NA,28,8.93963334091909,NA,3.08517739388876,NA
"16","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,16,0.9,17.6714586764426,TRUE,1.47075351706235,2.01786,NA,30,7.76387860729902,NA,2.96777469193945,NA
"17","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,17,1,19.6349540849362,TRUE,1.7136515753716,2.22316,4.47604,32,6.60721296430311,13.4577957854866,3.80972163630313,7.67037299742631
"18","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,18,0.7,13.7444678594553,TRUE,1.82432599474925,1.94451,NA,34,7.75496432814518,NA,3.54742014004987,NA
"19","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,19,1,19.6349540849362,TRUE,1.7707797965606,1.77133,NA,36,5.09454062477171,NA,3.13663537704168,NA
"20","Salt Lake Bay a","H_01_a","High",55.67264,-133.378,20,1,19.6349540849362,TRUE,1.75057654076056,1.91467,NA,38,5.57035582816375,NA,3.35177638529802,NA
"21","Nossuk Bay a","H_02_a","High",55.7073,-133.342,1,1.5,29.4524311274043,TRUE,0.522624089448353,0.944739999999999,NA,0,6.68993090125777,NA,0.493743882265436,NA
"22","Nossuk Bay a","H_02_a","High",55.7073,-133.342,2,1.5,29.4524311274043,TRUE,0.716886830450958,1.19395,0.714640000000003,2,6.02172349548956,3.83120277272205,0.855927031216919,0.512316004513474
"23","Nossuk Bay a","H_02_a","High",55.7073,-133.342,3,1.4,27.4889357189107,TRUE,0.701284334800137,1.29573,NA,4,7.09581566311509,NA,0.90867515113058,NA
"24","Nossuk Bay a","H_02_a","High",55.7073,-133.342,4,1.4,27.4889357189107,TRUE,0.681509105756764,1.22891,NA,6,6.93455534902722,NA,0.837513355155544,NA
"25","Nossuk Bay a","H_02_a","High",55.7073,-133.342,5,1.4,27.4889357189107,TRUE,0.708519973241503,1.0816,NA,8,5.89047399907962,NA,0.766335203058011,NA
