bay_code,bay_sample,place_name,year,date,YYYYMMDD,trans_loc,trans_area_m2,species_common,species_scientific,species_code,death_estimate,width_mm,notes,measurers
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,Cockle,Clinocardium nutallii,CLAMCK,whole,56,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,Cockle,Clinocardium nutallii,CLAMCK,whole,76,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,Cockle,Clinocardium nutallii,CLAMCK,whole,57,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,Cockle,Clinocardium nutallii,CLAMCK,whole,74,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,Cockle,Clinocardium nutallii,CLAMCK,whole,72,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,Macoma sp.,Macoma sp.,CLMMAC,whole,26,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Edge,100,Macoma sp.,Macoma sp.,CLMMAC,whole,21,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,55,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,48,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,78,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,71,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Inside,100,Pointed Macoma,Macoma inquinata,CLMPOI,whole,53,,Lia/Emma
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,52,,Lia/Emma/Carter/Jessica
